student_name,config,n_seeds,accuracy_percent,accuracy_std_percent,macro_f1_percent,macro_f1_std_percent,weighted_f1_percent,weighted_f1_std_percent,micro_f1_percent,micro_f1_std_percent,macro_precision_percent,macro_recall_percent,params,size_kb,flops_per_sample,support_total_per_seed
student_A_32_16,A_LightGBM,5,98.67,0.01,88.61,0.03,98.72,0.01,98.67,0.01,87.00,94.11,,15224.0546875,,332881
student_A_32_16,A_RF_500,5,98.25,0.03,88.92,0.11,98.25,0.03,98.25,0.03,94.09,87.12,,101114.94140625,,332881
student_A_32_16,D_Small_MLP,5,96.55,0.11,80.91,0.39,96.52,0.12,96.55,0.11,79.91,86.89,2383,9.30859375,4751,332881
student_A_32_16,E3_KD_from_LightGBM,5,96.61,0.13,81.43,0.39,96.60,0.12,96.61,0.13,80.42,86.89,2383,9.30859375,4751,332881
student_A_32_16,E_KD_from_RF,5,96.56,0.10,81.18,0.32,96.54,0.10,96.56,0.10,80.17,86.84,2383,9.30859375,4751,332881
student_A_32_16,J_CoDistill_RF_CL,5,96.58,0.06,81.27,0.26,96.57,0.07,96.58,0.06,80.27,86.82,2383,9.30859375,4751,332881
student_B_64_32,A_LightGBM,5,98.67,0.01,88.61,0.03,98.72,0.01,98.67,0.01,87.00,94.11,,15224.0546875,,332881
student_B_64_32,A_RF_500,5,98.25,0.03,88.92,0.11,98.25,0.03,98.25,0.03,94.09,87.12,,101114.94140625,,332881
student_B_64_32,D_Small_MLP,5,96.79,0.04,81.89,0.49,96.78,0.08,96.79,0.04,81.75,86.97,5775,22.55859375,11535,332881
student_B_64_32,E3_KD_from_LightGBM,5,96.80,0.02,82.20,0.10,96.79,0.03,96.80,0.02,81.26,87.77,5775,22.55859375,11535,332881
student_B_64_32,E_KD_from_RF,5,96.72,0.08,81.97,0.26,96.72,0.08,96.72,0.08,81.21,87.29,5775,22.55859375,11535,332881
student_B_64_32,J_CoDistill_RF_CL,5,96.66,0.12,81.69,0.35,96.64,0.12,96.66,0.12,80.89,87.01,5775,22.55859375,11535,332881
student_C_128_64,A_LightGBM,5,98.67,0.01,88.61,0.03,98.72,0.01,98.67,0.01,87.00,94.11,,15224.0546875,,332881
student_C_128_64,A_RF_500,5,98.25,0.03,88.92,0.11,98.25,0.03,98.25,0.03,94.09,87.12,,101114.94140625,,332881
student_C_128_64,D_Small_MLP,5,96.87,0.01,82.39,0.03,96.87,0.01,96.87,0.01,81.67,88.28,15631,61.05859375,31247,332881
student_C_128_64,E3_KD_from_LightGBM,5,96.85,0.07,82.42,0.31,96.84,0.07,96.85,0.07,81.63,87.92,15631,61.05859375,31247,332881
student_C_128_64,E_KD_from_RF,5,96.85,0.02,82.44,0.09,96.86,0.01,96.85,0.02,81.68,87.76,15631,61.05859375,31247,332881
student_C_128_64,J_CoDistill_RF_CL,5,96.78,0.10,82.10,0.28,96.78,0.09,96.78,0.10,81.33,87.47,15631,61.05859375,31247,332881
teacher,A_LightGBM,5,98.67,0.01,88.61,0.03,98.72,0.01,98.67,0.01,87.00,94.11,,15224.0546875,,332881
teacher,A_RF_500,5,98.25,0.03,88.92,0.11,98.25,0.03,98.25,0.03,94.09,87.12,,101114.94140625,,332881
teacher,C_CL_MLP_loss_fair,5,96.53,0.09,80.09,0.76,96.46,0.09,96.53,0.09,79.35,86.91,75279,294.05859375,148495,332881
