student_name,Config,n_seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean,ece_mean,train_time_sec_mean,per_class_f1_mean,per_class_f1_std,class_names,params,size_kb,flops_per_sample
student_A_32_16,A_RF_500,5,0.883295310519645,0.00017056720944814892,0.8729127170995901,0.0002286097730070966,0.9150542461055068,0.8566366058931074,0.06725512492566055,11.77964940071106,"[0.9482497788832009, 0.6210131350716058, 1.0, 1.0, 1.0, 0.7551867219917012, 1.0, 0.9782685150215322, 0.7270456384435288, 0.9191408717624763, 0.8928750321416056, 0.7458867195595312, 0.7493643848932928, 0.9436880389580409, 0.8129719197673364]","[0.00045429813454074997, 0.0010544393608808743, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001993736985284138, 0.0018860098518697918, 0.0, 0.0003890458974808787, 0.0016712102873770029, 0.000474457048939597, 0.0010369128923220353, 0.002060879241695232]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",,109879.5703125,
student_B_64_32,A_RF_500,5,0.883295310519645,0.00017056720944814892,0.8729127170995901,0.0002286097730070966,0.9150542461055068,0.8566366058931074,0.06725512492566055,11.77964940071106,"[0.9482497788832009, 0.6210131350716058, 1.0, 1.0, 1.0, 0.7551867219917012, 1.0, 0.9782685150215322, 0.7270456384435288, 0.9191408717624763, 0.8928750321416056, 0.7458867195595312, 0.7493643848932928, 0.9436880389580409, 0.8129719197673364]","[0.00045429813454074997, 0.0010544393608808743, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001993736985284138, 0.0018860098518697918, 0.0, 0.0003890458974808787, 0.0016712102873770029, 0.000474457048939597, 0.0010369128923220353, 0.002060879241695232]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",,109879.5703125,
student_B_64_32,E_KD_from_RF,5,0.7308998732572877,0.003108944738571885,0.7111136033552754,0.0025191373569126373,0.7563831818189417,0.7075252865887155,0.0193712689362098,285.27168135643007,"[0.865678224269814, 0.5963474567617235, 0.9950552677193898, 0.7649616424752429, 0.9976955544516949, 0.6877024904113199, 1.0, 0.9290405017171199, 0.38405869992767777, 0.7301024633426766, 0.7940518551380558, 0.3792905809207024, 0.3795584681989237, 0.85935956597379, 0.30380127902100007]","[0.0037478963773195932, 0.0005606410099172924, 0.0010189675724269751, 0.01812779024152814, 0.0006112062604343586, 0.01837397727914501, 0.0, 0.007693900546271578, 0.014336182217398305, 0.03361839932245087, 0.02579824503248181, 0.021673945595863803, 0.017068966232207, 0.0017262945659279052, 0.007135338959219247]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",5391.0,21.05859375,10767.0
student_B_64_32,J_CoDistill_RF_CL,5,0.7303506548373468,0.0027396824875373193,0.7100166051660612,0.0029967792019069553,0.7541915289532184,0.7076610437272749,0.02138518315430276,423.33919138908385,"[0.8704526715868177, 0.5964955214420864, 0.9928042370086401, 0.7595158061629845, 0.9964470513704746, 0.6615820423693165, 1.0, 0.9320480077108515, 0.3417885500703569, 0.7361661596232487, 0.8148928108406102, 0.3777503831144274, 0.3742805289306238, 0.8562871894932608, 0.3397381177672195]","[0.02030530469876656, 8.14487380446451e-05, 0.0013827555775266555, 0.017719889715285157, 0.00042051968365781716, 0.014196303999186248, 0.0, 0.003316983634309477, 0.013082504846821316, 0.03859977983838834, 0.01473545800119459, 0.023207529349315224, 0.005338689836591728, 0.004359474947680457, 0.016347996405451357]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",5391.0,21.05859375,10767.0
student_A_32_16,J_CoDistill_RF_CL,5,0.7242839036755385,0.005662545786030117,0.7009653876781078,0.00650830066359128,0.7392164575418316,0.7015509079506083,0.025711159469535394,481.37143630981444,"[0.8495737670108164, 0.5962254091202722, 0.9909772857289998, 0.7906526819010551, 0.9966784332557698, 0.6400480443800687, 1.0, 0.9293669548777796, 0.3626475866243731, 0.6653913878411895, 0.8034198362967219, 0.36541372241584485, 0.3697689525687619, 0.8383599709958384, 0.31595678215412626]","[0.02897660052149113, 0.0002759841399537978, 0.001449591555842963, 0.007873000754050435, 0.0008898827634449376, 0.009184643620553275, 0.0, 0.0009549722869361451, 0.010382048475839026, 0.026736852065415505, 0.020704695535956327, 0.0362741751364776, 0.030275260636832592, 0.01747571709947849, 0.007375665203518863]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",2191.0,8.55859375,4367.0
student_A_32_16,B_Full_MLP,5,0.7243092522179975,0.003970215322122829,0.6880046381393555,0.003667851320988283,0.7527108888960592,0.7207224839699871,0.0212024472965487,266.10875396728517,"[0.899884609861749, 0.5958693597360514, 0.9934754662574685, 0.7474947558652154, 0.9953337915877025, 0.2723419551889953, 1.0, 0.9111599147490057, 0.39684553142334755, 0.7614287784816277, 0.8159060337891798, 0.3556187633819005, 0.39204268949868115, 0.8626736484498408, 0.31999427381956624]","[0.01288303027134102, 0.00046979986640580313, 0.001443257299966637, 0.0006732563468756794, 0.0010427284443732642, 0.01763147396857969, 0.0, 0.0034812230127475915, 0.019926171647764633, 0.0022825763911118978, 0.014801334094758358, 0.05438397671465554, 0.005385543571752149, 0.015211881787173708, 0.032998479781023174]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",74511.0,291.05859375,146959.0
student_B_64_32,B_Full_MLP,5,0.7243092522179975,0.003970215322122829,0.6880046381393555,0.003667851320988283,0.7527108888960592,0.7207224839699871,0.0212024472965487,266.10875396728517,"[0.899884609861749, 0.5958693597360514, 0.9934754662574685, 0.7474947558652154, 0.9953337915877025, 0.2723419551889953, 1.0, 0.9111599147490057, 0.39684553142334755, 0.7614287784816277, 0.8159060337891798, 0.3556187633819005, 0.39204268949868115, 0.8626736484498408, 0.31999427381956624]","[0.01288303027134102, 0.00046979986640580313, 0.001443257299966637, 0.0006732563468756794, 0.0010427284443732642, 0.01763147396857969, 0.0, 0.0034812230127475915, 0.019926171647764633, 0.0022825763911118978, 0.014801334094758358, 0.05438397671465554, 0.005385543571752149, 0.015211881787173708, 0.032998479781023174]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",74511.0,291.05859375,146959.0
student_B_64_32,D_Small_MLP,5,0.7236417405999156,0.0010543287372920416,0.6877902329866025,0.0017505599009097338,0.7237075860885446,0.7127742674600805,0.01900970346926636,210.96816592216493,"[0.8807901499096038, 0.5816609771266491, 0.9934284075586023, 0.7604033852497042, 0.9961225424696668, 0.33573737579485896, 1.0, 0.9191335744345361, 0.3610198786244842, 0.736410435296331, 0.8162259487479716, 0.38763051501595436, 0.3798907365999466, 0.8577833485327645, 0.3106162194379627]","[0.014747454158251062, 0.032743706494066945, 0.0009968234264635721, 0.015715753666684207, 0.0007220183343496924, 0.07545060264916098, 0.0, 0.003582070194214901, 0.01730099742804812, 0.03311681230165845, 0.013829789129612972, 0.027083437926312223, 0.012171097705834385, 0.0031798609415138474, 0.029981725241532465]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",5391.0,21.05859375,10767.0
student_A_32_16,E_KD_from_RF,5,0.7108914237431347,0.010981703228716678,0.6862567935701351,0.010815779293660356,0.7403879665056158,0.6866405780471828,0.04255351704424525,284.57945761680605,"[0.7741080079559208, 0.5963474560183724, 0.9938599167984371, 0.7895040936563987, 0.9970486720884724, 0.6706782567250698, 1.0, 0.9231924571810974, 0.36449115506721597, 0.6474123201590812, 0.6804666320434463, 0.38212768418736254, 0.35664779028822124, 0.8272011918643127, 0.2907662695186185]","[0.07603167261847933, 0.00047999064632572863, 0.0007455611911743423, 0.006621934055407109, 0.00037992005143864805, 0.00821030441710374, 0.0, 0.0076477458000666415, 0.009820896156708071, 0.023331861745384874, 0.10682027776566108, 0.023864551909376842, 0.019839179292837055, 0.02087862481632109, 0.02345114975960928]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",2191.0,8.55859375,4367.0
student_B_64_32,F_KD_from_CL_MLP,5,0.7198394592310942,0.003502168178575099,0.6860256335405955,0.0033334298589540894,0.7234408647795216,0.7145570895579328,0.0191008221024091,278.1021681785584,"[0.8756605445051727, 0.5963345555273104, 0.9900588700011846, 0.754970730219965, 0.9959375737191802, 0.27619583548947124, 1.0, 0.9139207729553107, 0.3725704836602724, 0.7482125419637133, 0.8071325188619631, 0.38364086252476715, 0.38893040896480224, 0.8543407633161282, 0.33247804139969317]","[0.014101301032963868, 0.0003865907195913771, 0.002301766581438724, 0.009057699882231915, 0.0001269324747304822, 0.020094589301429204, 0.0, 0.0019315014293182834, 0.01761407104687349, 0.016277929744443403, 0.013628059429753724, 0.0225892426859813, 0.0029709727164569017, 0.012142131703184702, 0.012029069086907714]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",5391.0,21.05859375,10767.0
