row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-1264 -2642 -537 1148 -135,21,281,302
1,OK,3,-1385 -1523 -611 984 83,22,279,301
2,OK,3,-1747 -2016 -703 1163 -93,21,279,300
3,OK,3,-1545 -1155 -739 852 174,21,280,301
4,OK,2,-2700 -952 213 75 -324,22,280,302
5,OK,3,-1362 -1218 -717 868 202,22,279,301
6,OK,3,-1441 -1452 -636 956 139,21,279,300
7,OK,3,-1309 -2418 -610 1012 -294,20,282,302
8,OK,3,-3166 -1014 -1255 1136 387,21,279,300
9,OK,3,-2188 -1460 -543 1047 32,21,281,302
