row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-2467 -1561 -1033 820 -560,21,771,792
1,OK,3,-1468 -1660 -745 828 -68,21,770,791
2,OK,3,-1931 -1601 -817 966 -257,21,768,789
3,OK,3,-1518 -1458 -801 752 117,20,770,790
4,OK,2,-4815 -827 191 10 -290,21,772,793
5,OK,3,-1507 -1562 -790 796 159,21,772,793
6,OK,3,-1581 -1571 -738 829 46,21,768,789
7,OK,3,-1466 -1780 -1103 740 -510,20,768,788
8,OK,3,-2408 -1124 -1164 867 25,20,772,792
9,OK,3,-2424 -1995 -995 963 50,21,771,792
10,OK,3,-1602 -1465 -724 837 -102,21,769,790
11,OK,3,-1502 -1425 -891 765 130,21,772,793
12,OK,3,-1467 -1544 -773 804 -79,21,771,792
13,OK,3,-1496 -1498 -805 788 129,21,772,793
14,OK,3,-1585 -1465 -1084 857 -45,21,771,792
15,OK,3,-1440 -1729 -797 819 -108,21,770,791
16,OK,3,-1485 -1705 -774 789 -9,21,770,791
17,OK,2,-4446 -1394 691 -602 -828,21,772,793
18,OK,3,-1296 -1659 -923 664 -438,20,771,791
19,OK,2,-913 -2221 443 -587 -1180,20,772,792
20,OK,3,-2263 -2617 -1039 661 -863,21,772,793
21,OK,3,-1749 -2304 -928 493 -830,21,770,791
22,OK,3,-1478 -1550 -865 807 127,21,771,792
23,OK,3,-1564 -1626 -779 807 111,21,771,792
24,OK,3,-1529 -1525 -771 798 -55,21,772,793
25,OK,3,-1371 -1782 -807 806 -132,21,770,791
26,OK,3,-1523 -1548 -810 823 26,21,772,793
27,OK,3,-2352 -2026 -1129 723 -707,21,771,792
28,OK,3,-2218 -2914 -1011 573 -927,20,772,792
29,OK,3,-1353 -1511 -794 780 -100,21,772,793
30,OK,3,-1587 -1496 -743 817 -38,21,771,792
31,OK,3,-1837 -1441 -751 816 94,21,770,791
32,OK,3,-1456 -1587 -763 824 -39,21,770,791
33,OK,2,-2216 -1985 530 -791 -1122,20,770,790
34,OK,3,-1857 -1485 -847 923 -280,20,771,791
35,OK,3,-2790 -1849 -361 894 76,21,773,794
36,OK,3,-2060 -1964 -1017 919 -484,21,771,792
37,OK,3,-1482 -1541 -768 801 17,21,769,790
38,OK,3,-2045 -1451 -713 794 -36,21,772,793
39,OK,3,-1443 -1684 -777 793 -119,21,770,791
40,OK,3,-1868 -2506 -993 650 -863,21,768,789
41,OK,3,-1633 -1486 -799 779 127,20,773,793
42,OK,3,-1409 -1571 -804 818 -71,20,771,791
43,OK,3,-1652 -1545 -845 816 120,20,771,791
44,OK,3,-1415 -1544 -748 828 -137,20,772,792
45,OK,3,-1601 -1546 -872 831 122,20,772,792
46,OK,3,-1551 -1564 -556 873 -240,21,772,793
47,OK,3,-1490 -1546 -796 794 45,21,771,792
48,OK,3,-1056 -1437 -822 740 -15,21,768,789
49,OK,2,-3775 -1308 242 201 89,20,772,792
50,OK,3,-1515 -1629 -727 774 96,21,768,789
51,OK,3,-4523 -1933 -1132 907 -538,21,770,791
52,OK,3,-2240 -2305 -898 1173 -41,21,770,791
53,OK,3,-1519 -1522 -784 799 81,21,769,790
54,OK,3,-1465 -1351 -739 696 -41,22,770,792
55,OK,3,-1453 -1641 -808 822 -104,21,770,791
56,OK,3,-1610 -1566 -686 822 32,21,767,788
57,OK,0,891 -2191 -434 -851 -181,20,774,794
58,OK,3,-1466 -1579 -825 809 -18,21,770,791
59,OK,3,-2599 -1936 -1247 740 -619,21,771,792
60,OK,3,-2369 -1696 -758 923 58,21,774,795
61,OK,3,-1649 -1526 -816 828 84,21,771,792
62,OK,3,-1559 -1591 -850 820 157,21,771,792
63,OK,3,-1539 -1617 -731 774 17,21,771,792
64,OK,3,-1551 -2102 -1105 578 -781,21,770,791
65,OK,3,-2110 -1739 -501 938 -43,20,773,793
66,OK,3,-1534 -1654 -791 813 36,21,770,791
67,OK,3,-1590 -1533 -873 803 122,21,773,794
68,OK,3,-1400 -1715 -981 855 -221,21,771,792
69,OK,3,-1558 -1541 -794 805 138,21,772,793
70,OK,3,-1614 -1536 -769 828 22,21,770,791
71,OK,3,-1519 -1749 -804 827 -2,22,770,792
72,OK,3,-1540 -1557 -754 784 31,21,771,792
73,OK,3,-1574 -1452 -715 774 5,21,773,794
74,OK,0,659 -2647 -950 -465 -5,20,775,795
75,OK,3,-1449 -1802 -798 811 -103,22,770,792
76,OK,3,-1494 -1537 -810 792 -13,21,771,792
77,OK,3,-1581 -1519 -608 825 -135,21,772,793
78,OK,3,-1385 -1549 -820 802 -351,21,771,792
79,OK,3,-1511 -1464 -765 766 17,21,772,793
80,OK,3,-1630 -2180 -1051 487 -892,21,770,791
81,OK,3,-1805 -2330 -963 401 -956,20,770,790
82,OK,3,-1468 -1678 -1001 673 -563,21,770,791
83,OK,3,-1544 -1601 -1034 813 -254,20,771,791
84,OK,2,-3400 -805 237 -90 -333,20,773,793
85,OK,3,-1511 -1559 -762 793 73,21,771,792
86,OK,3,-1428 -1672 -764 788 -79,22,767,789
87,OK,3,-1498 -1530 -786 794 77,21,771,792
88,OK,3,-1639 -1631 -652 876 -326,21,767,788
89,OK,3,-1593 -1518 -876 823 150,20,770,790
90,OK,2,-4002 -2029 754 -711 -993,21,772,793
91,OK,3,-1726 -1531 -846 841 25,21,770,791
92,OK,3,-1600 -1501 -726 804 80,21,770,791
93,OK,3,-1411 -1510 -726 803 -206,20,767,787
