Config,Accuracy_mean,Accuracy_std,MacroF1_mean,MacroF1_std,n_seeds,Blackhole_F1_mean,Blackhole_F1_std,Flooding_F1_mean,Flooding_F1_std,Grayhole_F1_mean,Grayhole_F1_std,Normal_F1_mean,Normal_F1_std,TDMA_F1_mean,TDMA_F1_std,params,size_kb
A_RF_500,0.9966939501779359,3.629195383337445e-05,0.9789876789246253,0.0002463919757234235,5,0.9908935269592216,0.00015971754383684597,0.9614038739420516,0.0009790932610492331,0.9847897327593648,0.0003952697587613366,0.9984339872892314,1.6868137663965143e-05,0.959417273673257,0.0,,80185.5126953125
B_Full_MLP,0.9858790035587189,0.0010211476973358549,0.9152706970710313,0.0061371816270904085,5,0.8472146226516264,0.014508274562361893,0.9416639139089419,0.004255742924939061,0.8566111433099619,0.01411668450514946,0.9971591314967869,9.816960484230707e-05,0.9337046739878396,0.0030113577171570214,70661.0,276.01953125
B_Full_MLP_tricks,0.550544483985765,0.3843584292825647,0.615656654509162,0.07918280448213502,5,0.7418791641219261,0.10462560764322386,0.2758036180795725,0.3072060049057876,0.6757041902391023,0.16666068426561043,0.556905473374665,0.45132686382686965,0.8279908267305439,0.1567590308408395,70661.0,276.01953125
C2_CL_MLP_domain,0.9850427046263345,0.00035739885926729,0.9104676677499471,0.002184400920921276,5,0.8335053565460399,0.005863679750915159,0.9425424056059615,0.00216044994851764,0.8441063378530554,0.006634220465752944,0.9971650440186106,6.016922627300642e-05,0.9350191947260683,0.0018871297029679668,70661.0,276.01953125
C_CL_MLP_loss,0.9847366548042704,0.0005853416439233884,0.9088142433627981,0.003205827612267775,5,0.8326000017250383,0.008916286560803073,0.940597085742622,0.004531720721112214,0.840138831824796,0.008592346214675854,0.9970784078103607,6.214583762384861e-05,0.9336568897111736,0.0009218410036234353,70661.0,276.01953125
C_CL_MLP_loss_ext,0.9863309608540926,0.0006307471542697616,0.9176961377555285,0.003811400007004027,5,0.8539001294508572,0.010791711929872444,0.9402249633706002,0.0022767343555505047,0.8635700234017453,0.010244100221323157,0.9971670122949601,6.458288376173163e-05,0.9336185602594792,0.001836080592124939,70661.0,276.01953125
C_CL_MLP_loss_fair,0.9847366548042704,0.0005853416439233884,0.9088142433627981,0.003205827612267775,5,0.8326000017250383,0.008916286560803073,0.940597085742622,0.004531720721112214,0.840138831824796,0.008592346214675854,0.9970784078103607,6.214583762384861e-05,0.9336568897111736,0.0009218410036234353,70661.0,276.01953125
D_Small_MLP,0.9862775800711743,0.0007962628481677719,0.9184721136526829,0.003927726729044591,5,0.85892751741135,0.007794122414367472,0.9393414784277967,0.003146864487897467,0.8595868222162766,0.010288812845098434,0.9970666246642923,0.00019922216607971688,0.9374381255436987,0.006502338311928051,1381.0,5.39453125
D_Small_MLP_tricks,0.3394306049822064,0.3263000383448836,0.5733573994807252,0.05998083442850402,5,0.7576492272443897,0.12415024276475438,0.11956342216135547,0.1925910721043394,0.7519714606045078,0.11085705034627412,0.339070985891035,0.38438637994495983,0.8985319015023381,0.030670374178063148,1381.0,5.39453125
E2_KD_from_MLP,0.9851814946619217,0.0004917474756856485,0.9115747373911376,0.0026760057207418537,5,0.8332885979090552,0.00556256143788767,0.9483311666893464,0.00604741039752826,0.8486153816620444,0.006754115329548114,0.9971571947448952,0.00010539552957438158,0.9304813459503464,0.0037591061162629232,1381.0,5.39453125
E2_KD_from_MLP_dkd,0.982185053380783,0.00033334388689952853,0.893420412437554,0.0023027050161264855,5,0.7857586938220874,0.010922466791254049,0.9520566257304383,0.001891797975602915,0.8025542025965912,0.007845242594502434,0.9972440291394845,7.420371360660939e-05,0.9294885108991686,0.004463435680902116,1381.0,5.39453125
E_KD_from_RF,0.986170818505338,0.0006347501591907303,0.9149275334951137,0.0038727159989761476,5,0.8249045538239057,0.010232265079926865,0.9535688982210256,0.0004480639238882997,0.8470072262719464,0.010274643031214826,0.9980212673638654,6.951661982068892e-05,0.951135721794825,0.0012527929037753087,1381.0,5.39453125
E_KD_from_RF_dkd,0.9768149466192171,0.0006037248814447869,0.844759406307577,0.0021492242524128614,5,0.5723295336237855,0.009882630097013227,0.9415176953512745,0.0022949209206721832,0.7796009700603237,0.007548852737974033,0.9963357480346268,0.0003584797593356004,0.9340130844678743,0.007989826071087601,1381.0,5.39453125
E_KD_from_RF_tricks,0.9872704626334521,0.00219066824689204,0.9213221767112396,0.013249068777692921,5,0.8406116700034492,0.03562279805243147,0.9530201342281879,0.0,0.861759984945985,0.02990217384716035,0.9980899985865997,4.190693584497443e-05,0.953129095791976,0.0011596067591382675,1381.0,5.39453125
F_KD_from_CL_MLP,0.9846405693950178,0.00090446084315505,0.9089075060260454,0.005734312094479316,5,0.8303082926309979,0.012935566570255085,0.9461406341279905,0.0037186150593924755,0.8395442361110905,0.012184077200464561,0.9970587527462331,3.868888141690616e-05,0.9314856145139142,0.0019712323741142936,1381.0,5.39453125
F_KD_from_CL_MLP_ext,0.9852669039145908,0.00039387800037686245,0.9118187007988284,0.002462911074149604,5,0.837794312738227,0.006759212193936772,0.9439814860978017,0.0033420787615928127,0.8502020620906027,0.004610909626956555,0.9971001144660349,5.8600718355564637e-05,0.9300155286014761,0.0016506413401891342,1381.0,5.39453125
F_KD_from_CL_MLP_ext_dkd,0.9827295373665482,0.0019972816216591383,0.8968061679699616,0.01131229407279497,5,0.809683787972393,0.01993999306577961,0.9451965822098746,0.003605149814411845,0.808319714163568,0.03489415178941389,0.9969811907996352,0.00021671651797559757,0.9238495647043378,0.0035753090854100506,1381.0,5.39453125
