Config,Accuracy_mean,Accuracy_std,MacroF1_mean,MacroF1_std,n_seeds,Blackhole_F1_mean,Blackhole_F1_std,Flooding_F1_mean,Flooding_F1_std,Grayhole_F1_mean,Grayhole_F1_std,Normal_F1_mean,Normal_F1_std,TDMA_F1_mean,TDMA_F1_std,params,size_kb
A_RF_500,0.9966725978647687,0.0,0.9794104671782549,0.0,1,0.9907590759075907,0.0,0.9649122807017544,0.0,0.9835315645013724,0.0,0.9984321411073004,0.0,0.959417273673257,0.0,,85064.5361328125
B_Full_MLP,0.9879359430604983,0.0,0.9267961328846784,0.0,1,0.8782742681047766,0.0,0.9368520263901979,0.0,0.8857412653446648,0.0,0.9972221404242371,0.0,0.9358909641595154,0.0,69893.0,273.01953125
C2_CL_MLP_domain,0.9858718861209964,0.0,0.9147209975848305,0.0,1,0.8474679682733374,0.0,0.9368520263901979,0.0,0.8587033958679648,0.0,0.9971138554571692,0.0,0.9334677419354839,0.0,69893.0,273.01953125
C_CL_MLP_loss,0.9859964412811388,0.0,0.914145342228396,0.0,1,0.8431372549019608,0.0,0.9342105263157895,0.0,0.8597242035187826,0.0,0.9972910900418115,0.0,0.9363636363636364,0.0,69893.0,273.01953125
C_CL_MLP_loss_ext,0.9862811387900355,0.0,0.9173232774969311,0.0,1,0.8564692012967875,0.0,0.9412878787878788,0.0,0.8595203132648067,0.0,0.9972122973026032,0.0,0.9321266968325792,0.0,69893.0,273.01953125
C_CL_MLP_loss_fair,0.9859964412811388,0.0,0.914145342228396,0.0,1,0.8431372549019608,0.0,0.9342105263157895,0.0,0.8597242035187826,0.0,0.9972910900418115,0.0,0.9363636363636364,0.0,69893.0,273.01953125
D_Small_MLP,0.9851067615658363,0.0,0.9111003738467888,0.0,1,0.8470160557406846,0.0,0.9333333333333333,0.0,0.8538095238095238,0.0,0.9967298759709715,0.0,0.9246130803794309,0.0,1189.0,4.64453125
E2_KD_from_MLP,0.9853024911032029,0.0,0.9116795376011855,0.0,1,0.8425681618293756,0.0,0.9412878787878788,0.0,0.8462671905697446,0.0,0.9971532904036438,0.0,0.9311211664152841,0.0,1189.0,4.64453125
E_KD_from_RF,0.9868683274021353,0.0,0.9192973805386183,0.0,1,0.8328154133001865,0.0,0.9548511047070125,0.0,0.8568041725936463,0.0,0.9980586331993333,0.0,0.9539575788929125,0.0,1189.0,4.64453125
F_KD_from_CL_MLP,0.9841459074733097,0.0,0.9048042189983831,0.0,1,0.8145753746694093,0.0,0.9511961722488038,0.0,0.8254670599803343,0.0,0.9974289527398336,0.0,0.9353535353535354,0.0,1189.0,4.64453125
F_KD_from_CL_MLP_ext,0.985355871886121,0.0,0.912220496737433,0.0,1,0.8387293830177154,0.0,0.9484732824427481,0.0,0.8539486203615604,0.0,0.9971040102095912,0.0,0.9228471876555501,0.0,1189.0,4.64453125
F_KD_from_CL_MLP_fair,0.9841459074733097,0.0,0.9048042189983831,0.0,1,0.8145753746694093,0.0,0.9511961722488038,0.0,0.8254670599803343,0.0,0.9974289527398336,0.0,0.9353535353535354,0.0,1189.0,4.64453125
G_KD_random_pacing,0.9845551601423488,0.0,0.9071944036409784,0.0,1,0.8302433371958285,0.0,0.9457659372026641,0.0,0.8330019880715706,0.0,0.9972418802328207,0.0,0.929718875502008,0.0,1189.0,4.64453125
I_KD_from_SMOTE_MLP,0.9855160142348754,0.0,0.9127726120979572,0.0,1,0.8348091603053435,0.0,0.9530201342281879,0.0,0.8526391210890852,0.0,0.9973207187932439,0.0,0.926073926073926,0.0,1189.0,4.64453125
