row_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
0,346368,0,128281600,0,0,0,0,0,0,0,0,3328,89856,3328,34709,0,163
1,192768,0,29455872,3987,0,1280,256,0,0,256,256,16640,0,0,0,1024,28
2,499968,0,78353664,1139,0,1280,256,0,0,256,256,61696,0,0,0,512,110
3,103168,0,27665920,8756,0,1280,256,0,0,256,7424,6400,0,0,0,1024,12
4,115968,256,27929600,0,256,1280,0,0,0,0,0,0,0,1024,45160,0,40
5,39168,0,26371584,9181,0,512,256,0,0,256,3072,4096,0,0,0,512,8
6,115968,0,27919360,3089,0,1280,256,0,0,256,768,21760,0,0,0,1280,37
7,627968,0,79888640,3368,0,1792,256,0,0,256,3328,18432,0,0,0,1280,31
8,243968,0,51464192,4847,0,2304,256,0,0,256,2048,19456,0,13312,35320,512,33
9,13568,0,25880576,36097,0,7168,256,0,0,256,22784,3584,0,0,0,256,13
10,269568,0,52761600,12218,0,1280,256,0,0,256,2304,20480,0,0,0,768,36
11,26368,0,26122496,4366,0,1024,256,0,0,256,12544,3584,0,0,0,768,7
12,154368,0,28684288,14611,0,768,256,0,0,256,256,6400,0,0,0,768,17
13,51968,0,26637312,7486,0,1024,256,0,0,256,3840,7168,0,0,0,768,13
14,26368,0,26125824,23568,0,4864,256,0,0,0,2304,0,0,0,0,256,2
15,218368,0,29973504,7245,0,1280,256,0,0,256,256,12544,0,0,0,512,22
16,218368,0,29964800,6236,0,1280,256,0,0,256,2048,12288,0,0,0,256,22
17,512768,256,103441152,0,256,6400,0,0,0,0,0,0,0,256,40988,0,6
18,487168,0,77593600,6539,0,1792,256,0,0,256,1024,1024,0,0,0,1536,3
19,845568,256,155673600,0,256,6912,0,0,0,0,0,0,0,256,20594,0,9
20,807168,0,179737600,0,0,0,0,0,0,0,0,3328,89856,3328,41977,0,175
21,871168,0,179481600,2701,0,2048,256,0,0,256,2304,23040,0,0,0,512,38
22,51968,0,26649600,3342,0,512,256,0,0,256,6400,4608,0,0,0,256,9
23,77568,0,27161600,8883,0,768,256,0,0,256,1792,9728,0,0,0,256,18
24,103168,0,27667968,19468,0,768,256,0,0,256,256,5632,0,0,0,768,12
25,243968,0,30469888,2983,0,1536,256,0,0,256,256,11776,0,0,0,512,21
26,39168,0,26376448,12208,0,1024,256,0,0,256,256,9984,0,0,0,1024,18
27,538368,0,333081600,0,0,0,0,0,0,0,0,3328,29952,3328,31154,0,59
28,909568,0,230681600,0,0,0,0,0,0,0,0,3328,86528,3328,41620,0,174
29,167168,0,28944640,12894,0,1792,256,0,0,256,256,7680,0,0,0,1024,15
30,243968,0,30489600,6313,0,1536,256,0,0,256,1536,28416,0,0,0,512,48
31,64768,0,26885888,2381,0,2304,256,0,0,256,1024,21760,0,0,0,512,37
32,115968,0,27916800,1096,0,1792,256,0,0,256,256,15360,0,0,0,1024,26
33,807168,256,205593600,0,256,6400,0,0,0,0,0,0,0,512,22655,0,11
34,525568,0,103425280,6840,0,1536,256,0,0,256,256,61696,0,0,0,256,102
35,77568,0,27144704,3230,0,5632,256,0,0,256,1536,30720,0,0,0,3840,51
36,435968,0,103449600,0,0,0,0,0,0,0,0,3328,156160,3328,35657,0,265
37,51968,0,26640128,11329,0,768,256,0,0,256,256,6400,0,0,0,768,12
38,26368,0,26112000,5055,0,7168,256,0,0,0,12032,0,0,0,0,1024,2
39,192768,0,29444096,12562,0,768,256,0,0,256,256,6656,0,0,0,256,13
40,755968,0,257049600,0,0,0,0,0,0,0,0,3328,89856,3328,33607,0,162
41,115968,0,27911680,6205,0,768,256,0,0,256,12032,6400,0,0,0,768,12
42,154368,0,28688128,7248,0,1792,256,0,0,256,256,14080,0,0,0,1024,25
43,13568,0,25879296,8040,0,1792,256,0,0,256,1536,13056,0,0,0,1280,22
44,205568,0,29714688,9312,0,1792,256,0,0,256,256,23040,0,0,0,1280,40
45,64768,0,26891008,6019,0,1280,256,0,0,256,3840,15360,0,0,0,1024,26
46,359168,0,53511680,1866,0,3072,256,0,0,256,768,40960,0,0,0,1792,67
47,128768,0,28172800,13972,0,1024,256,0,0,256,1280,6912,0,0,0,256,13
48,128768,0,28185600,4598,0,2560,256,0,0,256,1280,0,60160,0,0,256,25
49,359168,256,53511936,0,256,1536,0,1280,256,0,0,0,153600,6144,41966,0,117
50,128768,0,28172032,10356,0,512,256,0,0,256,2560,6144,0,0,0,256,12
51,487168,0,410137600,0,0,0,0,0,0,0,0,3328,16640,3328,51695,0,73
52,256768,0,30745600,0,0,0,0,0,0,0,256,3328,301056,3328,37652,0,500
53,89600,0,27408128,5738,0,2048,256,0,0,256,3072,21760,0,0,0,1280,36
54,231168,0,51737600,14015,0,768,256,0,0,0,2048,0,0,0,0,1280,10
55,231168,0,30228224,9583,0,1280,256,0,0,256,768,13056,0,0,0,512,23
56,167168,0,28930816,3088,0,1280,256,0,0,256,512,28416,0,0,0,1024,47
57,819968,256,154385152,0,256,3840,0,256,256,0,0,0,61696,0,0,0,2
58,141568,0,28429824,8194,0,1792,256,0,0,256,1024,9984,0,0,0,256,18
59,538368,0,179737600,0,0,0,0,0,0,0,0,3328,29952,3328,34826,0,61
60,26368,0,26128384,11350,0,6144,256,0,0,0,9216,0,0,0,0,3072,2
61,90368,0,27408128,5804,0,1536,256,0,0,256,1536,18432,0,0,0,256,31
62,39168,0,26374144,1766,0,512,256,0,0,256,3840,8960,0,0,0,512,16
63,243968,0,30476288,6034,0,512,256,0,0,256,6400,5632,0,0,0,256,11
64,807168,0,128530176,3734,0,2048,256,0,0,256,1792,26368,0,0,0,768,44
65,141568,0,28437504,2626,0,3584,256,0,0,256,256,46336,0,0,0,2304,76
66,128768,0,28185600,6784,0,1280,256,0,0,256,1280,12544,0,0,0,256,22
67,103168,0,27659264,14670,0,768,256,0,0,256,8448,5888,0,0,0,768,12
68,410368,0,54551808,4816,0,1536,256,0,0,256,3328,11008,0,0,0,256,19
69,77568,0,27136000,5608,0,512,256,0,0,256,5632,5632,0,0,0,512,11
70,39168,0,26393088,2802,0,1792,256,0,0,256,256,14592,0,0,0,1024,25
71,64768,0,26882048,1730,0,1024,256,0,0,256,256,11008,0,0,0,256,19
72,205568,0,29711104,4011,0,1024,256,0,0,256,5632,11776,0,0,0,512,20
73,205568,0,51481600,14555,0,1536,256,0,0,256,4608,12288,0,0,0,768,23
74,743168,256,104978176,0,256,512,0,8704,256,0,0,0,322048,0,0,0,2
75,218368,0,29953536,7116,0,1024,256,0,0,256,256,9728,0,0,0,256,17
76,64768,0,26886144,9579,0,2304,256,0,0,256,256,8704,0,0,0,1536,16
77,282368,0,51982848,3798,0,2304,256,0,0,256,1024,24576,0,0,0,2304,41
78,474368,0,77319424,3572,0,2048,256,0,0,256,2304,26368,0,0,0,1024,44
79,218368,0,29966336,4668,0,1280,256,0,0,256,7680,9472,0,0,0,512,17
80,794368,0,130329600,2335,0,1280,256,0,0,256,256,23040,0,0,0,768,38
81,832768,0,154137600,667,0,1024,256,0,0,256,256,13568,0,0,0,1024,23
82,589568,0,102663680,7817,0,1280,256,0,0,256,2048,16640,0,0,0,768,29
83,525568,0,78856448,16637,0,1024,256,0,0,256,5888,11776,0,0,0,256,22
84,128768,256,51481600,0,256,1536,0,512,256,0,0,0,105472,26624,25756,0,427
85,103168,0,27654144,663,0,1536,256,0,0,256,3584,11776,0,0,0,512,20
86,167168,0,28938496,10527,0,768,256,0,0,256,256,5376,0,0,0,512,11
87,90368,0,27392768,11091,0,1024,256,0,0,256,1536,8960,0,0,0,768,17
88,359168,0,77081600,2763,0,1024,256,0,0,256,256,23040,0,0,0,768,39
89,12800,0,25858560,7855,0,1024,256,0,0,256,6144,10496,0,0,0,768,17
90,807168,256,205568000,0,256,6656,0,0,0,0,0,0,0,256,43641,0,7
91,256768,0,30734336,15182,0,256,256,0,0,256,13056,3328,0,0,0,256,7
