row_id,source_row_index,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
0,14388,346368,0,128281600,0,0,0,0,0,0,0,0,3328,89856,3328,34709,0,163
1,40168,192768,0,29455872,3987,0,1280,256,0,0,256,256,16640,0,0,0,1024,28
2,162750,499968,0,78353664,1139,0,1280,256,0,0,256,256,61696,0,0,0,512,110
3,268444,103168,0,27665920,8756,0,1280,256,0,0,256,7424,6400,0,0,0,1024,12
4,329951,115968,256,27929600,0,256,1280,0,0,0,0,0,0,0,1024,45160,0,40
5,194043,39168,0,26371584,9181,0,512,256,0,0,256,3072,4096,0,0,0,512,8
6,31679,115968,0,27919360,3089,0,1280,256,0,0,256,768,21760,0,0,0,1280,37
7,157950,627968,0,79888640,3368,0,1792,256,0,0,256,3328,18432,0,0,0,1280,31
8,242519,243968,0,51464192,4847,0,2304,256,0,0,256,2048,19456,0,13312,35320,512,33
9,28399,13568,0,25880576,36097,0,7168,256,0,0,256,22784,3584,0,0,0,256,13
10,151049,269568,0,52761600,12218,0,1280,256,0,0,256,2304,20480,0,0,0,768,36
11,168930,26368,0,26122496,4366,0,1024,256,0,0,256,12544,3584,0,0,0,768,7
12,62568,154368,0,28684288,14611,0,768,256,0,0,256,256,6400,0,0,0,768,17
13,41326,51968,0,26637312,7486,0,1024,256,0,0,256,3840,7168,0,0,0,768,13
14,299022,26368,0,26125824,23568,0,4864,256,0,0,0,2304,0,0,0,0,256,2
15,333504,218368,0,29973504,7245,0,1280,256,0,0,256,256,12544,0,0,0,512,22
16,128105,218368,0,29964800,6236,0,1280,256,0,0,256,2048,12288,0,0,0,256,22
17,145213,512768,256,103441152,0,256,6400,0,0,0,0,0,0,0,256,40988,0,6
18,106358,487168,0,77593600,6539,0,1792,256,0,0,256,1024,1024,0,0,0,1536,3
19,275344,845568,256,155673600,0,256,6912,0,0,0,0,0,0,0,256,20594,0,9
20,286733,807168,0,179737600,0,0,0,0,0,0,0,0,3328,89856,3328,41977,0,175
21,98369,871168,0,179481600,2701,0,2048,256,0,0,256,2304,23040,0,0,0,512,38
22,335474,51968,0,26649600,3342,0,512,256,0,0,256,6400,4608,0,0,0,256,9
23,335703,77568,0,27161600,8883,0,768,256,0,0,256,1792,9728,0,0,0,256,18
24,279470,103168,0,27667968,19468,0,768,256,0,0,256,256,5632,0,0,0,768,12
25,252978,243968,0,30469888,2983,0,1536,256,0,0,256,256,11776,0,0,0,512,21
26,362194,39168,0,26376448,12208,0,1024,256,0,0,256,256,9984,0,0,0,1024,18
27,350018,538368,0,333081600,0,0,0,0,0,0,0,0,3328,29952,3328,31154,0,59
28,366422,909568,0,230681600,0,0,0,0,0,0,0,0,3328,86528,3328,41620,0,174
29,32157,167168,0,28944640,12894,0,1792,256,0,0,256,256,7680,0,0,0,1024,15
30,132733,243968,0,30489600,6313,0,1536,256,0,0,256,1536,28416,0,0,0,512,48
31,108868,64768,0,26885888,2381,0,2304,256,0,0,256,1024,21760,0,0,0,512,37
32,57345,115968,0,27916800,1096,0,1792,256,0,0,256,256,15360,0,0,0,1024,26
33,145904,807168,256,205593600,0,256,6400,0,0,0,0,0,0,0,512,22655,0,11
34,281922,525568,0,103425280,6840,0,1536,256,0,0,256,256,61696,0,0,0,256,102
