id,status,title,tags,n_pages,n_metrics,n_tables,abstract_len
adebayo2018sanity,VERIFIED_2PASS,"Sanity Checks for Saliency Maps Julius Adebayo∗, Justin Gilmer♯, Michael Muelly♯, Ian Goodfellow♯, Moritz Hardt♯†, Been Kim♯",XAI,30,12,0,1086
adhane2025explainkd,VERIFIED_2PASS,On Explaining Knowledge Distillation: Measuring and Visualising the Knowledge Transfer Process,KD,10,14,2,1299
adjewa2026seed,VERIFIED_2PASS,Revised: 23 December 2025 distributed under the terms and conditions of the Creative Commons,"XAI,quant",22,30,8,1767
alfarra2025local,VERIFIED_2PASS,cient Hybrid Learning for Secure Wireless Sensor Networks ECTI Transactions on Computer and Information Technology,"MCU,WSN,gateway",14,30,12,1703
almomani2016wsnds,VERIFIED_2PASS,"WSN-DS: A Dataset for Intrusion Detection Systems in Wireless Sensor Networks Iman Almomani,1,2 Bassam Al-Kasasbeh,2 and Mousa AL-Akhras2,3",WSN,16,8,12,0
alqahtani2019gxgboost,VERIFIED_2PASS,A Genetic-Based Extreme Gradient Boosting Model for Detecting Intrusions in Wireless Sensor Networks,WSN,20,18,12,1294
alshehri2024sadcnn,VERIFIED_2PASS,Digital Object Identifier 10.1109/ACCESS.2024.3380816 A Self-Attention-Based Deep Convolutional,EdgeIIoT,11,12,9,1800
banbury2021tinyml,VERIFIED_2PASS,BENCHMARKING TINYML SYSTEMS: CHALLENGES AND DIRECTION Colby R. Banbury 1 Vijay Janapa Reddi 1 Max Lam 1 William Fu 1 Amin Fazel 2 Jeremy Holleman 3 4,MCU,8,1,4,806
benaddi2025arxiv,VERIFIED_2PASS,Lightweight Intrusion Detection in IoT via SHAP-Guided Feature Pruning and Knowledge-Distilled Kronecker Networks,"KD,XAI,quant",6,30,0,1135
bengio2009curriculum,VERIFIED_2PASS,"Curriculum Learning J´erˆome Louradour1,2 Ronan Collobert3",XAI,8,8,0,990
birahim2025pso,VERIFIED_2PASS,Digital Object Identifier 10.1109/ACCESS.2025.3528341 Intrusion Detection for Wireless Sensor Network,"XAI,WSN",20,30,7,1381
cantini2024dixtill,VERIFIED_2PASS,"© The Author(s) 2024, corrected publication 2024. Open Access  This article is licensed under a Creative Commons Attribution 4.0 Interna-","KD,XAI,quant",17,30,4,1769
chawla2002smote,VERIFIED_2PASS,SMOTE: Synthetic Minority Over-sampling Technique Nitesh V. Chawla,,37,13,7,1447
diab2025hardware,VERIFIED_2PASS,Intrusion Detection on Resource-Constrained IoT Devices with Hardware-Aware ML and DL,"EdgeIIoT,gateway",6,30,0,1224
ferrag2022edgeiiot,INVALID_PDF,Radical-induced Hetero-Nuclear Mixing and Low-ﬁeld 13C Relaxation in Solid Pyruvic Acid,,6,0,0,0
gao2026lightweight,VERIFIED_2PASS,Revised: 12 February 2026 distributed under the terms and conditions of the Creative Commons,EdgeIIoT,20,15,6,1523
ghadi2024review,VERIFIED_2PASS,Digital Object Identifier 10.1109/ACCESS.2024.3355312 Machine Learning Solutions for the Security of,WSN,21,4,8,1515
guo2017calibration,VERIFIED_2PASS,On Calibration of Modern Neural Networks Chuan Guo * 1 Geoff Pleiss * 1 Yu Sun * 1 Kilian Q. Weinberger 1,KD,14,8,2,895
guo2024whykd,VERIFIED_2PASS,Why does Knowledge Distillation Work? Rethink its Attention and Fidelity Mechanism,"KD,XAI",29,24,1,0
hasan2025autoencoder,VERIFIED_2PASS,Enhanced Intrusion Detection in IIoT Networks: A Lightweight Approach with Autoencoder-Based Feature Learning,EdgeIIoT,8,17,9,1573
hinton2015distilling,VERIFIED_2PASS,arXiv:1503.02531v1  [stat.ML]  9 Mar 2015 Distilling the Knowledge in a Neural Network,KD,9,21,6,1141
hossain2025federatedkd,VERIFIED_2PASS,Complex & Intelligent Systems (2025) 11:422 A novel federated learning approach for IoT botnet intrusion detection,"KD,XAI,FL",23,30,12,1537
ishtiaq2025cstafnet,VERIFIED_2PASS,CST-AFNet: A dual attention-based deep learning framework for intrusion detection in IoT networks,XAI,9,29,6,0
jacob2018integer,VERIFIED_2PASS,Quantization and Training of Neural Networks for Efﬁcient Integer-Arithmetic-Only Inference,quant,10,30,9,784
javed2024thermostat,VERIFIED_2PASS,"Qureshi, A.-u.-H.; Jawad, M.; Arshad, J.; Larijani, H. Embedding Tree-Based Intrusion Detection System in Smart","XAI,MCU,gateway",15,30,10,1253
krishna2022disagreement,VERIFIED_2PASS,The Disagreement Problem in Explainable Machine Learning: A Practitioner’s Perspective,XAI,34,26,7,0
lundberg2017shap,VERIFIED_2PASS,A Uniﬁed Approach to Interpreting Model Scott M. Lundberg Paul G. Allen School of Computer Science,XAI,10,30,0,1307
misrak2025quantization,VERIFIED_2PASS,© The Author(s) 2025. Open Access  This article is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,quant,34,30,9,0
nguyen2024gswo,VERIFIED_2PASS,"Yoo, M. Enhancing Intrusion Detection in Wireless Sensor Networks Using a GSWO-CatBoost","XAI,WSN,quant",26,30,11,1539
nugraha2025versatile,VERIFIED_2PASS,Annals of Telecommunications (2025) 80:1095–1120 A versatile XAI-based framework for efﬁcient and explainable intrusion,XAI,26,30,12,1701
pandey2025tabu,VERIFIED_2PASS,Enhancing intrusion detection in wireless sensor networks using a Tabu search based optimized,WSN,21,30,7,0
peng2025fdids,VERIFIED_2PASS,Revised: 22 June 2025 FD-IDS: Federated Learning with Knowledge Distillation for Intrusion,"KD,EdgeIIoT,FL",31,30,12,1229
salmi2022cnnlstm,VERIFIED_2PASS,CNN-LSTM based Approach for DDoS Detection Tahani Alasmari,XAI,6,12,1,792
seyedkolaei2025cnn,VERIFIED_2PASS,"Tolulope Odeyomi and Revised: 20 May 2025 Seyedkolaei, A.A.;","EdgeIIoT,quant,gateway",21,30,12,1380
stanton2021kd,VERIFIED_2PASS,Does Knowledge Distillation Really Work? Polina Kirichenko Alexander A. Alemi,KD,21,30,2,834
sze2017efficient,VERIFIED_2PASS,"Efﬁcient Processing of Deep Neural Networks: A Tutorial and Survey Vivienne Sze, Senior Member, IEEE, Yu-Hsin Chen, Student Member, IEEE, Tien-Ju Yang, Student","XAI,quant",32,30,0,1778
talukder2024mlstl,VERIFIED_2PASS,International Journal of Information Security (2024) 23:2139–2158 REGULAR CONTRIBUTION,WSN,20,30,11,1800
talukder2025hybrid,VERIFIED_2PASS,A hybrid machine learning model for intrusion detection in wireless sensor networks leveraging data,WSN,23,30,12,0
ticnna_hybrid_iot,VERIFIED_2PASS,Digital Object Identifier 10.1109/ACCESS.2026.3663379 TICNN—A Hybrid Light-Weight CNN for Large,XAI,15,30,12,1501
