"id","pages","has_card","pdf_kb"
"adebayo2018sanity","30","False","10789"
"adhane2025explainkd","10","True","2579"
"adjewa2026seed","22","False","1308"
"alfarra2025local","14","True","760"
"almomani2016wsnds","16","True","710"
"alqahtani2019gxgboost","20","False","2301"
"alshehri2024sadcnn","11","False","1839"
"banbury2021tinyml","8","False","231"
"benaddi2025arxiv","6","True","1382"
"benaddi2025local","6","False","1382"
"bengio2009curriculum","8","False","1462"
"birahim2025pso","20","False","2630"
"cantini2024dixtill","17","False","1831"
"chawla2002smote","35","False","490"
"diab2025hardware","6","True","147"
"ferrag2022edgeiiot","6","False","675"
"gao2026lightweight","20","False","1874"
"ghadi2024review","21","False","2307"
"guo2017calibration","14","False","1318"
"guo2024whykd","29","False","24718"
"hasan2025autoencoder","8","False","658"
"hinton2015distilling","9","False","104"
"hossain2025federatedkd","23","True","2726"
"ishtiaq2025cstafnet","9","False","2852"
"jacob2018integer","10","True","414"
"javed2024thermostat","15","True","941"
"krishna2022disagreement","34","True","5903"
"lundberg2017shap","10","False","906"
"misrak2025quantization","34","False","4735"
"nguyen2024gswo","26","False","1117"
"nugraha2025versatile","26","False","2803"
"pandey2025tabu","21","False","5899"
"peng2025fdids","31","True","2077"
"salmi2022cnnlstm","6","False","359"
"seyedkolaei2025cnn","21","False","2229"
"stanton2021kd","21","True","2537"
"sze2017efficient","32","False","6178"
"talukder2024mlstl","20","False","1278"
"talukder2025hybrid","23","False","3605"
"talukder2025local","23","False","3605"
"ticnna_hybrid_iot","15","False","2260"
"wisanwanichthan2025kd","25","True","2509"
"xiao2025local","15","False","2040"
"yagiz2025lens","35","True","1841"
"yang2023selfkd","6","True","5257"
