family,lineage,rho,p,bootstrap_mean,bootstrap_std,audited_pair_note,note,status,present,student_B_macro_f1,rows,best_compact_note,protocol,total_rows,unique_feature_rows,duplicate_rows_excluding_first,cross_partition_feature_groups,train_test_feature_overlap,mixed_label_feature_groups,student,seed,config,macro_f1
shap,archived_with_J,0.04656862745098039,0.8591333762840924,0.0014705882352941146,0.10677501345658713,curriculum-KD Student A vs RF reference (archived),,,,,,,,,,,,,,,,,
shap,train_only_json_partial_n2_merge,0.03921568627450981,0.8812135857007629,,,,JSON only merged 2 seeds; SHAP object may be partial/stale,,,,,,,,,,,,,,,,
shap,train_only_deployed_rfkd_seed42,,,,,,No SHAP yet on train-only RF-KD deployment student,NOT_EVALUATED,,,,,,,,,,,,,,,
co_distillation_J,archived,,,,,,,,True,0.933525545706218,,,,,,,,,,,,,
co_distillation_J,train_only_10seed_checkpoints,,,,,,J not trained under train-only,,False,,,,,,,,,,,,,,
edge_iiot_strict,,,,,,,,present_before_manuscript,,,16.0,see rankings csv,,,,,,,,,,,
edge_iiot_literature,,,,,,,,present_before_manuscript,,,18.0,,,,,,,,,,,,
edge_iiot_duplicate_audit_NEW,,,,,,,,,,,,,strict,157800.0,151846.0,5954.0,743.0,348.0,325.0,,,,
edge_iiot_duplicate_audit_NEW,,,,,,,,,,,,,literature_comparable,2219201.0,1983195.0,236006.0,95600.0,44513.0,4.0,,,,
msp430_cross_compile,archived_deployment_feasibility,,,,,,,unchanged_cross_compile_only,True,,,,,,,,,,,,,,
train_only_anomaly,,,,,,,collapsed_or_failed_run_suspected,,,,,,,,,,,,,A,5678.0,C_CL_MLP_loss_ext,0.40751810343825595
train_only_anomaly,,,,,,,collapsed_or_failed_run_suspected,,,,,,,,,,,,,B,5678.0,C_CL_MLP_loss_ext,0.40751810343825595
