paper_work,year,dataset_task,paper_model,paper_accuracy_percent,paper_precision_percent,paper_recall_percent,paper_f1_percent,paper_f1_type,paper_footprint,our_model,our_accuracy_percent,our_macro_precision_percent,our_macro_recall_percent,our_macro_f1_percent,our_weighted_f1_percent,our_micro_f1_percent,our_comparable_f1_percent,our_best_f1_reference_percent,our_best_f1_reference_type,our_size_kb,our_params,our_flops_per_sample,accuracy_gap_points,comparable_f1_gap_points,best_f1_reference_gap_points,f1_comparison_basis,best_f1_reference_basis,interpretation
"Ferrag et al., Edge-IIoTset",2022,"Edge-IIoTset, 15-class",DNN,94.67,NR,NR,NR,not_reported,NR,Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,NR,NR,61.06,15631,31247,2.18,NR,NR,not comparable: paper F1 not reported,not available: paper F1 not reported,We exceed the original 15-class DNN accuracy with a compressed student.
"Ferrag et al., Edge-IIoTset",2022,"Edge-IIoTset, 15-class",RF,80.83,NR,NR,NR,not_reported,NR,Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,NR,NR,61.06,15631,31247,16.02,NR,NR,not comparable: paper F1 not reported,not available: paper F1 not reported,Large accuracy improvement over the original RF baseline.
"Ferrag et al., Edge-IIoTset",2022,"Edge-IIoTset, 15-class",SVM,77.61,NR,NR,NR,not_reported,NR,Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,NR,NR,61.06,15631,31247,19.24,NR,NR,not comparable: paper F1 not reported,not available: paper F1 not reported,Large accuracy improvement over the original SVM baseline.
"Ferrag et al., Edge-IIoTset",2022,"Edge-IIoTset, 15-class",KNN,79.18,NR,NR,NR,not_reported,NR,Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,NR,NR,61.06,15631,31247,17.67,NR,NR,not comparable: paper F1 not reported,not available: paper F1 not reported,Large accuracy improvement over the original KNN baseline.
"Ferrag et al., Edge-IIoTset",2022,"Edge-IIoTset, 15-class",DT,67.11,NR,NR,NR,not_reported,NR,Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,NR,NR,61.06,15631,31247,29.74,NR,NR,not comparable: paper F1 not reported,not available: paper F1 not reported,Large accuracy improvement over the original DT baseline.
"Diab et al., Hardware-Aware ML/DL",2025,"Edge-IIoTset, 15-class",LightGBM,95.25,NR,NR,94.74,unspecified,"74.93 KB flash, 1.13 KB RAM, 1.20K ops",Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,96.86,weighted,61.06,15631,31247,1.60,NR,2.12,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,"Accuracy and storage are competitive; F1 type is unspecified, so the best-F1 reference is only optimistic context."
"Diab et al., Hardware-Aware ML/DL",2025,"Edge-IIoTset, 15-class",XGBoost,95.11,NR,NR,94.42,unspecified,"266.59 KB flash, 0.51 KB RAM, 4.27K ops",Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,96.86,weighted,61.06,15631,31247,1.74,NR,2.44,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,"Accuracy is higher and storage is smaller; F1 type is unspecified, so the best-F1 reference is only optimistic context."
"Diab et al., Hardware-Aware ML/DL",2025,"Edge-IIoTset, 15-class",RF,94.12,NR,NR,93.21,unspecified,"211.22 KB flash, 4.61 KB RAM, 3.38K ops",Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,96.86,weighted,61.06,15631,31247,2.73,NR,3.65,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,"Accuracy is higher and storage is smaller; F1 type is unspecified, so the best-F1 reference is only optimistic context."
"Diab et al., Hardware-Aware ML/DL",2025,"Edge-IIoTset, 15-class",HW-NAS 1D-CNN,96.73,NR,NR,97.24,unspecified,"190.34 KB flash, 6.89 KB RAM, 838.89K FLOPs",Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,96.86,weighted,61.06,15631,31247,0.12,NR,-0.38,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,Accuracy is essentially matched with smaller storage; CNN F1 remains stronger.
"Abualhassan et al., IIoT-TinyDNN",2025,Edge-IIoTset,TinyDNN,92.99,NR,NR,NR,not_reported,"2,255 params, 4.38K FLOPs",Student A LightGBM-KD,96.61,80.42,86.89,81.43,96.60,96.61,NR,NR,NR,9.31,2383,4751,3.62,NR,NR,not comparable: paper F1 not reported,not available: paper F1 not reported,Similar parameter scale and higher accuracy.
"Abualhassan et al., IIoT-TinyDNN",2025,Edge-IIoTset,TinyCNN,95.55,NR,NR,NR,not_reported,"5,967 params, 32.13K FLOPs",Student B LightGBM-KD,96.80,81.26,87.77,82.20,96.79,96.80,NR,NR,NR,22.56,5775,11535,1.25,NR,NR,not comparable: paper F1 not reported,not available: paper F1 not reported,"Similar parameter scale, higher accuracy, and lower FLOPs."
"Hasan et al., Autoencoder Feature Learning",2025,"Edge-IIoTset, multiclass",AE + DT/XGB/LGBM/LDA/TabNet/LSTM,99.94,NR,NR,99.94,unspecified,"NR, Jetson Nano inference reported",Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,96.86,weighted,61.06,15631,31247,-3.09,NR,-3.08,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,Their metrics are higher; our defense is smaller compressed-student deployability.
