row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-2467 -1561 -1033 820 -560,21,772,793
1,OK,3,-1468 -1660 -745 828 -68,21,771,792
2,OK,3,-1931 -1601 -817 966 -257,21,770,791
3,OK,3,-1518 -1458 -801 752 117,21,772,793
4,OK,2,-4815 -827 191 10 -290,21,769,790
5,OK,3,-1507 -1562 -790 796 159,21,768,789
6,OK,3,-1581 -1571 -738 829 46,21,770,791
7,OK,3,-1466 -1780 -1103 740 -510,20,771,791
8,OK,3,-2408 -1124 -1164 867 25,21,771,792
9,OK,3,-2424 -1995 -995 963 50,21,774,795
