row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-1264 -2642 -537 1148 -135,18,143,161
1,OK,3,-1385 -1523 -611 984 83,6,111,117
2,OK,3,-1747 -2016 -703 1163 -93,6,111,117
3,OK,3,-1545 -1155 -739 852 174,6,113,119
4,OK,2,-2700 -952 213 75 -324,6,118,124
5,OK,3,-1362 -1218 -717 868 202,6,113,119
6,OK,3,-1441 -1452 -636 956 139,6,113,119
7,OK,3,-1309 -2418 -610 1012 -294,6,111,117
8,OK,3,-3166 -1014 -1255 1136 387,6,111,117
9,OK,3,-2188 -1460 -543 1047 32,6,114,120
