row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-2467 -1561 -1033 820 -560,7,322,329
1,OK,3,-1468 -1660 -745 828 -68,8,323,331
2,OK,3,-1931 -1601 -817 966 -257,8,321,329
3,OK,3,-1518 -1458 -801 752 117,7,331,338
4,OK,2,-4815 -827 191 10 -290,7,322,329
5,OK,3,-1507 -1562 -790 796 159,8,324,332
6,OK,3,-1581 -1571 -738 829 46,8,321,329
7,OK,3,-1466 -1780 -1103 740 -510,7,324,331
8,OK,3,-2408 -1124 -1164 867 25,7,329,336
9,OK,3,-2424 -1995 -995 963 50,7,331,338
10,OK,3,-1602 -1465 -724 837 -102,8,328,336
11,OK,3,-1502 -1425 -891 765 130,8,324,332
12,OK,3,-1467 -1544 -773 804 -79,8,322,330
13,OK,3,-1496 -1498 -805 788 129,7,324,331
14,OK,3,-1585 -1465 -1084 857 -45,7,328,335
15,OK,3,-1440 -1729 -797 819 -108,7,324,331
16,OK,3,-1485 -1705 -774 789 -9,7,322,329
17,OK,2,-4446 -1394 691 -602 -828,7,331,338
18,OK,3,-1296 -1659 -923 664 -438,7,322,329
19,OK,2,-913 -2221 443 -587 -1180,7,331,338
20,OK,3,-2263 -2617 -1039 661 -863,7,328,335
21,OK,3,-1749 -2304 -928 493 -830,7,324,331
22,OK,3,-1478 -1550 -865 807 127,7,322,329
23,OK,3,-1564 -1626 -779 807 111,8,324,332
24,OK,3,-1529 -1525 -771 798 -55,7,322,329
25,OK,3,-1371 -1782 -807 806 -132,7,324,331
26,OK,3,-1523 -1548 -810 823 26,7,328,335
27,OK,3,-2352 -2026 -1129 723 -707,8,324,332
28,OK,3,-2218 -2914 -1011 573 -927,7,322,329
29,OK,3,-1353 -1511 -794 780 -100,7,330,337
30,OK,3,-1587 -1496 -743 817 -38,8,321,329
31,OK,3,-1837 -1441 -751 816 94,7,324,331
32,OK,3,-1456 -1587 -763 824 -39,7,322,329
33,OK,2,-2216 -1985 530 -791 -1122,8,324,332
34,OK,3,-1857 -1485 -847 923 -280,7,322,329
35,OK,3,-2790 -1849 -361 894 76,7,324,331
36,OK,3,-2060 -1964 -1017 919 -484,7,328,335
37,OK,3,-1482 -1541 -768 801 17,7,331,338
38,OK,3,-2045 -1451 -713 794 -36,7,322,329
39,OK,3,-1443 -1684 -777 793 -119,7,324,331
40,OK,3,-1868 -2506 -993 650 -863,7,322,329
41,OK,3,-1633 -1486 -799 779 127,7,331,338
42,OK,3,-1409 -1571 -804 818 -71,7,322,329
43,OK,3,-1652 -1545 -845 816 120,7,324,331
44,OK,3,-1415 -1544 -748 828 -137,7,322,329
45,OK,3,-1601 -1546 -872 831 122,7,324,331
46,OK,3,-1551 -1564 -556 873 -240,7,322,329
47,OK,3,-1490 -1546 -796 794 45,7,330,337
48,OK,3,-1056 -1437 -822 740 -15,7,328,335
49,OK,2,-3775 -1308 242 201 89,7,325,332
50,OK,3,-1515 -1629 -727 774 96,7,322,329
51,OK,3,-4523 -1933 -1132 907 -538,8,324,332
52,OK,3,-2240 -2305 -898 1173 -41,7,323,330
53,OK,3,-1519 -1522 -784 799 81,8,330,338
54,OK,3,-1465 -1351 -739 696 -41,7,322,329
