row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-5297 -5038 -1654 4441 1112,21,279,300
1,OK,3,-5190 -5464 248 1688 -1621,20,281,301
2,OK,3,-5043 -4997 -1959 4478 1221,22,278,300
3,OK,3,-5164 -4998 -1878 4448 1198,22,279,301
4,OK,3,-5005 -4754 -1805 4589 1369,21,278,299
5,OK,3,-5121 -4691 -1949 4469 1368,24,279,303
6,OK,3,-5099 -4665 -1990 4464 1373,22,279,301
7,OK,3,-5090 -4661 -2003 4463 1377,21,282,303
8,OK,3,-5231 -4779 -1761 4547 1240,22,281,303
9,OK,3,-4979 -4961 -1885 4512 1212,21,282,303
10,OK,3,-4940 -4778 -1727 4558 1343,22,281,303
11,OK,3,-4907 -4594 -1781 4606 1399,22,281,303
12,OK,3,-4973 -4810 -1746 4560 1343,21,282,303
13,OK,3,-5164 -4916 -1691 4554 1337,24,278,302
14,OK,3,-5012 -5020 -1874 4502 1176,22,281,303
15,OK,3,-5277 -5080 -1603 4433 1097,21,282,303
16,OK,3,-5164 -5037 -1766 4452 1120,21,282,303
17,OK,3,-5097 -5002 -1794 4490 1177,21,282,303
18,OK,3,-5189 -5061 -1719 4446 1101,21,281,302
19,OK,3,-4993 -5179 -1778 4503 1266,22,278,300
20,OK,3,-5041 -5310 -1842 4447 1248,22,279,301
21,OK,3,-4794 -5123 -1693 4659 619,21,278,299
22,OK,3,-4980 -5235 -1843 4496 1262,21,279,300
23,OK,3,-4994 -5246 -1844 4489 1262,22,278,300
24,OK,3,-4958 -5216 -1846 4511 1252,21,279,300
25,OK,3,-5037 -5247 -1853 4436 1176,21,279,300
26,OK,3,-5023 -5170 -1819 4493 1270,21,278,299
27,OK,3,-5025 -5264 -1841 4434 1173,21,279,300
28,OK,3,-5050 -5309 -1845 4452 1262,21,279,300
29,OK,3,-5079 -5322 -1837 4439 1296,21,279,300
30,OK,3,-5025 -5286 -1841 4460 1260,21,279,300
31,OK,3,-4964 -5200 -1849 4528 1294,22,278,300
32,OK,3,-4924 -4926 -1785 4570 1368,21,279,300
33,OK,3,-5128 -5302 -1834 4393 1206,22,278,300
34,OK,3,-4931 -5217 -1837 4517 1224,21,279,300
35,OK,3,-5054 -5115 -1793 4552 1361,21,279,300
36,OK,3,-5088 -5163 -1846 4477 1295,21,279,300
37,OK,3,-5158 -5299 -1825 4385 1218,21,279,300
38,OK,3,-4934 -5167 -1853 4532 1270,21,279,300
39,OK,3,-5141 -4845 -1839 4494 1276,21,278,299
40,OK,3,-5134 -4695 -1864 4514 1317,22,278,300
41,OK,3,-5042 -5185 -1877 4421 1132,21,282,303
42,OK,3,-4902 -4830 -1662 4637 585,21,281,302
43,OK,3,-5076 -5022 -1834 4478 1207,22,279,301
44,OK,3,-5134 -4958 -1901 4493 1244,21,282,303
45,OK,3,-4926 -5027 -1908 4524 1272,22,281,303
46,OK,3,-5008 -5174 -1903 4451 1184,21,282,303
47,OK,3,-5153 -4787 -1864 4507 1298,22,281,303
48,OK,3,-5001 -5178 -1904 4450 1168,21,282,303
49,OK,3,-4985 -5131 -1899 4484 1229,21,282,303
50,OK,3,-5127 -4946 -1904 4506 1241,22,281,303
51,OK,3,-5084 -5247 -1893 4399 1211,22,281,303
52,OK,3,-5051 -4946 -1832 4480 1222,22,281,303
53,OK,3,-5034 -5206 -1900 4430 1180,21,278,299
54,OK,3,-5170 -4850 -1838 4506 1282,22,281,303
55,OK,3,-5207 -5013 -1882 4454 1204,22,278,300
56,OK,3,-4823 -4950 -1743 4597 1354,21,279,300
57,OK,3,-4944 -5140 -1785 4550 1304,22,278,300
58,OK,3,-5003 -5200 -1766 4518 1329,21,279,300
59,OK,3,-5130 -5327 -1816 4379 1272,21,279,300
60,OK,3,-5030 -4776 -1891 4486 1246,22,279,301
61,OK,3,-5142 -4925 -1906 4476 1245,22,279,301
62,OK,3,-5199 -5012 -1908 4466 1237,21,278,299
63,OK,3,-4951 -5136 -1765 4564 1329,21,279,300
64,OK,3,-4870 -5029 -1747 4587 1339,22,279,301
65,OK,3,-5116 -5326 -1821 4387 1269,21,278,299
66,OK,3,-4962 -5246 -1773 4466 1234,21,279,300
67,OK,3,-5064 -4907 -1867 4457 1214,22,278,300
68,OK,3,-4892 -4866 -1749 4629 1344,21,279,300
69,OK,3,-5220 -4910 -1068 2482 -1071,20,281,301
70,OK,3,-5828 -4905 -1074 2791 -942,20,281,301
71,OK,3,-5049 -5004 -1878 4547 1145,22,279,301
72,OK,3,-4967 -4924 -1735 4614 1294,21,279,300
73,OK,3,-5012 -4995 -1770 4549 1132,22,279,301
74,OK,3,-4970 -4967 -1661 4623 817,21,279,300
75,OK,3,-4788 -4738 -1535 4788 618,21,279,300
76,OK,3,-5039 -5003 -1720 4547 1115,21,279,300
77,OK,3,-4897 -4823 -1708 4617 1316,22,279,301
78,OK,3,-5032 -4973 -1760 4595 1277,21,279,300
79,OK,3,-5101 -5029 -1824 4545 1162,21,279,300
80,OK,3,-5073 -4989 -1697 4590 1267,21,279,300
81,OK,3,-4903 -4880 -1739 4634 1353,22,279,301
