row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-5826 -5779 -3040 3263 441,21,771,792
1,OK,3,-7060 -6801 -821 1653 -1494,21,770,791
2,OK,3,-6150 -6046 -3038 3276 377,21,770,791
3,OK,3,-5818 -5770 -2945 3405 370,21,771,792
4,OK,3,-5974 -6042 -3006 3422 467,21,770,791
5,OK,3,-6261 -6149 -3225 3124 572,21,770,791
6,OK,3,-6287 -6175 -3213 3119 601,21,770,791
7,OK,3,-6263 -6175 -3204 3133 601,22,769,791
8,OK,3,-6084 -6010 -3227 3202 440,21,770,791
9,OK,3,-6182 -6089 -3071 3270 412,21,770,791
10,OK,3,-6228 -6118 -3126 3283 387,21,769,790
11,OK,3,-6290 -6182 -3090 3261 531,21,769,790
12,OK,3,-6083 -6068 -3105 3334 395,21,769,790
13,OK,3,-5799 -5776 -2995 3313 515,21,770,791
14,OK,3,-6025 -6021 -3063 3322 378,21,770,791
15,OK,3,-6045 -5969 -3080 3281 440,21,770,791
16,OK,3,-6006 -5971 -3047 3300 400,20,770,790
17,OK,3,-5946 -5978 -3061 3322 426,21,770,791
18,OK,3,-6016 -5965 -3051 3288 410,21,770,791
19,OK,3,-6124 -6012 -3110 3277 450,22,766,788
20,OK,3,-5705 -5590 -2980 3447 419,21,768,789
21,OK,3,-5889 -5886 -2927 3423 -140,21,770,791
22,OK,3,-5951 -5865 -2949 3384 422,21,767,788
23,OK,3,-5913 -5826 -2957 3410 428,24,767,791
24,OK,3,-6068 -6044 -3044 3368 454,21,770,791
25,OK,3,-5910 -5833 -3017 3300 480,21,767,788
26,OK,3,-6025 -6000 -3088 3337 508,21,767,788
27,OK,3,-5970 -5936 -3064 3305 498,21,768,789
28,OK,3,-5670 -5544 -2971 3443 407,24,768,792
29,OK,3,-5541 -5422 -2953 3461 386,21,772,793
30,OK,3,-5792 -5713 -2996 3454 452,21,770,791
31,OK,3,-6055 -6029 -3006 3393 455,21,770,791
32,OK,3,-6242 -6187 -3016 3436 514,21,769,790
33,OK,3,-5669 -5450 -2955 3426 413,21,770,791
