row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-5826 -5779 -3040 3263 441,21,770,791
1,OK,3,-7060 -6801 -821 1653 -1494,20,771,791
2,OK,3,-6150 -6046 -3038 3276 377,21,770,791
3,OK,3,-5818 -5770 -2945 3405 370,21,771,792
4,OK,3,-5974 -6042 -3006 3422 467,21,769,790
5,OK,3,-6261 -6149 -3225 3124 572,22,769,791
6,OK,3,-6287 -6175 -3213 3119 601,21,769,790
7,OK,3,-6263 -6175 -3204 3133 601,21,770,791
8,OK,3,-6084 -6010 -3227 3202 440,21,769,790
9,OK,3,-6182 -6089 -3071 3270 412,21,770,791
