row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-5297 -5038 -1654 4441 1112,7,110,117
1,OK,3,-5190 -5464 248 1688 -1621,6,110,116
2,OK,3,-5043 -4997 -1959 4478 1221,6,116,122
3,OK,3,-5164 -4998 -1878 4448 1198,6,109,115
4,OK,3,-5005 -4754 -1805 4589 1369,6,109,115
5,OK,3,-5121 -4691 -1949 4469 1368,6,109,115
6,OK,3,-5099 -4665 -1990 4464 1373,6,109,115
7,OK,3,-5090 -4661 -2003 4463 1377,6,110,116
8,OK,3,-5231 -4779 -1761 4547 1240,6,110,116
9,OK,3,-4979 -4961 -1885 4512 1212,6,109,115
10,OK,3,-4940 -4778 -1727 4558 1343,6,110,116
11,OK,3,-4907 -4594 -1781 4606 1399,6,110,116
12,OK,3,-4973 -4810 -1746 4560 1343,6,109,115
13,OK,3,-5164 -4916 -1691 4554 1337,6,109,115
14,OK,3,-5012 -5020 -1874 4502 1176,6,109,115
15,OK,3,-5277 -5080 -1603 4433 1097,6,109,115
16,OK,3,-5164 -5037 -1766 4452 1120,7,109,116
17,OK,3,-5097 -5002 -1794 4490 1177,6,116,122
18,OK,3,-5189 -5061 -1719 4446 1101,6,109,115
19,OK,3,-4993 -5179 -1778 4503 1266,7,109,116
20,OK,3,-5041 -5310 -1842 4447 1248,6,109,115
21,OK,3,-4794 -5123 -1693 4659 619,6,110,116
22,OK,3,-4980 -5235 -1843 4496 1262,6,110,116
23,OK,3,-4994 -5246 -1844 4489 1262,6,110,116
24,OK,3,-4958 -5216 -1846 4511 1252,6,109,115
25,OK,3,-5037 -5247 -1853 4436 1176,6,110,116
26,OK,3,-5023 -5170 -1819 4493 1270,7,109,116
27,OK,3,-5025 -5264 -1841 4434 1173,6,110,116
28,OK,3,-5050 -5309 -1845 4452 1262,6,109,115
29,OK,3,-5079 -5322 -1837 4439 1296,7,109,116
30,OK,3,-5025 -5286 -1841 4460 1260,6,110,116
31,OK,3,-4964 -5200 -1849 4528 1294,7,109,116
32,OK,3,-4924 -4926 -1785 4570 1368,6,110,116
33,OK,3,-5128 -5302 -1834 4393 1206,6,110,116
34,OK,3,-4931 -5217 -1837 4517 1224,6,110,116
35,OK,3,-5054 -5115 -1793 4552 1361,6,109,115
36,OK,3,-5088 -5163 -1846 4477 1295,6,110,116
37,OK,3,-5158 -5299 -1825 4385 1218,6,109,115
38,OK,3,-4934 -5167 -1853 4532 1270,6,110,116
39,OK,3,-5141 -4845 -1839 4494 1276,6,110,116
40,OK,3,-5134 -4695 -1864 4514 1317,6,110,116
41,OK,3,-5042 -5185 -1877 4421 1132,6,109,115
42,OK,3,-4902 -4830 -1662 4637 585,7,109,116
43,OK,3,-5076 -5022 -1834 4478 1207,7,109,116
44,OK,3,-5134 -4958 -1901 4493 1244,6,110,116
45,OK,3,-4926 -5027 -1908 4524 1272,6,110,116
46,OK,3,-5008 -5174 -1903 4451 1184,6,109,115
47,OK,3,-5153 -4787 -1864 4507 1298,6,110,116
48,OK,3,-5001 -5178 -1904 4450 1168,6,110,116
49,OK,3,-4985 -5131 -1899 4484 1229,6,110,116
50,OK,3,-5127 -4946 -1904 4506 1241,7,115,122
51,OK,3,-5084 -5247 -1893 4399 1211,6,110,116
52,OK,3,-5051 -4946 -1832 4480 1222,7,109,116
53,OK,3,-5034 -5206 -1900 4430 1180,6,109,115
54,OK,3,-5170 -4850 -1838 4506 1282,6,110,116
55,OK,3,-5207 -5013 -1882 4454 1204,6,109,115
56,OK,3,-4823 -4950 -1743 4597 1354,7,109,116
57,OK,3,-4944 -5140 -1785 4550 1304,6,110,116
58,OK,3,-5003 -5200 -1766 4518 1329,6,109,115
59,OK,3,-5130 -5327 -1816 4379 1272,6,110,116
60,OK,3,-5030 -4776 -1891 4486 1246,6,110,116
61,OK,3,-5142 -4925 -1906 4476 1245,6,110,116
62,OK,3,-5199 -5012 -1908 4466 1237,6,110,116
63,OK,3,-4951 -5136 -1765 4564 1329,6,110,116
64,OK,3,-4870 -5029 -1747 4587 1339,7,109,116
65,OK,3,-5116 -5326 -1821 4387 1269,6,110,116
66,OK,3,-4962 -5246 -1773 4466 1234,6,110,116
67,OK,3,-5064 -4907 -1867 4457 1214,6,109,115
68,OK,3,-4892 -4866 -1749 4629 1344,6,109,115
69,OK,3,-5220 -4910 -1068 2482 -1071,6,110,116
70,OK,3,-5828 -4905 -1074 2791 -942,5,111,116
71,OK,3,-5049 -5004 -1878 4547 1145,6,116,122
72,OK,3,-4967 -4924 -1735 4614 1294,6,110,116
73,OK,3,-5012 -4995 -1770 4549 1132,6,110,116
74,OK,3,-4970 -4967 -1661 4623 817,6,110,116
75,OK,3,-4788 -4738 -1535 4788 618,6,110,116
76,OK,3,-5039 -5003 -1720 4547 1115,6,110,116
77,OK,3,-4897 -4823 -1708 4617 1316,6,109,115
78,OK,3,-5032 -4973 -1760 4595 1277,6,110,116
79,OK,3,-5101 -5029 -1824 4545 1162,6,110,116
80,OK,3,-5073 -4989 -1697 4590 1267,6,116,122
81,OK,3,-4903 -4880 -1739 4634 1353,6,110,116
82,OK,3,-4930 -4996 -1772 4535 1147,6,110,116
83,OK,3,-4999 -4643 -1947 4533 1468,7,109,116
84,OK,3,-4958 -4641 -1940 4528 1392,6,110,116
85,OK,3,-5063 -4975 -1923 4481 1045,6,110,116
86,OK,3,-4944 -4932 -1802 4554 1171,6,110,116
87,OK,3,-5206 -5042 -1710 4456 1020,6,110,116
88,OK,3,-5026 -4926 -1562 4618 343,6,109,115
89,OK,3,-4909 -4573 -1780 4695 649,6,110,116
90,OK,3,-5047 -5075 -1620 4506 1128,6,109,115
91,OK,3,-5088 -4963 -1763 4522 1177,6,109,115
92,OK,3,-5131 -5013 -1848 4463 1056,6,110,116
93,OK,3,-6547 -5211 -1026 3152 -679,6,110,116
94,OK,3,-4991 -4908 -1868 4549 1177,6,110,116
95,OK,3,-5176 -5051 -1719 4459 1003,6,109,115
96,OK,3,-5067 -4975 -1752 4525 1159,6,110,116
97,OK,3,-9541 -4637 -502 3776 406,6,110,116
98,OK,3,-5057 -5015 -1877 4477 1022,6,110,116
99,OK,3,-9708 -4375 -581 3744 562,6,110,116
100,OK,3,-5178 -5034 -1751 4459 1023,6,116,122
101,OK,3,-5197 -5008 -1725 4523 1132,6,110,116
102,OK,3,-5077 -4966 -1756 4527 1159,6,109,115
103,OK,3,-5475 -5128 -1376 4411 1072,6,110,116
104,OK,3,-5090 -4866 -1782 4570 1311,6,109,115
105,OK,3,-5252 -5048 -1545 4501 1247,6,110,116
106,OK,3,-4987 -5020 -1912 4459 1146,7,109,116
107,OK,3,-5023 -4770 -1733 4561 1320,6,110,116
108,OK,3,-5217 -5128 -1732 4391 1046,6,109,115
