row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-5297 -5038 -1654 4441 1112,17,150,167
1,OK,3,-5190 -5464 248 1688 -1621,6,110,116
2,OK,3,-5043 -4997 -1959 4478 1221,6,110,116
3,OK,3,-5164 -4998 -1878 4448 1198,6,110,116
4,OK,3,-5005 -4754 -1805 4589 1369,6,110,116
5,OK,3,-5121 -4691 -1949 4469 1368,6,110,116
6,OK,3,-5099 -4665 -1990 4464 1373,7,109,116
7,OK,3,-5090 -4661 -2003 4463 1377,6,110,116
8,OK,3,-5231 -4779 -1761 4547 1240,6,116,122
9,OK,3,-4979 -4961 -1885 4512 1212,6,109,115
