row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-5826 -5779 -3040 3263 441,13,323,336
1,OK,3,-7060 -6801 -821 1653 -1494,8,309,317
2,OK,3,-6150 -6046 -3038 3276 377,9,310,319
3,OK,3,-5818 -5770 -2945 3405 370,8,309,317
4,OK,3,-5974 -6042 -3006 3422 467,9,317,326
5,OK,3,-6261 -6149 -3225 3124 572,8,315,323
6,OK,3,-6287 -6175 -3213 3119 601,16,310,326
7,OK,3,-6263 -6175 -3204 3133 601,9,308,317
8,OK,3,-6084 -6010 -3227 3202 440,9,310,319
9,OK,3,-6182 -6089 -3071 3270 412,9,308,317
10,OK,3,-6228 -6118 -3126 3283 387,9,310,319
11,OK,3,-6290 -6182 -3090 3261 531,8,308,316
12,OK,3,-6083 -6068 -3105 3334 395,9,317,326
13,OK,3,-5799 -5776 -2995 3313 515,9,308,317
14,OK,3,-6025 -6021 -3063 3322 378,10,310,320
15,OK,3,-6045 -5969 -3080 3281 440,8,309,317
16,OK,3,-6006 -5971 -3047 3300 400,9,310,319
17,OK,3,-5946 -5978 -3061 3322 426,8,308,316
18,OK,3,-6016 -5965 -3051 3288 410,9,317,326
19,OK,3,-6124 -6012 -3110 3277 450,8,315,323
20,OK,3,-5705 -5590 -2980 3447 419,9,317,326
21,OK,3,-5889 -5886 -2927 3423 -140,8,315,323
22,OK,3,-5951 -5865 -2949 3384 422,9,311,320
23,OK,3,-5913 -5826 -2957 3410 428,8,308,316
24,OK,3,-6068 -6044 -3044 3368 454,10,310,320
25,OK,3,-5910 -5833 -3017 3300 480,9,308,317
26,OK,3,-6025 -6000 -3088 3337 508,10,310,320
27,OK,3,-5970 -5936 -3064 3305 498,8,315,323
28,OK,3,-5670 -5544 -2971 3443 407,9,311,320
29,OK,3,-5541 -5422 -2953 3461 386,8,309,317
30,OK,3,-5792 -5713 -2996 3454 452,9,311,320
31,OK,3,-6055 -6029 -3006 3393 455,9,308,317
32,OK,3,-6242 -6187 -3016 3436 514,9,311,320
33,OK,3,-5669 -5450 -2955 3426 413,8,308,316
34,OK,3,-6165 -6006 -3082 3242 404,9,310,319
35,OK,3,-5795 -5688 -2963 3463 442,8,309,317
36,OK,3,-5795 -5633 -2976 3417 477,10,310,320
37,OK,3,-5610 -5387 -2951 3435 406,8,315,323
38,OK,3,-6099 -5998 -3071 3275 412,9,316,325
39,OK,3,-6018 -6036 -3139 3310 393,8,308,316
40,OK,3,-5948 -6022 -3115 3340 395,9,310,319
41,OK,3,-5873 -5811 -2951 3367 388,8,309,317
42,OK,3,-5896 -5912 -2960 3476 -166,9,310,319
43,OK,3,-6069 -6017 -3105 3292 368,8,308,316
44,OK,3,-5792 -5787 -2951 3372 406,10,310,320
45,OK,3,-6251 -6059 -3081 3242 345,8,315,323
46,OK,3,-5933 -5872 -2930 3361 402,10,316,326
47,OK,3,-5922 -6012 -3116 3343 421,9,308,317
48,OK,3,-5964 -5924 -2963 3342 422,10,310,320
49,OK,3,-6067 -6064 -2996 3369 440,8,308,316
50,OK,3,-5844 -5848 -2961 3361 401,9,317,326
51,OK,3,-5576 -5533 -2976 3420 419,8,315,323
