row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-5826 -5779 -3040 3263 441,23,381,404
1,OK,3,-7060 -6801 -821 1653 -1494,8,315,323
2,OK,3,-6150 -6046 -3038 3276 377,9,317,326
3,OK,3,-5818 -5770 -2945 3405 370,8,309,317
4,OK,3,-5974 -6042 -3006 3422 467,9,311,320
5,OK,3,-6261 -6149 -3225 3124 572,8,309,317
6,OK,3,-6287 -6175 -3213 3119 601,9,310,319
7,OK,3,-6263 -6175 -3204 3133 601,9,308,317
8,OK,3,-6084 -6010 -3227 3202 440,9,317,326
9,OK,3,-6182 -6089 -3071 3270 412,9,308,317
