row_id,timing_row_id,original_full_test_row_id,source_row_index,true_label,fixed_pred,fp32_pred,fixed_logit_0,fixed_logit_1,fixed_logit_2,fixed_logit_3,fixed_logit_4
0,0,35274,235285,0,0,0,2895,-6182,-417,-2684,-2043
1,1,35846,239070,1,1,1,-9359,5242,-1413,2831,-202
2,2,17899,120040,2,2,2,1215,-4475,1957,-2460,-5565
3,3,8233,54621,3,3,3,-5108,-5385,-2292,4222,352
4,4,43594,290001,4,4,4,-3443,-5031,-1485,-653,5074
5,5,51782,344606,0,0,0,1476,-5450,926,-2425,-2575
6,6,52225,347272,1,1,1,-5993,4345,-2829,2483,-185
7,7,25116,168153,2,2,2,-6771,-4525,4011,879,-3028
8,8,15248,102179,3,3,3,-4008,-4046,-1368,5387,-4233
9,9,11926,79551,4,4,4,-3139,-4351,-1562,1152,5680
10,10,30969,207277,0,0,0,1367,-8451,-198,-996,-2357
11,11,44063,293074,1,1,1,-4733,5216,-1710,1752,-2167
12,12,24492,164153,2,2,2,-7402,-5697,5781,523,-3909
13,13,32087,214385,3,3,3,-5391,-5305,-2423,4189,584
14,14,13221,88329,4,4,4,-3517,-5230,-1665,-586,5312
15,15,39936,266449,0,0,0,1281,-9370,-2152,146,-1360
16,16,35887,239379,1,1,1,-5171,5194,-1918,2122,-2396
17,17,19352,129996,2,2,2,-6801,-7435,3489,494,688
18,18,36044,240361,3,3,3,-4120,-3978,-1401,5287,-3522
19,19,9980,66571,4,4,4,-2149,-1860,531,2691,6958
20,20,35076,233987,0,0,0,3197,-4928,-2511,-1436,-2130
21,21,35796,238742,1,1,1,-3249,3579,-372,-10,-336
22,22,24481,164107,2,0,0,1587,-7259,1217,-1997,-4048
23,23,52103,346538,3,3,3,-5108,-5125,-2627,3957,-445
24,24,13176,87952,4,4,4,-8638,-7084,-305,1338,5186
25,25,51730,344325,0,2,2,803,-7298,1050,-1814,-2120
26,26,44059,293064,1,1,1,-4823,5187,-1761,1853,-2329
27,27,17840,119690,2,2,0,1083,-5974,1098,-2163,-2896
28,28,10753,71895,3,3,3,-5255,-5343,-2307,4248,277
29,29,54932,365435,4,4,4,-3471,-5327,-2167,816,5785
30,30,51785,344653,0,0,0,1150,-4933,959,-2253,-2671
31,31,44680,297308,1,1,1,-5291,5390,-1792,1953,-2076
32,32,19959,134432,2,2,2,-9037,-4332,5839,1168,-3492
33,33,10305,68703,3,3,3,-4925,-4965,-1822,4632,-1049
34,34,15083,101052,4,4,4,-5244,-6704,311,812,4431
35,35,34404,229481,0,0,0,2723,-6616,-2029,-1619,-721
36,36,44070,293119,1,1,1,-4282,5064,-1789,1763,-2799
37,37,22708,152434,2,2,2,1144,-6549,1595,-2149,-3469
38,38,30143,201423,3,3,3,-5275,-5001,-2139,4480,-74
39,39,47158,314148,4,4,4,-2293,-5177,-1615,-989,4565
40,40,30519,204145,0,0,0,3650,-6553,-2965,-1165,-1703
41,41,52422,348576,1,1,1,-4477,4248,-1157,1093,-1907
42,42,22770,152896,2,2,2,-6717,-5253,5521,225,-3885
43,43,12265,81847,3,3,3,-4852,-4344,-1821,4859,-2864
44,44,13770,92260,4,4,4,-4489,-5482,-1588,364,5601
45,45,32508,217143,0,0,0,3604,-5540,-2249,-2063,-1492
46,46,1034,6986,1,1,1,-3172,3999,-1530,1570,-3222
47,47,21086,141539,2,2,2,-8686,-3786,5507,1178,-3524
48,48,33595,224303,3,3,3,-5155,-5451,-2339,4042,703
49,49,9832,65570,4,4,4,-3584,-5221,-1574,-545,5242
50,50,34357,229177,0,0,0,3675,-6117,-3000,-1511,-1262
51,51,1653,11056,1,1,1,-5281,5141,-1509,1776,-2104
52,52,21036,141256,2,2,2,-3567,-4645,3917,-774,-3415
53,53,49358,328600,3,3,3,-5074,-5105,-2054,4609,-185
54,54,42643,283970,4,4,4,-2978,-3701,-1017,1329,5606
55,55,50961,339368,0,0,0,1890,-6037,1349,-2295,-4135
56,56,4140,27752,1,1,1,-5230,5451,-1840,1978,-2514
57,57,21610,145148,2,2,2,997,-5317,1324,-2300,-2900
58,58,1328,8872,3,3,3,-5509,-5298,-2390,4101,965
59,59,46710,310912,4,4,4,-3389,-4692,-1617,943,5628
60,60,51823,344880,0,0,0,1444,-5195,981,-2184,-3267
61,61,44685,297353,1,1,1,-4588,4916,-1881,2036,-3042
62,62,22821,153202,2,2,2,-5945,-5347,4376,467,-3773
63,63,51659,343875,3,3,3,-5187,-5257,-2308,4171,1019
64,64,47128,313976,4,4,4,-3034,-3673,-998,1327,5498
65,65,50861,338703,0,0,0,1450,-5426,1015,-2160,-3323
66,66,4352,29015,1,1,1,-6204,5607,-1454,2136,-1708
67,67,48955,326038,2,2,2,1195,-4290,1788,-2468,-5167
68,68,43922,292132,3,3,3,-5648,-5154,-2780,3818,601
69,69,42217,281227,4,4,4,-2790,-3646,-791,1580,6339
70,70,31102,208167,0,2,2,1379,-6877,1877,-2265,-4169
71,71,4364,29108,1,1,1,-5805,5116,-1691,2186,-1980
72,72,21157,142015,2,2,2,-8349,-4624,5389,1060,-3645
73,73,43028,286592,3,3,3,-4018,-3865,-1414,5302,-4718
74,74,45669,303720,4,4,4,-2799,-5126,-1450,-754,4629
75,75,28654,191775,0,0,0,3650,-7228,-2195,-1554,-1714
76,76,45232,300714,1,1,1,-8635,4838,-1072,2479,6
77,77,41112,273945,2,2,2,681,-5637,1516,-2380,-2513
78,78,52296,347833,3,3,3,-4719,-4937,-1710,4933,-5110
79,79,15676,105077,4,4,4,-6786,-5833,-99,1654,4995
80,80,29676,198456,0,0,0,1858,-5806,1199,-2313,-3842
81,81,43786,291242,1,1,1,-7306,6004,-1459,2601,-1698
82,82,41275,275090,2,2,2,-4157,-5646,4282,-499,-3789
83,83,11599,77380,3,3,3,-5049,-5516,-2385,4175,334
84,84,12549,83764,4,4,4,-1581,1130,4611,6143,11715
85,85,51741,344369,0,0,0,3686,-6693,-2965,-1244,-1557
86,86,3014,20237,1,1,1,-4426,4520,-2038,2446,-3593
87,87,49796,331635,2,0,0,1892,-5633,1468,-2342,-4578
88,88,42353,282206,3,3,3,-7612,-3538,-1225,4158,-2100
89,89,46195,307372,4,4,4,-1348,-5467,-1923,-1439,4571
90,90,50968,339470,0,0,0,3080,-5643,-485,-2691,-2543
91,91,4118,27599,1,1,1,-3811,4649,-2078,2492,-5052
92,92,21619,145178,2,2,2,909,-5278,1467,-2314,-3015
93,93,33651,224634,3,3,3,-5375,-5207,-2316,4149,751
94,94,15554,104257,4,4,4,-5115,-6828,56,951,4407
95,95,33412,223145,0,0,0,3026,-5487,-2599,-1111,-2480
96,96,44676,297280,1,1,1,-3136,4048,-1451,1423,-2724
97,97,48925,325835,2,2,2,-8634,-2985,5552,716,-3460
98,98,29925,200018,3,3,3,-5184,-5401,-2285,4179,833
99,99,9677,64548,4,4,4,-3834,-4634,-1303,915,5742
100,100,30376,203144,0,2,2,1542,-6648,1553,-2206,-3945
101,101,44634,296991,1,1,1,-3943,4717,-2141,2721,-5476
102,102,19760,132897,2,2,2,-8269,-6521,3242,1349,-425
103,103,33206,221682,3,3,3,-5284,-5018,-2151,4448,-437
104,104,10772,72015,4,4,4,-2994,-4187,-1297,1145,5427
105,105,29482,197464,0,0,0,989,-7084,986,-1930,-2133
106,106,3801,25640,1,1,1,-5078,4905,-2059,2496,-3000
107,107,19881,133829,2,2,2,-6570,-7038,3639,286,147
108,108,258,1660,3,3,3,-6102,-6179,-2728,3974,651
109,109,8821,58587,4,4,4,-2287,-522,2978,4710,10175
110,110,33273,222115,0,0,0,3516,-6604,-2927,-1475,-964
111,111,45211,300605,1,1,1,-6342,5260,-2102,2885,-2286
112,112,48961,326067,2,2,2,-8709,-2325,6065,685,-4923
113,113,49962,332870,3,3,3,-5380,-5356,-2410,4116,677
114,114,10599,70632,4,4,4,-4153,-3127,1077,2849,8695
115,115,33327,222481,0,0,0,1524,-7138,591,-1713,-3729
116,116,45237,300755,1,1,1,-3319,4086,-1434,1497,-2842
117,117,25165,168500,2,2,2,-6347,-5249,5621,-12,-3989
118,118,23528,157816,3,3,3,-5215,-4964,-2272,4232,-632
119,119,46515,309697,4,4,4,-2638,-2326,572,2600,7248
120,120,29858,199543,0,0,0,3502,-5639,-2754,-1035,-2432
121,121,3353,22640,1,1,1,-5700,4981,-1885,2353,-2362
122,122,22793,153052,2,2,2,1304,-6557,1989,-2355,-4136
123,123,50079,333608,3,3,3,-5358,-5269,-2360,4112,939
124,124,12597,84027,4,4,4,-2661,-3115,-739,1550,5674
125,125,50876,338766,0,2,2,1127,-5375,1309,-2085,-3540
126,126,3021,20261,1,1,1,-5226,4887,-2129,2642,-3183
127,127,21608,145142,2,2,2,-7919,-3813,5304,479,-2564
128,128,12059,80390,3,3,3,-4875,-4757,-1707,4891,-1677
129,129,47302,315020,4,4,4,-553,-4742,-1238,-1958,3102
130,130,33799,225673,0,0,0,3217,-5583,-2656,-1171,-2509
131,131,3338,22540,1,1,1,-6129,5293,-2588,2793,-2067
132,132,40423,269768,2,2,2,-9298,-6015,2890,1322,1710
133,133,24685,165276,3,3,3,-5443,-5228,-2384,4097,873
134,134,10106,67440,4,4,4,-2181,-1132,1854,3733,8575
135,135,26775,179541,0,2,2,1061,-6135,1161,-2007,-3082
136,136,44559,296486,1,1,1,-3578,3265,-1261,2116,-3395
137,137,50239,334614,2,2,2,-4608,-5783,1792,412,-524
138,138,29797,199117,3,3,3,-5249,-5472,-2448,4149,1049
139,139,35330,235651,4,4,4,-2790,-5512,-1508,-652,4694
140,140,35184,234733,0,0,0,1594,-7685,339,-1488,-2804
141,141,2467,16582,1,1,1,-5315,5258,-1903,2141,-2482
142,142,22745,152726,2,2,2,1061,-6280,1954,-2289,-3921
143,143,43497,289439,3,3,3,-4974,-4917,-1888,4676,-1558
144,144,41638,277456,4,4,4,-2903,-4013,-1345,1297,5637
145,145,33002,220239,0,0,0,3677,-6236,-2948,-1382,-1530
146,146,45038,299579,1,1,1,-2922,4285,-1611,1483,-3444
147,147,25146,168353,2,2,2,-7215,-4858,5392,509,-3635
148,148,10268,68446,3,3,3,-4846,-4984,-1954,4519,-623
149,149,11437,76325,4,4,4,-4097,-4717,-1335,1027,6158
150,150,40063,267172,0,0,0,1546,-6069,1283,-2222,-3607
151,151,44596,296755,1,1,1,-6920,5489,-1820,2885,-1941
152,152,21749,146104,2,0,0,1669,-6475,1509,-2209,-4185
153,153,39850,265908,3,3,3,-5133,-4970,-2056,4446,69
154,154,36106,240750,4,4,4,-2335,-3956,-1773,1500,5606
155,155,34309,228860,0,0,0,3474,-5334,-2735,-1371,-1761
156,156,43817,291447,1,1,1,-5412,5500,-1813,2089,-2220
157,157,23899,160291,2,2,2,-7124,-6070,2716,1031,-1145
158,158,13712,91872,3,3,3,-5413,-4958,-2139,4425,-466
159,159,42800,285038,4,4,4,-3150,-3094,-8,2067,6832
160,160,35303,235410,0,0,0,1439,-7129,1439,-2059,-3950
161,161,35742,238384,1,1,1,-4465,4631,-1755,2078,-2496
162,162,25155,168421,2,0,2,1597,-6207,1560,-2318,-3963
163,163,49882,332269,3,3,3,-5472,-5347,-2347,4106,832
164,164,54805,364663,4,4,4,-3294,-3726,-819,1373,5907
165,165,26751,179461,0,0,0,1123,-6657,1077,-2058,-2456
166,166,3792,25568,1,1,1,-5535,4982,-2004,2550,-2285
167,167,25188,168721,2,2,2,-4484,-5769,4805,-503,-4168
168,168,49971,332925,3,3,3,-5258,-5292,-2444,4177,1024
169,169,11917,79451,4,4,4,-3197,-3716,-988,1298,5704
170,170,33326,222480,0,0,0,1696,-7400,-756,-1101,-3577
171,171,52610,349820,1,1,1,-4532,4410,-1173,1436,-1767
172,172,21092,141584,2,2,2,-7809,-3989,5132,944,-3583
173,173,11870,79205,3,3,3,-5279,-5122,-2031,4458,-245
