row_id,timing_row_id,original_full_test_row_id,source_row_index,true_label,fixed_pred,fp32_pred,fixed_logit_0,fixed_logit_1,fixed_logit_2,fixed_logit_3,fixed_logit_4
0,0,35274,235285,0,0,0,219,-1159,-217,-636,-263
1,1,35846,239070,1,1,1,-3043,690,-217,296,-330
2,2,17899,120040,2,2,0,211,-1172,250,-264,-558
3,3,8233,54621,3,3,3,-470,-550,-498,234,90
4,4,43594,290001,4,4,4,-762,-1640,-1205,-816,914
5,5,51782,344606,0,0,0,151,-511,95,-478,-501
6,6,52225,347272,1,1,1,-844,292,-199,-12,-238
7,7,25116,168153,2,2,2,-524,-543,249,-170,-293
8,8,15248,102179,3,3,3,-669,-922,-588,621,153
9,9,11926,79551,4,4,4,-1739,-2581,-2200,-1125,1843
10,10,30969,207277,0,0,0,87,-1019,-175,-464,-188
11,11,44063,293074,1,1,1,-1379,600,-517,188,-312
12,12,24492,164153,2,2,2,-642,-707,298,-174,-283
13,13,32087,214385,3,3,3,-730,-1025,-1062,471,253
14,14,13221,88329,4,4,4,-822,-1887,-1395,-858,1031
15,15,39936,266449,0,0,0,79,-759,-223,-236,-173
16,16,35887,239379,1,1,1,-1255,553,-484,166,-266
17,17,19352,129996,2,2,2,-1487,-530,419,-75,-35
18,18,36044,240361,3,3,3,-698,-881,-383,504,33
19,19,9980,66571,4,4,4,-4103,-4693,-4115,-2009,3817
20,20,35076,233987,0,0,0,559,-1528,-297,-831,-845
21,21,35796,238742,1,1,1,-1103,472,-515,40,-383
22,22,24481,164107,2,0,0,104,-1056,58,-500,-382
23,23,52103,346538,3,3,3,-635,-868,-905,406,68
24,24,13176,87952,4,4,4,-4827,-557,340,326,856
25,25,51730,344325,0,2,2,22,-630,121,-459,-291
26,26,44059,293064,1,1,1,-1346,584,-482,174,-299
27,27,17840,119690,2,2,2,159,-772,183,-368,-408
28,28,10753,71895,3,3,3,-418,-551,-567,233,88
29,29,54932,365435,4,4,4,-1345,-2243,-1787,-972,1452
30,30,51785,344653,0,0,0,124,-471,80,-457,-515
31,31,44680,297308,1,1,1,-1470,618,-492,194,-304
32,32,19959,134432,2,2,2,-562,-608,291,-135,-303
33,33,10305,68703,3,3,3,-802,-1071,-841,412,138
34,34,15083,101052,4,4,4,-2843,-1582,-633,-1076,1274
35,35,34404,229481,0,0,0,337,-1212,-251,-544,-307
36,36,44070,293119,1,1,1,-1319,574,-449,158,-300
37,37,22708,152434,2,2,2,79,-801,228,-552,-424
38,38,30143,201423,3,3,3,-1250,-1628,-1349,582,223
39,39,47158,314148,4,4,4,-527,-1202,-886,-780,639
40,40,30519,204145,0,0,0,429,-1042,-133,-690,-615
41,41,52422,348576,1,1,1,-1601,339,-230,-89,-866
42,42,22770,152896,2,2,2,-499,-661,284,-202,-317
43,43,12265,81847,3,3,3,-1370,-1859,-1538,714,219
44,44,13770,92260,4,4,4,-1133,-2051,-1592,-914,1266
45,45,32508,217143,0,0,0,408,-1177,-139,-631,-465
46,46,1034,6986,1,1,1,-1096,470,-305,65,-269
47,47,21086,141539,2,2,2,-497,-539,265,-135,-333
48,48,33595,224303,3,3,3,-538,-939,-923,343,164
49,49,9832,65570,4,4,4,-799,-1782,-1306,-829,978
50,50,34357,229177,0,0,0,501,-1374,-44,-779,-657
51,51,1653,11056,1,1,1,-1404,538,-246,82,-284
52,52,21036,141256,2,2,2,-228,-482,174,-266,-420
53,53,49358,328600,3,3,3,-936,-1429,-1338,592,303
54,54,42643,283970,4,4,4,-2014,-2856,-2524,-1243,2132
55,55,50961,339368,0,0,0,270,-853,206,-501,-506
56,56,4140,27752,1,1,1,-1596,641,-410,184,-309
57,57,21610,145148,2,2,2,99,-579,132,-517,-480
58,58,1328,8872,3,3,3,-372,-516,-577,228,131
59,59,46710,310912,4,4,4,-1621,-2466,-2097,-1118,1733
60,60,51823,344880,0,0,0,232,-593,112,-482,-520
61,61,44685,297353,1,1,1,-1232,531,-374,126,-263
62,62,22821,153202,2,2,2,-423,-709,261,-176,-335
63,63,51659,343875,3,3,3,-491,-758,-854,371,250
64,64,47128,313976,4,4,4,-1987,-2754,-2463,-1249,2091
65,65,50861,338703,0,0,0,219,-632,134,-496,-500
66,66,4352,29015,1,1,1,-1786,751,-663,210,-370
67,67,48955,326038,2,2,2,45,-1041,270,-261,-527
68,68,43922,292132,3,3,3,-1031,-1074,-916,571,71
69,69,42217,281227,4,4,4,-2842,-3509,-2940,-1577,2661
70,70,31102,208167,0,2,2,120,-937,217,-510,-458
71,71,4364,29108,1,1,1,-1744,660,-317,147,-309
72,72,21157,142015,2,2,2,-442,-677,249,-93,-325
73,73,43028,286592,3,3,3,-747,-1012,-592,643,127
74,74,45669,303720,4,4,4,-664,-1320,-1025,-835,772
75,75,28654,191775,0,0,0,345,-978,-22,-628,-519
76,76,45232,300714,1,1,1,-3942,726,-54,179,-151
77,77,41112,273945,2,2,2,-1,-591,153,-551,-433
78,78,52296,347833,3,3,3,-1078,-1126,-126,650,-100
79,79,15676,105077,4,4,4,-3391,-2106,-1052,-1393,1689
80,80,29676,198456,0,0,0,271,-771,186,-490,-504
81,81,43786,291242,1,1,1,-2085,758,-881,101,-703
82,82,41275,275090,2,2,2,-335,-678,259,-267,-348
83,83,11599,77380,3,3,3,-357,-508,-510,206,60
84,84,12549,83764,4,4,4,-9984,-9930,-8452,-4443,8438
85,85,51741,344369,0,0,0,437,-1081,-66,-681,-582
86,86,3014,20237,1,1,1,-869,467,-475,72,-192
87,87,49796,331635,2,0,0,274,-880,222,-454,-529
88,88,42353,282206,3,2,2,-698,-749,202,138,-216
89,89,46195,307372,4,4,4,-232,-1295,-643,-633,314
90,90,50968,339470,0,0,0,293,-1003,139,-546,-487
91,91,4118,27599,1,1,1,-1264,481,-371,51,-411
92,92,21619,145178,2,2,2,88,-577,132,-520,-481
93,93,33651,224634,3,3,3,-667,-1162,-1263,403,284
94,94,15554,104257,4,4,4,-2694,-1499,-634,-1101,1165
95,95,33412,223145,0,0,0,197,-1164,-364,-831,-921
96,96,44676,297280,1,1,1,-1083,501,-428,126,-262
97,97,48925,325835,2,2,2,-474,-596,262,-40,-292
98,98,29925,200018,3,3,3,-483,-716,-715,254,137
99,99,9677,64548,4,4,4,-1566,-2502,-2071,-1057,1704
100,100,30376,203144,0,2,2,190,-886,211,-524,-469
101,101,44634,296991,1,1,1,-1330,536,-395,70,-366
102,102,19760,132897,2,2,2,-647,-571,247,-238,-655
103,103,33206,221682,3,3,3,-1274,-1767,-1509,701,308
104,104,10772,72015,4,4,4,-1697,-2422,-2100,-1110,1778
105,105,29482,197464,0,2,2,64,-599,109,-462,-318
106,106,3801,25640,1,1,1,-1110,526,-475,125,-209
107,107,19881,133829,2,2,2,-658,-705,327,-224,-522
108,108,258,1660,3,3,3,-1215,-880,-497,347,199
109,109,8821,58587,4,4,4,-7672,-7956,-6746,-3499,6613
110,110,33273,222115,0,0,0,455,-1306,-109,-632,-517
111,111,45211,300605,1,1,1,-1442,646,-526,144,-255
112,112,48961,326067,2,2,2,-511,-900,394,-58,-421
113,113,49962,332870,3,3,3,-516,-813,-900,347,217
114,114,10599,70632,4,4,4,-4834,-5574,-4652,-2364,4375
115,115,33327,222481,0,0,0,82,-975,-56,-340,-362
116,116,45237,300755,1,1,1,-1227,532,-348,118,-279
117,117,25165,168500,2,2,2,-382,-669,270,-199,-351
118,118,23528,157816,3,3,3,-1346,-1687,-1372,658,232
119,119,46515,309697,4,4,4,-4126,-4824,-4242,-2063,3889
120,120,29858,199543,0,0,0,240,-1185,-268,-781,-780
121,121,3353,22640,1,1,1,-1101,495,-392,99,-222
122,122,22793,153052,2,2,2,141,-899,220,-508,-468
123,123,50079,333608,3,3,3,-659,-1203,-1216,364,240
124,124,12597,84027,4,4,4,-2301,-3124,-2791,-1307,2396
125,125,50876,338766,0,0,0,163,-611,123,-458,-497
126,126,3021,20261,1,1,1,-1094,519,-449,114,-195
127,127,21608,145142,2,2,2,-580,-397,198,-167,-334
128,128,12059,80390,3,3,3,-977,-1371,-1077,540,183
129,129,47302,315020,4,4,4,-212,-914,-494,-673,250
130,130,33799,225673,0,0,0,276,-1266,-359,-836,-904
131,131,3338,22540,1,1,1,-1212,554,-422,100,-186
132,132,40423,269768,2,2,2,-1872,-260,404,-13,100
133,133,24685,165276,3,3,3,-550,-785,-820,285,170
134,134,10106,67440,4,4,4,-5966,-6400,-5532,-2797,5301
135,135,26775,179541,0,0,0,155,-644,139,-395,-405
136,136,44559,296486,1,1,1,-1328,531,-329,74,-237
137,137,50239,334614,2,3,3,-400,-320,-100,-54,-373
138,138,29797,199117,3,3,3,-900,-997,-1170,385,299
139,139,35330,235651,4,4,4,-529,-1148,-795,-706,594
140,140,35184,234733,0,0,0,147,-846,-74,-361,-326
141,141,2467,16582,1,1,1,-1339,570,-433,160,-273
142,142,22745,152726,2,2,2,108,-838,229,-521,-456
143,143,43497,289439,3,3,3,-951,-1176,-966,474,149
144,144,41638,277456,4,4,4,-1876,-2727,-2374,-1184,1993
145,145,33002,220239,0,0,0,488,-1249,-115,-756,-659
146,146,45038,299579,1,1,1,-1006,470,-395,71,-302
147,147,25146,168353,2,2,2,-520,-614,284,-178,-307
148,148,10268,68446,3,3,3,-757,-1047,-808,382,130
149,149,11437,76325,4,4,4,-1743,-2808,-2299,-1124,1892
150,150,40063,267172,0,2,2,205,-785,207,-521,-468
151,151,44596,296755,1,1,1,-1647,724,-638,183,-319
152,152,21749,146104,2,0,0,228,-947,215,-489,-497
153,153,39850,265908,3,3,3,-826,-1232,-1288,427,274
154,154,36106,240750,4,4,4,-1851,-2581,-2232,-1121,1913
155,155,34309,228860,0,0,0,531,-1423,-157,-804,-727
156,156,43817,291447,1,1,1,-1698,697,-510,211,-299
157,157,23899,160291,2,2,2,-755,-427,125,-329,-746
158,158,13712,91872,3,3,3,-1060,-1349,-1203,544,211
159,159,42800,285038,4,4,4,-3303,-4135,-3622,-1729,3232
160,160,35303,235410,0,2,0,105,-991,117,-518,-403
161,161,35742,238384,1,1,1,-1012,531,-556,107,-261
162,162,25155,168421,2,2,2,213,-836,215,-519,-482
163,163,49882,332269,3,3,3,-422,-847,-884,292,200
164,164,54805,364663,4,4,4,-2166,-3085,-2702,-1282,2288
165,165,26751,179461,0,0,0,132,-554,93,-438,-377
