row_id,timing_row_id,original_full_test_row_id,source_row_index,true_label,fixed_pred,fp32_pred,fixed_logit_0,fixed_logit_1,fixed_logit_2,fixed_logit_3,fixed_logit_4
0,0,35274,235285,0,0,0,4982,-15267,-5423,-7222,-5608
1,1,35846,239070,1,1,1,-13363,3004,-8959,-1425,-6493
2,2,17899,120040,2,2,2,-154,-15201,687,-7582,-15565
3,3,8233,54621,3,3,3,-11585,-11688,-5520,7053,-197
4,4,43594,290001,4,4,4,-11866,-10883,-4922,-2569,6711
5,5,51782,344606,0,0,0,-1354,-16968,-2277,-8949,-9767
6,6,52225,347272,1,1,1,-12732,2809,-11098,-1,-8239
7,7,25116,168153,2,2,2,-14356,-12929,4041,-2631,-10399
8,8,15248,102179,3,3,3,-9153,-9961,-2998,9226,-9608
9,9,11926,79551,4,4,4,-11585,-10804,-4666,-2435,7278
10,10,30969,207277,0,0,0,1520,-17518,-1896,-6531,-6142
11,11,44063,293074,1,1,1,-16193,3827,-5960,-1694,-10106
12,12,24492,164153,2,2,2,-10885,-13404,7877,-2792,-14618
13,13,32087,214385,3,3,3,-11554,-12279,-5468,6744,23
14,14,13221,88329,4,4,4,-12199,-10194,-5659,-3073,6668
15,15,39936,266449,0,0,0,1021,-16355,-4824,-5116,-3526
16,16,35887,239379,1,1,1,-14864,3768,-6427,-1053,-9809
17,17,19352,129996,2,2,2,-14306,-17936,4315,-2791,-895
18,18,36044,240361,3,3,3,-9945,-9822,-2911,9197,-9200
19,19,9980,66571,4,4,4,-10456,-11351,-5260,-2379,6971
20,20,35076,233987,0,0,0,4832,-14246,-6998,-4115,-6071
21,21,35796,238742,1,1,1,-10054,2836,-6028,-2555,-5364
22,22,24481,164107,2,0,0,2562,-15543,523,-6055,-10949
23,23,52103,346538,3,3,3,-10859,-11194,-5004,7000,-261
24,24,13176,87952,4,4,4,-16501,-16958,-1234,-925,8149
25,25,51730,344325,0,0,0,126,-17522,-1454,-7367,-7423
26,26,44059,293064,1,1,1,-16165,3820,-6458,-1486,-10095
27,27,17840,119690,2,2,2,-1379,-17137,-1248,-8008,-9180
28,28,10753,71895,3,3,3,-11604,-11744,-5323,7133,-217
29,29,54932,365435,4,4,4,-11934,-11016,-5239,-2512,7108
30,30,51785,344653,0,0,0,-1495,-15936,-3337,-9014,-9343
31,31,44680,297308,1,1,1,-16359,4038,-6367,-1617,-10635
32,32,19959,134432,2,2,2,-14789,-13822,6979,-3720,-13520
33,33,10305,68703,3,3,3,-9584,-10564,-4208,8299,-3319
34,34,15083,101052,4,4,4,-12165,-14236,-4147,-674,7428
35,35,34404,229481,0,0,0,4176,-13456,-7073,-5427,-3893
36,36,44070,293119,1,1,1,-15674,4029,-6665,-1598,-10240
37,37,22708,152434,2,2,2,-319,-16943,1094,-7759,-8963
38,38,30143,201423,3,3,3,-11006,-10834,-4477,7540,-1769
39,39,47158,314148,4,4,4,-10801,-11368,-5331,-2110,7020
40,40,30519,204145,0,0,0,5591,-13223,-7068,-4246,-6126
41,41,52422,348576,1,1,1,-12482,3917,-7039,-264,-7473
42,42,22770,152896,2,2,2,-12407,-13436,6722,-3238,-13718
43,43,12265,81847,3,3,3,-8907,-8336,-2626,9631,-5950
44,44,13770,92260,4,4,4,-12016,-10838,-5167,-2525,6988
45,45,32508,217143,0,0,0,4430,-13342,-7556,-5205,-4084
46,46,1034,6986,1,1,1,-14018,4368,-7201,-579,-9284
47,47,21086,141539,2,2,2,-16226,-13621,6081,-4051,-12887
48,48,33595,224303,3,3,3,-11423,-12079,-5813,6654,705
49,49,9832,65570,4,4,4,-12157,-10652,-5364,-2744,6762
50,50,34357,229177,0,0,0,4925,-15531,-7774,-4357,-3894
51,51,1653,11056,1,1,1,-15262,5010,-8846,-1731,-12378
52,52,21036,141256,2,2,2,-12055,-15529,3307,-6379,-11456
53,53,49358,328600,3,3,3,-11540,-11327,-4170,7569,-2083
54,54,42643,283970,4,4,4,-11220,-10459,-4661,-2648,7570
55,55,50961,339368,0,0,0,1071,-15000,-1049,-6970,-12235
56,56,4140,27752,1,1,1,-16551,4648,-7595,-2052,-12038
57,57,21610,145148,2,2,2,-1869,-17191,-1631,-9161,-8845
58,58,1328,8872,3,3,3,-12273,-12349,-5804,6553,880
59,59,46710,310912,4,4,4,-11360,-10390,-4799,-2570,6922
60,60,51823,344880,0,0,0,-1369,-16795,-3153,-9020,-9877
61,61,44685,297353,1,1,1,-14852,4135,-7977,-1283,-10606
62,62,22821,153202,2,2,2,-11512,-12123,6250,-1659,-12718
63,63,51659,343875,3,3,3,-12516,-12600,-6118,6023,974
64,64,47128,313976,4,4,4,-10775,-10231,-4472,-2716,7617
65,65,50861,338703,0,0,0,-1007,-16959,-3047,-8799,-9790
66,66,4352,29015,1,1,1,-17555,4304,-7047,-1113,-11810
67,67,48955,326038,2,2,2,-1141,-15769,491,-8057,-14753
68,68,43922,292132,3,3,3,-11912,-11361,-5431,6133,172
69,69,42217,281227,4,4,4,-11279,-11096,-4988,-2616,6900
70,70,31102,208167,0,2,2,1271,-15585,2200,-6480,-11090
71,71,4364,29108,1,1,1,-12561,5745,-7867,-2607,-12737
72,72,21157,142015,2,2,2,-13411,-12571,7341,-2694,-13679
73,73,43028,286592,3,3,3,-8968,-9693,-2950,9407,-10079
74,74,45669,303720,4,4,4,-11023,-10853,-5081,-2006,7137
75,75,28654,191775,0,0,0,5334,-13581,-7004,-5617,-4969
