row_id,timing_row_id,original_full_test_row_id,source_row_index,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
0,0,35274,235285,794368,256,129559040,0,256,6656,0,256,256,0,0,0,61696,0,0,0,2
1,1,35846,239070,256768,256,53774080,0,2816,5888,0,768,256,0,0,0,138240,46336,41507,0,719
2,2,17899,120040,883968,256,717081600,0,256,2304,0,0,0,0,0,0,0,0,0,0,3
3,3,8233,54621,51968,0,26642688,6608,0,768,256,0,0,256,256,8192,0,0,0,256,15
4,4,43594,290001,563968,256,129049600,0,256,2304,0,1536,1536,0,0,0,0,0,0,0,2
5,5,51782,344606,359168,256,102681600,0,256,5376,0,0,0,0,0,0,0,0,0,0,2
6,6,52225,347272,205568,256,51716096,0,768,5888,0,0,0,0,0,0,0,3328,31865,0,264
7,7,25116,168153,653568,256,129035264,0,256,6144,0,0,0,0,0,0,0,1280,32085,0,8
8,8,15248,102179,640768,0,129305600,0,0,0,0,0,0,0,0,3328,83200,3328,28749,0,165
9,9,11926,79551,307968,256,52232448,0,256,1024,0,3072,3072,0,0,0,0,0,0,0,76
10,10,30969,207277,589568,256,79629824,0,256,1792,0,0,0,0,0,0,0,0,0,0,1
11,11,44063,293074,243968,256,78341120,0,4864,7168,0,0,0,0,0,0,0,3328,33607,0,164
12,12,24492,164153,909568,256,155161600,0,256,6912,0,0,0,0,0,0,0,256,35681,0,12
13,13,32087,214385,256768,0,30720256,3147,0,2304,256,0,0,256,3072,20480,0,0,0,2304,34
14,14,13221,88329,845568,256,130329600,0,256,2048,0,1536,1536,0,0,0,0,0,0,0,2
15,15,39936,266449,384768,256,54023936,0,256,0,0,0,0,0,0,0,0,0,0,0,551
16,16,35887,239379,333568,256,78355200,0,4096,7168,0,0,0,0,0,0,0,3328,34709,0,281
17,17,19352,129996,525568,256,78361600,0,256,2048,0,512,256,0,0,0,105472,25344,31933,0,458
18,18,36044,240361,589568,0,129561600,0,0,0,0,0,0,0,0,3328,119808,3328,37208,0,246
19,19,9980,66571,26368,256,26132224,0,256,512,0,6912,6912,0,0,0,0,0,0,0,2
20,20,35076,233987,474368,256,77070080,0,256,512,0,13056,256,0,0,0,326144,0,0,0,2
21,21,35796,238742,167168,256,51993088,0,6144,3840,0,1280,256,0,0,0,0,0,0,0,75
22,22,24481,164107,896768,256,154882048,0,256,6656,0,0,0,0,0,0,0,0,0,0,2
23,23,52103,346538,90368,0,27408128,11928,0,6144,256,0,0,0,5632,0,0,0,0,1280,2
24,24,13176,87952,743168,256,128281600,0,256,1792,0,256,256,0,0,0,61696,61696,34826,0,444
25,25,51730,344325,243968,256,52497664,0,256,1280,0,0,0,0,0,0,0,0,0,0,1
26,26,44059,293064,231168,256,78102784,0,4352,7168,0,0,0,0,0,0,0,3328,35117,0,153
27,27,17840,119690,435968,256,256537600,0,256,2304,0,0,0,0,0,0,0,0,0,0,4
28,28,10753,71895,51968,0,26632704,13548,0,1024,256,0,0,256,256,9984,0,0,0,768,19
29,29,54932,365435,487168,256,77849600,0,256,256,0,2304,2304,0,0,0,0,0,0,0,171
30,30,51785,344653,384768,256,103193600,0,256,6400,0,0,0,0,0,0,0,0,0,0,101
31,31,44680,297308,231168,256,78338304,0,4608,7168,0,0,0,0,0,0,0,3328,40784,0,164
32,32,19959,134432,743168,256,180761600,0,256,6400,0,0,0,0,0,0,0,256,44452,0,6
33,33,10305,68703,307968,0,52235264,3373,0,1792,256,0,0,256,256,14592,0,0,0,512,25
