row_id,source_row_index,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
0,8,12800,0,25867264,16298,0,1024,256,0,0,256,4352,9728,0,0,0,1024,17
1,10,12800,256,25858560,0,256,0,0,7680,256,0,0,0,314880,10496,27846,0,604
2,11,12800,0,25867264,3373,0,1024,256,0,0,256,2560,9728,0,0,0,1024,16
3,17,12800,0,25867264,7112,0,1024,256,0,0,256,7424,9728,0,0,0,1024,16
4,32,12800,0,25856000,5055,0,1024,256,0,0,256,5632,12288,0,0,0,256,20
5,33,12800,0,25863936,4126,0,1024,256,0,0,256,1024,28416,0,0,0,512,46
6,34,12800,0,25863936,2945,0,1024,256,0,0,256,1280,28416,0,0,0,512,46
7,35,12800,0,25863936,2747,0,1024,256,0,0,256,1536,28416,0,0,0,512,46
8,36,12800,0,25863936,10600,0,1024,256,0,0,256,512,28416,0,0,0,512,48
9,46,12800,0,25858560,2763,0,1024,256,0,0,256,2560,10496,0,0,0,768,17
10,50,12800,0,25856000,5208,0,1024,256,0,0,256,1536,12288,0,0,0,256,20
11,56,12800,0,25856000,227,0,1024,256,0,0,256,3328,12288,0,0,0,256,20
12,66,12800,0,25856000,6224,0,1024,256,0,0,256,2816,12288,0,0,0,256,20
13,67,12800,0,25856000,14501,0,1024,256,0,0,256,6144,12288,0,0,0,256,21
14,69,12800,0,25858560,4632,0,1024,256,0,0,256,3328,10496,0,0,0,768,17
15,74,12800,0,25867264,17024,0,1024,256,0,0,256,2304,9728,0,0,0,1024,17
16,77,12800,0,25867264,10081,0,1024,256,0,0,256,3072,9728,0,0,0,1024,16
17,84,12800,0,25858560,8591,0,1024,256,0,0,256,3840,10496,0,0,0,768,17
18,86,12800,0,25867264,11830,0,1024,256,0,0,256,2816,9728,0,0,0,1024,16
19,101,25600,0,26132736,12325,0,512,256,0,0,256,2304,7680,0,0,0,256,14
20,111,25600,0,26119424,7768,0,512,256,0,0,256,10752,5888,0,0,0,512,10
21,114,25600,0,26119424,8304,0,512,256,0,0,256,256,5888,0,0,0,512,10
22,115,25600,0,26119424,6952,0,512,256,0,0,256,6144,5888,0,0,0,512,10
23,120,25600,0,26119424,6980,0,512,256,0,0,256,7168,5888,0,0,0,512,10
24,122,25600,0,26119424,7162,0,512,256,0,0,256,4352,5888,0,0,0,512,10
25,126,25600,0,26119424,14225,0,512,256,0,0,256,4864,5888,0,0,0,512,11
26,131,25600,0,26132736,13021,0,512,256,0,0,256,4096,7680,0,0,0,256,15
27,150,25600,0,26119424,14145,0,512,256,0,0,256,4096,5888,0,0,0,512,11
28,161,25600,0,26119424,7340,0,512,256,0,0,256,11264,5888,0,0,0,512,10
29,163,25600,0,26119424,6310,0,512,256,0,0,256,14080,5888,0,0,0,512,10
30,168,25600,0,26119424,7307,0,512,256,0,0,256,9728,5888,0,0,0,512,10
31,171,25600,0,26119424,5703,0,512,256,0,0,256,5120,5888,0,0,0,512,10
32,178,25600,0,26132736,2133,0,512,256,0,0,256,5376,7680,0,0,0,256,13
33,180,25600,0,26119424,13662,0,512,256,0,0,256,11520,5888,0,0,0,512,10
34,183,25600,0,26119424,8020,0,512,256,0,0,256,1792,5888,0,0,0,512,10
35,189,25600,0,26132736,5986,0,512,256,0,0,256,9984,7680,0,0,0,256,13
36,193,25600,0,26132736,12008,0,512,256,0,0,256,9472,7680,0,0,0,256,13
37,194,25600,0,26119424,13937,0,512,256,0,0,256,13056,5888,0,0,0,512,10
38,199,25600,0,26119424,6232,0,512,256,0,0,256,2816,5888,0,0,0,512,10
39,201,38400,0,26377472,7871,0,768,256,0,0,256,2816,14592,0,0,0,256,24
40,203,38400,0,26377472,5195,0,768,256,0,0,256,3840,14592,0,0,0,256,24
41,211,38400,0,26383104,9263,0,768,256,0,0,256,6144,6912,0,0,0,768,12
42,214,38400,0,26385408,6263,0,768,256,0,0,256,256,10752,0,0,0,512,18
43,218,38400,0,26385408,8411,0,768,256,0,0,256,2304,10752,0,0,0,512,18
44,230,38400,0,26385408,7388,0,768,256,0,0,256,6912,10752,0,0,0,512,18
45,232,38400,0,26383104,2519,0,768,256,0,0,256,1536,6912,0,0,0,768,12
46,234,38400,0,26383104,6377,0,768,256,0,0,256,5888,6912,0,0,0,768,12
47,241,38400,0,26377472,6916,0,768,256,0,0,256,4096,14592,0,0,0,256,24
48,249,38400,0,26383104,6926,0,768,256,0,0,256,5120,6912,0,0,0,768,12
49,256,38400,0,26383104,4668,0,768,256,0,0,256,4608,6912,0,0,0,768,12
50,287,38400,0,26385408,7302,0,768,256,0,0,256,5888,10752,0,0,0,512,18
51,289,38400,0,26383104,5920,0,768,256,0,0,256,12032,6912,0,0,0,768,11
52,290,38400,0,26385408,6781,0,768,256,0,0,256,2048,10752,0,0,0,512,18
53,297,38400,0,26383104,6742,0,768,256,0,0,256,7680,6912,0,0,0,768,12
54,298,38400,0,26377472,8509,0,768,256,0,0,256,3584,14592,0,0,0,256,24
55,300,51200,0,26632960,11033,0,512,256,0,0,256,4864,9984,0,0,0,512,17
56,302,51200,0,26643712,2685,0,512,256,0,0,256,2560,5120,0,0,0,256,9
57,304,51200,0,26643712,9958,0,512,256,0,0,256,4864,5120,0,0,0,256,9
58,313,51200,0,26643712,8647,0,512,256,0,0,256,10496,5120,0,0,0,256,9
59,322,51200,0,26643712,15538,0,512,256,0,0,256,16384,5120,0,0,0,256,9
60,333,51200,0,26632960,2016,0,512,256,0,0,256,1792,9984,0,0,0,512,17
61,349,51200,0,26632960,4891,0,512,256,0,0,256,6144,9984,0,0,0,512,16
62,352,51200,0,26632960,6808,0,512,256,0,0,256,8192,9984,0,0,0,512,16
63,371,51200,0,26643712,7999,0,512,256,0,0,256,6400,5120,0,0,0,256,9
64,375,51200,0,26643712,5054,0,512,256,0,0,256,3584,5120,0,0,0,256,9
65,376,51200,0,26643712,15206,0,512,256,0,0,256,15616,5120,0,0,0,256,9
66,383,51200,0,26643712,15485,0,512,256,0,0,256,3328,5120,0,0,0,256,9
67,393,51200,0,26632960,5640,0,512,256,0,0,256,1024,9984,0,0,0,512,17
68,400,64000,0,26882816,4812,0,1792,256,0,0,256,3328,18432,0,0,0,256,30
69,419,64000,256,26884864,0,256,1536,0,3072,256,0,0,0,261120,21760,22116,0,618
70,427,64000,256,26886912,0,256,1536,0,3072,256,0,0,0,261120,21760,26200,0,642
71,429,64000,0,26886912,1317,0,1792,256,0,0,256,1536,21760,0,0,0,1280,35
72,434,64000,0,26897920,5469,0,1792,256,0,0,256,2304,19456,0,0,0,512,32
73,445,64000,0,26893056,4172,0,1792,256,0,0,256,2304,15872,0,0,0,1024,26
74,446,64000,0,26893056,3247,0,1792,256,0,0,256,512,15872,0,0,0,1024,26
75,463,64000,0,26882816,4859,0,1792,256,0,0,256,256,18432,0,0,0,256,30
76,468,64000,0,26893056,5051,0,1792,256,0,0,256,1024,15872,0,0,0,1024,26
77,471,64000,0,26882816,3877,0,1792,256,0,0,256,1280,18432,0,0,0,256,30
78,475,64000,0,26894080,7109,0,1792,256,0,0,256,3328,20480,0,0,0,768,34
79,484,64000,0,26886912,4934,0,1792,256,0,0,256,2048,21760,0,0,0,1280,36
80,486,64000,0,26894080,9218,0,1792,256,0,0,256,2304,20480,0,0,0,768,34
81,498,64000,0,26882816,5601,0,1792,256,0,0,256,3584,18432,0,0,0,256,30
82,505,76800,0,27151616,3835,0,1536,256,0,0,256,1792,11520,0,0,0,768,19
83,508,76800,0,27154944,3336,0,1536,256,0,0,256,1280,33536,0,0,0,256,55
84,513,76800,0,27154944,935,0,1536,256,0,0,256,1024,33536,0,0,0,256,54
85,517,76800,0,27157760,1841,0,1536,256,0,0,256,5120,11008,0,0,0,1280,18
86,520,76800,0,27151616,2701,0,1536,256,0,0,256,3328,11520,0,0,0,768,19
87,522,76800,0,27157760,11017,0,1536,256,0,0,256,4096,11008,0,0,0,1280,19
88,540,76800,0,27157760,10922,0,1536,256,0,0,256,256,11008,0,0,0,1280,19
89,541,76800,0,27155968,1305,0,1536,256,0,0,256,256,36864,0,0,0,512,62
90,545,76800,0,27151616,11650,0,1536,256,0,0,256,768,11520,0,0,0,768,20
91,546,76800,0,27151616,10381,0,1536,256,0,0,256,6912,11520,0,0,0,768,19
92,557,76800,0,27157760,8133,0,1536,256,0,0,256,6912,11008,0,0,0,1280,18
93,564,76800,256,27152384,0,256,1280,0,3072,256,0,0,0,261120,21760,31993,0,646
94,565,76800,0,27151616,3243,0,1536,256,0,0,256,6400,11520,0,0,0,768,19
95,566,76800,0,27157760,9200,0,1536,256,0,0,256,2816,11008,0,0,0,1280,19
96,568,76800,0,27151616,8978,0,1536,256,0,0,256,5120,11520,0,0,0,768,19
97,574,76800,256,27154944,0,256,1280,0,1536,256,0,0,0,201216,33536,44151,0,739
98,576,76800,0,27157760,2299,0,1536,256,0,0,256,3328,11008,0,0,0,1280,18
99,578,76800,256,27155968,0,256,1280,0,1280,256,0,0,0,184320,36864,42799,0,779
100,584,76800,0,27157760,9478,0,1536,256,0,0,256,4352,11008,0,0,0,1280,19
101,593,76800,0,27147008,8887,0,1536,256,0,0,256,1792,17408,0,0,0,1024,29
102,595,76800,0,27151616,9136,0,1536,256,0,0,256,5632,11520,0,0,0,768,19
103,596,76800,0,27157760,30696,0,1536,256,0,0,256,5632,11008,0,0,0,1280,30
104,604,89600,0,27404032,8501,0,1024,256,0,0,256,5120,11776,0,0,0,256,20
105,616,89600,0,27404032,21404,0,1024,256,0,0,256,2816,11776,0,0,0,256,23
106,620,89600,0,27399168,2853,0,1024,256,0,0,256,3328,6656,0,0,0,1024,11
107,622,89600,0,27404032,6345,0,1024,256,0,0,256,2304,11776,0,0,0,256,20
108,631,89600,0,27399168,16951,0,1024,256,0,0,256,5120,6656,0,0,0,1024,12
109,633,89600,0,27399168,12844,0,1024,256,0,0,256,4096,6656,0,0,0,1024,12
110,636,89600,0,27399168,11772,0,1024,256,0,0,256,2560,6656,0,0,0,1024,12
111,652,89600,0,27399168,9391,0,1024,256,0,0,256,2816,6656,0,0,0,1024,11
112,657,89600,0,27404032,3865,0,1024,256,0,0,256,256,11776,0,0,0,256,20
113,688,89600,0,27409152,2682,0,1024,256,0,0,256,512,28416,0,0,0,512,46
114,689,89600,0,27399168,3385,0,1024,256,0,0,256,4608,6656,0,0,0,1024,11
115,694,89600,0,27409152,4209,0,1024,256,0,0,256,1024,28416,0,0,0,512,46
116,695,89600,0,27404032,2614,0,1024,256,0,0,256,512,11776,0,0,0,256,19
117,705,102400,0,27649792,1664,0,1024,256,0,0,256,256,40960,0,0,0,256,66
118,707,102400,256,27649792,0,256,768,0,1024,256,0,0,0,163840,40960,33865,0,709
119,716,102400,0,27665664,17271,0,1024,256,0,0,256,2304,10752,0,0,0,1024,20
120,717,102400,0,27655680,12009,0,1024,256,0,0,256,10496,7424,0,0,0,768,13
121,718,102400,0,27665664,3029,0,1024,256,0,0,256,2560,10752,0,0,0,1024,18
122,729,102400,0,27655680,4355,0,1024,256,0,0,256,7168,7424,0,0,0,768,12
123,732,102400,0,27655680,15611,0,1024,256,0,0,256,6144,7424,0,0,0,768,13
124,736,102400,0,27648512,12832,0,1024,256,0,0,256,3072,15360,0,0,0,512,27
125,739,102400,0,27665664,315,0,1024,256,0,0,256,4096,10752,0,0,0,1024,18
126,747,102400,0,27665664,4930,0,1024,256,0,0,256,5888,10752,0,0,0,1024,23
127,748,102400,0,27655680,10463,0,1024,256,0,0,256,1792,7424,0,0,0,768,13
