combination_id,model,board,repeat,preprocess_us_mean,preprocess_us_median,preprocess_us_p95,preprocess_us_p99,preprocess_us_min,preprocess_us_max,inference_us_mean,inference_us_median,inference_us_p95,inference_us_p99,inference_us_min,inference_us_max,total_us_mean,total_us_median,total_us_p95,total_us_p99,total_us_min,total_us_max,host_observed_rtt_us_mean,host_observed_rtt_us_median,host_observed_rtt_us_p95,host_observed_rtt_us_p99,host_observed_rtt_us_min,host_observed_rtt_us_max,transaction_elapsed_us_mean,transaction_elapsed_us_median,transaction_elapsed_us_p95,transaction_elapsed_us_p99,transaction_elapsed_us_min,transaction_elapsed_us_max
student_A_scratch__esp32c3__usb_serial,Student A scratch,ESP32-C3,1,6.599,7.0,8,8,5,17,111.267,111.0,117,118,109,144,117.866,118.0,124,125,115,161,15820.218,15879.0,16931,17328,13975,18951,15820.218,15879.0,16931,17328,13975,18951
student_A_scratch__esp32c3__usb_serial,Student A scratch,ESP32-C3,2,6.624,7.0,8,8,5,17,111.212,111.0,117,118,109,144,117.836,118.0,124,125,115,161,15821.291,15880.0,16931,17337,13966,20318,15821.291,15880.0,16931,17337,13966,20318
student_A_scratch__esp32c3__usb_serial,Student A scratch,ESP32-C3,3,6.613,7.0,8,8,5,17,111.251,111.0,117,117,109,144,117.864,118.0,124,125,115,161,15827.166,15879.0,16932,17347,13977,19842,15827.166,15879.0,16932,17347,13977,19842
student_A_rf_kd__esp32c3__usb_serial,Student A RF-KD,ESP32-C3,1,6.629,7.0,8,8,5,17,111.238,111.0,117,118,109,145,117.867,118.0,124,125,115,162,16176.851,16221.0,17134,17389,14575,19786,16176.851,16221.0,17134,17389,14575,19786
student_A_rf_kd__esp32c3__usb_serial,Student A RF-KD,ESP32-C3,2,6.681,7.0,8,12,5,16,111.334,111.0,117,118,109,145,118.015,118.0,124,125,115,161,16166.293,16217.0,17131,17344,14573,20962,16166.293,16217.0,17131,17344,14573,20962
student_A_rf_kd__esp32c3__usb_serial,Student A RF-KD,ESP32-C3,3,6.626,7.0,8,8,5,16,111.288,111.0,117,118,109,145,117.914,118.0,124,125,115,161,16176.419,16225.0,17132,17352,14570,19560,16176.419,16225.0,17132,17352,14570,19560
student_B_rf_kd__esp32c3__usb_serial,Student B RF-KD,ESP32-C3,1,7.758,8.0,9,9,6,16,313.388,313.0,320,320,308,388,321.146,321.0,328,329,315,404,16629.055,16637.0,17746,17864,14971,19673,16629.055,16637.0,17746,17864,14971,19673
student_B_rf_kd__esp32c3__usb_serial,Student B RF-KD,ESP32-C3,2,7.781,8.0,9,9,6,17,313.397,313.0,320,320,308,382,321.178,321.0,328,328,315,399,16643.125,16649.5,17748,17924,14865,19896,16643.125,16649.5,17748,17924,14865,19896
student_B_rf_kd__esp32c3__usb_serial,Student B RF-KD,ESP32-C3,3,7.803,8.0,9,13,6,17,313.22,313.0,320,320,308,387,321.023,321.0,328,329,315,404,16633.879,16645.0,17748,17928,14756,20178,16633.879,16645.0,17748,17928,14756,20178
student_B_rf_kd__arduino_r4__usb_serial,Student B RF-KD,Arduino UNO R4 WiFi,1,20.728,21.0,21,23,19,24,772.759,773.0,776,776,766,777,793.487,793.0,797,797,787,798,15731.76,15830.0,16821,16875,14602,16923,15731.76,15830.0,16821,16875,14602,16923
student_B_rf_kd__arduino_r4__usb_serial,Student B RF-KD,Arduino UNO R4 WiFi,2,20.71,21.0,21,23,19,24,772.737,773.0,776,776,766,777,793.447,794.0,797,797,787,798,15730.247,15828.0,16822,16846,14622,16894,15730.247,15828.0,16822,16846,14622,16894
student_B_rf_kd__arduino_r4__usb_serial,Student B RF-KD,Arduino UNO R4 WiFi,3,20.751,21.0,21,23,19,24,772.681,773.0,776,776,766,777,793.432,794.0,797,797,787,798,15724.248,15829.0,16823,16845,14069,16894,15724.248,15829.0,16823,16845,14069,16894
student_A_rf_kd__arduino_r4__usb_serial,Student A RF-KD,Arduino UNO R4 WiFi,1,20.763,21.0,21,23,19,24,281.559,282.0,285,286,277,286,302.322,302.0,306,306,299,307,14841.159,14843.0,15813,15861,13711,15974,14841.159,14843.0,15813,15861,13711,15974
student_A_rf_kd__arduino_r4__usb_serial,Student A RF-KD,Arduino UNO R4 WiFi,2,20.767,21.0,21,24,19,24,281.557,282.0,285,286,277,286,302.324,302.0,306,306,299,307,14842.549,14839.0,15815,15863,13688,15947,14842.549,14839.0,15815,15863,13688,15947
student_A_rf_kd__arduino_r4__usb_serial,Student A RF-KD,Arduino UNO R4 WiFi,3,20.747,21.0,21,23,19,24,281.638,282.0,285,286,277,286,302.385,302.0,306,306,298,307,14850.79,14848.0,15826,15883,13762,15908,14850.79,14848.0,15826,15883,13762,15908
student_A_scratch__arduino_r4__usb_serial,Student A scratch,Arduino UNO R4 WiFi,1,21.052,21.0,22,24,20,25,281.196,281.0,284,285,279,285,302.248,302.0,305,306,299,306,14728.756,14834.0,15818,15874,12825,15907,14728.756,14834.0,15818,15874,12825,15907
student_A_scratch__arduino_r4__usb_serial,Student A scratch,Arduino UNO R4 WiFi,2,21.057,21.0,22,24,19,25,281.262,281.0,284,284,279,285,302.319,302.0,305,305,298,306,14724.593,14836.0,15822,15868,12825,15926,14724.593,14836.0,15822,15868,12825,15926
student_A_scratch__arduino_r4__usb_serial,Student A scratch,Arduino UNO R4 WiFi,3,21.045,21.0,22,24,20,24,281.216,281.0,284,285,279,285,302.261,302.0,305,305,299,306,14717.537,14832.0,15819,15864,12817,15923,14717.537,14832.0,15819,15864,12817,15923
