claim,source,status
Student A RF-KD ESP32-C3 DevKitM-1 HIL metrics,results\hardware_hil\board_replay\pi5_esp32c3\full_56200_metrics.json,present
Student A RF-KD ESP32-C3 DevKitM-1 raw MCU replay CSV,results/hardware_hil/board_replay/pi5_esp32c3/full_56200_mcu.csv OR results/hardware_hil/board_replay/esp32c3/full_56200_mcu.csv,present
Student A RF-KD ESP32-C3 DevKitM-1 compile summary,results/hardware_hil/compile_logs/esp32c3_student_a_compile.txt,present
Student A RF-KD FP32-to-fixed drift profile,deployment\firmware_export\wsnds_rfkd_hil\generated_student_a_rfkd_hil_full\hil_reference_predictions.csv,present
Student A RF-KD Arduino R4 WiFi HIL metrics,results\hardware_hil\board_replay\pi5_arduino_r4\full_56200_metrics.json,present
Student A RF-KD Arduino R4 WiFi raw MCU replay CSV,results/hardware_hil/board_replay/pi5_arduino_r4/full_56200_mcu.csv OR results/hardware_hil/board_replay/arduino_r4/full_56200_mcu.csv,present
Student A RF-KD Arduino R4 WiFi compile summary,results/hardware_hil/compile_logs/arduino_r4_student_a_compile.txt,present
Student B RF-KD ESP32-C3 DevKitM-1 HIL metrics,results\hardware_hil\board_replay\pi5_esp32c3_student_b\full_56200_metrics.json,present
Student B RF-KD ESP32-C3 DevKitM-1 raw MCU replay CSV,results/hardware_hil/board_replay/pi5_esp32c3_student_b/full_56200_mcu.csv,present
Student B RF-KD ESP32-C3 DevKitM-1 compile summary,results/hardware_hil/compile_logs/esp32c3_student_b_compile.txt,present
Student B RF-KD FP32-to-fixed drift profile,deployment\firmware_export\wsnds_rfkd_hil\generated_student_b_rfkd_hil_full\hil_reference_predictions.csv,present
Student B RF-KD Arduino R4 WiFi HIL metrics,results\hardware_hil\board_replay\pi5_arduino_r4_student_b\full_56200_metrics.json,present
Student B RF-KD Arduino R4 WiFi raw MCU replay CSV,results/hardware_hil/board_replay/pi5_arduino_r4_student_b/full_56200_mcu.csv,present
Student B RF-KD Arduino R4 WiFi compile summary,results/hardware_hil/compile_logs/arduino_r4_student_b_compile.txt,present
ESP32-C3 DevKitM-1 serial baseline compile summary,results/hardware_hil/compile_logs/esp32c3_serial_baseline_compile.txt,present
Arduino R4 WiFi serial baseline compile summary,results/hardware_hil/compile_logs/arduino_r4_serial_baseline_compile.txt,present
