row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-4820 -4591 -2164 4709 -996,17,145,162
1,OK,3,-5807 -5830 -2840 3592 -113,6,109,115
2,OK,3,-5118 -4877 -1591 5015 -585,6,110,116
3,OK,3,-5861 -5783 -2837 3686 430,6,110,116
4,OK,2,-5354 -2286 2911 1711 759,7,110,117
5,OK,3,-5853 -6090 -2863 3490 311,6,109,115
6,OK,3,-5701 -5879 -2758 3538 65,6,109,115
7,OK,3,-4371 -4598 -2253 4487 -865,6,110,116
8,OK,3,-5305 -4740 -1643 4573 1025,6,110,116
9,OK,3,-5790 -6006 -1634 3932 -432,6,110,116
