row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-4820 -4591 -2164 4709 -996,21,283,304
1,OK,3,-5807 -5830 -2840 3592 -113,22,279,301
2,OK,3,-5118 -4877 -1591 5015 -585,21,278,299
3,OK,3,-5861 -5783 -2837 3686 430,21,280,301
4,OK,2,-5354 -2286 2911 1711 759,21,281,302
5,OK,3,-5853 -6090 -2863 3490 311,22,282,304
6,OK,3,-5701 -5879 -2758 3538 65,22,279,301
7,OK,3,-4371 -4598 -2253 4487 -865,21,279,300
8,OK,3,-5305 -4740 -1643 4573 1025,21,282,303
9,OK,3,-5790 -6006 -1634 3932 -432,21,280,301
10,OK,3,-5542 -5604 -2519 3751 -84,22,278,300
11,OK,3,-5891 -6122 -2766 3754 741,21,282,303
12,OK,3,-5821 -5914 -2748 3654 -142,22,282,304
13,OK,3,-5921 -5946 -2790 3528 315,21,282,303
14,OK,3,-5110 -5792 -2458 3626 -44,21,280,301
15,OK,3,-5787 -5824 -2958 3606 -141,21,282,303
16,OK,3,-5648 -5856 -3059 3413 125,21,281,302
17,OK,2,-5254 -3420 5980 -1206 266,22,280,302
18,OK,3,-4704 -5138 -2015 3960 -1413,21,282,303
19,OK,2,-3370 -5346 4855 -3628 -717,21,281,302
20,OK,3,-4283 -5044 -2402 4753 -1026,21,280,301
21,OK,3,-3938 -4737 -2485 4522 -874,21,282,303
22,OK,3,-6050 -6051 -2914 3718 451,22,279,301
23,OK,3,-5701 -5938 -2951 3436 155,22,279,301
24,OK,3,-5839 -5982 -2684 3618 -74,22,279,301
25,OK,3,-5881 -5884 -3036 3611 -123,22,279,301
26,OK,3,-5900 -5930 -2678 3600 43,21,280,301
27,OK,3,-4438 -4696 -2162 4854 -1036,21,280,301
28,OK,3,-4044 -5050 -2419 4717 -990,21,280,301
29,OK,3,-5924 -5947 -2696 3713 -270,22,279,301
30,OK,3,-5720 -5950 -2815 3550 366,22,278,300
31,OK,3,-5675 -5846 -2939 3583 135,22,279,301
32,OK,3,-5928 -5878 -2813 3701 -177,21,280,301
33,OK,2,-3470 -5364 4879 -3066 -561,21,281,302
34,OK,3,-4704 -4652 -1806 5069 -733,20,279,299
35,OK,3,-5381 -5311 -2411 3755 419,21,280,301
36,OK,3,-4897 -4770 -2239 4780 -1233,21,280,301
37,OK,3,-5874 -5959 -2814 3604 -18,21,280,301
38,OK,3,-6393 -6333 -1974 3813 -271,21,282,303
39,OK,3,-5807 -5906 -2914 3585 -171,22,279,301
40,OK,3,-4289 -5299 -2431 4650 -1208,21,280,301
41,OK,3,-5572 -5773 -2866 3640 573,21,280,301
42,OK,3,-5871 -5903 -2745 3722 -227,21,280,301
43,OK,3,-5690 -5898 -2619 3365 268,21,279,300
44,OK,3,-5711 -5837 -2657 3625 -18,21,279,300
45,OK,3,-5726 -5790 -2871 3560 349,21,279,300
