row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-4820 -4591 -2164 4709 -996,21,280,301
1,OK,3,-5807 -5830 -2840 3592 -113,21,280,301
2,OK,3,-5118 -4877 -1591 5015 -585,21,279,300
3,OK,3,-5861 -5783 -2837 3686 430,21,280,301
4,OK,2,-5354 -2286 2911 1711 759,22,283,305
5,OK,3,-5853 -6090 -2863 3490 311,21,282,303
6,OK,3,-5701 -5879 -2758 3538 65,21,280,301
7,OK,3,-4371 -4598 -2253 4487 -865,21,278,299
8,OK,3,-5305 -4740 -1643 4573 1025,21,279,300
9,OK,3,-5790 -6006 -1634 3932 -432,21,280,301
