row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-9643 -9431 -3613 8908 -1435,22,772,794
1,OK,3,-10418 -10812 -5237 7783 60,21,770,791
2,OK,3,-9240 -10015 -4088 9099 -2030,21,772,793
3,OK,3,-11124 -11294 -5310 7648 1203,21,771,792
4,OK,3,-13702 -9437 855 940 -2003,21,771,792
5,OK,3,-11419 -11168 -5329 7374 1296,21,770,791
6,OK,3,-10621 -10930 -5506 7422 625,21,770,791
7,OK,3,-9413 -9083 -3875 8787 -1877,20,771,791
8,OK,3,-10418 -9858 -3970 8366 1581,21,768,789
9,OK,3,-12031 -11266 -4974 8532 1246,21,771,792
10,OK,3,-11057 -10800 -4534 8009 82,21,771,792
11,OK,3,-11498 -11287 -5049 7599 1609,22,767,789
12,OK,3,-10475 -10805 -5025 7874 22,22,767,789
13,OK,3,-11348 -11269 -5279 7432 1192,21,767,788
14,OK,3,-9442 -11175 -5513 8033 -4,22,770,792
15,OK,3,-10318 -10676 -5129 7740 40,21,767,788
16,OK,3,-10990 -10924 -5233 7287 789,22,767,789
17,OK,2,-11944 -11929 7454 -9588 -4425,21,771,792
18,OK,3,-10054 -10260 -3473 8242 -1248,21,767,788
19,OK,2,-12387 -14430 9590 -9557 -3654,21,771,792
20,OK,3,-9393 -9275 -4232 8885 -1510,21,772,793
21,OK,3,-10214 -8982 -3272 8211 -1676,21,768,789
22,OK,3,-11361 -11092 -5222 7509 1409,21,770,791
23,OK,3,-11117 -11203 -5275 7321 936,21,770,791
24,OK,3,-10426 -10952 -5195 7830 152,22,770,792
25,OK,3,-10435 -10731 -5050 7749 28,22,769,791
26,OK,3,-10690 -11145 -5169 7794 250,21,770,791
27,OK,3,-9471 -9728 -3845 8687 -2178,21,772,793
28,OK,3,-9513 -9280 -4384 8835 -1551,21,772,793
29,OK,3,-10400 -10983 -5040 7942 -22,22,770,792
30,OK,3,-11408 -11082 -5459 7039 985,22,770,792
31,OK,3,-11389 -11519 -5303 7240 934,22,770,792
32,OK,3,-10448 -10988 -5043 7898 27,21,770,791
33,OK,2,-12407 -13723 6605 -10287 -4620,21,772,793
34,OK,3,-8970 -9723 -4095 8950 -1931,21,771,792
35,OK,3,-11028 -11593 -5352 7637 696,21,772,793
36,OK,3,-9119 -9564 -3770 9227 -1398,21,772,793
37,OK,3,-10404 -10970 -5181 7829 222,22,769,791
38,OK,3,-9941 -11003 -4995 8525 279,21,768,789
39,OK,3,-10413 -10675 -5055 7731 82,21,770,791
40,OK,3,-9648 -9575 -3619 8885 -1967,21,773,794
41,OK,3,-11198 -11267 -5091 7724 1328,21,770,791
42,OK,3,-10405 -10973 -5125 7885 20,21,771,792
43,OK,3,-11273 -11528 -5348 7369 959,21,771,792
44,OK,3,-10596 -10985 -5146 7899 -8,21,771,792
45,OK,3,-11277 -11460 -5287 7460 971,21,771,792
46,OK,3,-8773 -9819 -3955 9504 -2178,21,771,792
47,OK,3,-10911 -11068 -5301 7313 823,22,770,792
48,OK,3,-8738 -10102 -4934 7832 120,21,771,792
49,OK,3,-12798 -12499 1984 3305 -349,20,774,794
50,OK,3,-10974 -11062 -5369 7326 996,22,767,789
51,OK,3,-9424 -10021 -3700 8914 -1421,21,772,793
52,OK,3,-9042 -10405 -4514 8594 -521,22,769,791
53,OK,3,-11407 -11648 -5441 7449 1016,21,771,792
54,OK,3,-10899 -11728 -5516 7439 932,22,770,792
55,OK,3,-10742 -10776 -5302 7324 576,22,767,789
56,OK,3,-10688 -10961 -5587 7424 519,22,767,789
57,OK,0,5699 -13601 -4690 -11215 -2304,21,774,795
58,OK,3,-10852 -11077 -5129 7412 627,21,767,788
59,OK,3,-9719 -9836 -4049 8848 -1674,21,771,792
60,OK,3,-9444 -10723 -4764 9134 -463,21,772,793
61,OK,3,-11076 -11290 -5384 7275 900,21,771,792
62,OK,3,-11618 -11266 -5170 7437 1249,21,770,791
63,OK,3,-10938 -11101 -5258 7267 1193,21,770,791
64,OK,3,-9623 -9368 -3885 8655 -1990,21,768,789
65,OK,3,-10661 -11075 -5258 7682 111,21,771,792
66,OK,3,-11034 -11081 -5202 7313 771,22,770,792
67,OK,3,-11025 -11224 -5285 7574 1158,21,770,791
68,OK,3,-9522 -9666 -3823 8978 -1480,21,770,791
69,OK,3,-11348 -11138 -5261 7524 1295,22,770,792
70,OK,3,-10626 -11170 -5066 7804 183,21,770,791
71,OK,3,-10720 -11014 -4968 7740 233,22,769,791
72,OK,3,-11371 -11330 -5210 7515 1055,21,771,792
73,OK,3,-11109 -11263 -4749 7936 547,21,771,792
74,OK,0,5718 -12700 -6478 -10484 -1967,21,775,796
75,OK,3,-10348 -10610 -5077 7702 57,21,770,791
76,OK,3,-10494 -11288 -5216 7872 230,21,770,791
77,OK,3,-10539 -10794 -4410 8646 -654,21,770,791
78,OK,3,-9711 -9477 -3629 9000 -1833,21,771,792
79,OK,3,-10811 -11222 -5311 7664 1005,22,770,792
80,OK,3,-9928 -9615 -3903 8871 -2277,21,771,792
81,OK,3,-10631 -9621 -3582 8855 -2186,21,771,792
82,OK,3,-9769 -9249 -3690 8668 -1649,21,770,791
83,OK,3,-9491 -9999 -4378 9103 -1117,21,771,792
84,OK,2,-14722 -11256 4190 1724 -1545,20,771,791
85,OK,3,-11194 -11313 -5151 7527 943,21,770,791
86,OK,3,-10510 -10748 -4990 7794 74,22,767,789
87,OK,3,-11070 -11207 -5288 7388 853,21,771,792
88,OK,3,-10024 -9819 -3455 9096 -1853,21,770,791
89,OK,3,-11266 -11261 -5262 7390 1242,21,767,788
90,OK,2,-11935 -12970 8247 -10959 -4145,21,771,792
91,OK,3,-10809 -11050 -4945 7638 1033,22,767,789
92,OK,3,-11173 -11342 -5699 7219 1050,21,771,792
93,OK,3,-9511 -10335 -3908 9420 -1753,21,767,788
94,OK,3,-11142 -11287 -5414 7335 981,21,768,789
95,OK,3,-9715 -9842 -4122 9044 -1101,22,771,793
96,OK,3,-10916 -11381 -5248 7612 1194,21,767,788
