row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-4820 -4591 -2164 4709 -996,6,110,116
1,OK,3,-5807 -5830 -2840 3592 -113,6,110,116
2,OK,3,-5118 -4877 -1591 5015 -585,6,110,116
3,OK,3,-5861 -5783 -2837 3686 430,6,110,116
4,OK,2,-5354 -2286 2911 1711 759,6,110,116
5,OK,3,-5853 -6090 -2863 3490 311,6,116,122
6,OK,3,-5701 -5879 -2758 3538 65,6,110,116
7,OK,3,-4371 -4598 -2253 4487 -865,5,110,115
8,OK,3,-5305 -4740 -1643 4573 1025,6,109,115
9,OK,3,-5790 -6006 -1634 3932 -432,6,110,116
10,OK,3,-5542 -5604 -2519 3751 -84,6,110,116
11,OK,3,-5891 -6122 -2766 3754 741,6,110,116
12,OK,3,-5821 -5914 -2748 3654 -142,6,110,116
13,OK,3,-5921 -5946 -2790 3528 315,6,110,116
14,OK,3,-5110 -5792 -2458 3626 -44,6,110,116
15,OK,3,-5787 -5824 -2958 3606 -141,6,110,116
16,OK,3,-5648 -5856 -3059 3413 125,6,110,116
17,OK,2,-5254 -3420 5980 -1206 266,6,111,117
18,OK,3,-4704 -5138 -2015 3960 -1413,6,110,116
19,OK,2,-3370 -5346 4855 -3628 -717,6,111,117
20,OK,3,-4283 -5044 -2402 4753 -1026,6,110,116
21,OK,3,-3938 -4737 -2485 4522 -874,6,109,115
22,OK,3,-6050 -6051 -2914 3718 451,6,110,116
23,OK,3,-5701 -5938 -2951 3436 155,6,110,116
24,OK,3,-5839 -5982 -2684 3618 -74,6,109,115
25,OK,3,-5881 -5884 -3036 3611 -123,6,110,116
26,OK,3,-5900 -5930 -2678 3600 43,6,110,116
27,OK,3,-4438 -4696 -2162 4854 -1036,6,110,116
28,OK,3,-4044 -5050 -2419 4717 -990,6,110,116
29,OK,3,-5924 -5947 -2696 3713 -270,6,110,116
30,OK,3,-5720 -5950 -2815 3550 366,6,109,115
31,OK,3,-5675 -5846 -2939 3583 135,7,109,116
32,OK,3,-5928 -5878 -2813 3701 -177,6,110,116
33,OK,2,-3470 -5364 4879 -3066 -561,6,116,122
34,OK,3,-4704 -4652 -1806 5069 -733,6,109,115
35,OK,3,-5381 -5311 -2411 3755 419,6,110,116
36,OK,3,-4897 -4770 -2239 4780 -1233,6,110,116
37,OK,3,-5874 -5959 -2814 3604 -18,6,110,116
38,OK,3,-6393 -6333 -1974 3813 -271,6,110,116
39,OK,3,-5807 -5906 -2914 3585 -171,6,110,116
40,OK,3,-4289 -5299 -2431 4650 -1208,6,110,116
41,OK,3,-5572 -5773 -2866 3640 573,6,110,116
42,OK,3,-5871 -5903 -2745 3722 -227,6,109,115
43,OK,3,-5690 -5898 -2619 3365 268,6,110,116
44,OK,3,-5711 -5837 -2657 3625 -18,6,109,115
45,OK,3,-5726 -5790 -2871 3560 349,6,110,116
46,OK,3,-4846 -5313 -1715 4480 -1268,6,110,116
47,OK,3,-5739 -5979 -2890 3512 -26,6,110,116
48,OK,3,-5550 -5538 -2731 3560 274,6,110,116
49,OK,2,-7495 -6702 2606 1462 1370,6,110,116
50,OK,3,-5728 -5948 -2990 3482 105,6,110,116
51,OK,3,-3843 -4632 -2097 4988 -741,6,110,116
52,OK,3,-5658 -5508 -2380 4725 191,6,110,116
53,OK,3,-5660 -5807 -2763 3551 282,6,110,116
54,OK,3,-5291 -5114 -3118 3478 402,6,116,122
55,OK,3,-5709 -5817 -2918 3499 -43,6,110,116
56,OK,3,-5631 -5820 -2787 3525 90,6,109,115
57,OK,0,2983 -6316 -1837 -6369 -336,6,111,117
58,OK,3,-5803 -5930 -2957 3643 -102,6,110,116
59,OK,3,-4631 -4513 -2016 4935 -885,6,110,116
60,OK,3,-5722 -5782 -1930 3669 -161,6,110,116
61,OK,3,-5608 -5909 -2996 3461 168,6,110,116
62,OK,3,-6011 -5991 -2810 3545 339,6,110,116
63,OK,3,-5870 -5782 -2973 3588 400,6,110,116
64,OK,3,-4264 -4635 -2235 4634 -879,6,110,116
65,OK,3,-5608 -5901 -2269 3652 231,6,110,116
66,OK,3,-5706 -5926 -2988 3530 -2,6,110,116
67,OK,3,-5647 -5738 -2734 3660 452,6,110,116
68,OK,3,-4615 -5329 -2609 4209 -1001,6,110,116
69,OK,3,-5942 -5909 -2900 3654 373,7,109,116
70,OK,3,-5889 -5852 -2715 3602 -18,6,110,116
71,OK,3,-6073 -6109 -2773 3616 -49,7,109,116
72,OK,3,-5796 -5723 -2960 3585 338,6,110,116
73,OK,3,-5545 -5878 -2729 3445 298,6,109,115
74,OK,0,2752 -6558 -3344 -4232 -2017,6,111,117
75,OK,3,-5818 -5868 -3057 3605 -139,6,110,116
76,OK,3,-5842 -5868 -2471 3586 -98,6,110,116
77,OK,3,-5494 -5426 -2201 3880 -528,6,109,115
78,OK,3,-4460 -4923 -2203 4445 -1051,6,110,116
79,OK,3,-5751 -5735 -2945 3604 413,6,109,115
80,OK,3,-4651 -4799 -2189 4684 -1067,5,110,115
81,OK,3,-4606 -4806 -2348 4562 -1104,5,110,115
82,OK,3,-4295 -4509 -2293 4432 -1045,6,110,116
83,OK,3,-4598 -4857 -2229 4454 -642,6,110,116
84,OK,2,-7306 -3896 3088 1338 -80,6,111,117
85,OK,3,-5923 -5966 -2811 3549 194,6,110,116
86,OK,3,-5864 -5926 -2905 3637 -203,6,110,116
87,OK,3,-5757 -5945 -2804 3459 112,6,110,116
88,OK,3,-4851 -5009 -2203 4329 -1306,6,110,116
89,OK,3,-5811 -5759 -2879 3601 569,6,110,116
90,OK,2,-4947 -4338 6170 -1628 127,6,110,116
91,OK,3,-5788 -5823 -2680 3755 789,6,110,116
92,OK,3,-5557 -5855 -2786 3525 135,6,110,116
93,OK,3,-5058 -5379 -2057 4024 -1428,6,110,116
94,OK,3,-5612 -5827 -2986 3537 197,6,110,116
95,OK,3,-5024 -5046 -2281 4363 -555,7,109,116
96,OK,3,-5816 -5726 -2747 3612 510,6,110,116
97,OK,3,-5099 -5515 -1937 4098 -1121,6,109,115
98,OK,3,-5590 -5804 -2901 3623 583,6,109,115
99,OK,4,-4199 -3493 -1170 -2913 5333,6,110,116
100,OK,3,-3940 -4484 -1616 4725 -1067,6,110,116
101,OK,4,-1586 -4427 -998 -5392 4612,6,110,116
102,OK,3,-4666 -4939 -2268 4404 -1367,6,110,116
103,OK,3,-5446 -5691 -2637 3512 530,6,110,116
104,OK,3,-5708 -5863 -2627 3584 41,6,109,115
105,OK,3,-6697 -4055 -542 4278 1243,6,110,116
106,OK,3,-4833 -4998 -1984 4801 -1011,7,109,116
107,OK,3,-4837 -5015 -2319 4410 -1315,6,110,116
108,OK,3,-5668 -5801 -2875 3580 264,6,110,116
109,OK,3,-4422 -5174 -2331 4730 -1166,6,110,116
110,OK,3,-5395 -5768 -2816 3498 -234,6,109,115
111,OK,4,-3462 -3688 -67 -2125 5818,7,110,117
112,OK,3,-5186 -4982 -1586 4767 -667,6,109,115
113,OK,3,-4195 -5186 -2391 4696 -1075,6,110,116
114,OK,3,-5765 -5919 -2750 3697 -206,6,110,116
115,OK,3,-5329 -4653 -1513 4013 757,6,110,116
116,OK,3,-5748 -5785 -2924 3459 126,6,110,116
117,OK,3,-4583 -4715 -2542 4718 -1319,6,110,116
118,OK,3,-4677 -4784 -2015 4343 -825,6,110,116
119,OK,3,-4639 -4920 -2229 4350 -1368,6,110,116
120,OK,3,-5678 -5697 -2613 3592 -544,6,110,116
121,OK,4,-3729 -3526 -1219 -2358 5323,6,110,116
122,OK,3,-5576 -6393 -2483 3843 -431,6,110,116
123,OK,3,-5887 -5971 -2660 3605 -17,6,110,116
124,OK,3,-5518 -5104 -465 3230 -20,6,116,122
125,OK,3,-5933 -5903 -2805 3613 -9,6,110,116
126,OK,3,-5643 -5825 -2804 3569 115,6,110,116
127,OK,0,1419 -5975 1199 -6382 -3054,6,110,116
128,OK,3,-5873 -5993 -2766 3585 -44,6,109,115
129,OK,3,-4307 -4646 -2411 3915 218,6,109,115
130,OK,3,-4262 -4421 -2438 4437 -715,6,109,115
131,OK,3,-5699 -5924 -2587 3523 147,6,110,116
132,OK,3,-5773 -5824 -2954 3496 -40,6,109,115
133,OK,3,-4347 -4311 -1405 4992 -852,5,110,115
134,OK,3,-5485 -5285 -1745 4306 967,6,110,116
135,OK,3,-5683 -5799 -2947 3496 219,6,110,116
136,OK,3,-5835 -5874 -2692 3653 -103,6,109,115
137,OK,0,2158 -6289 1152 -7614 -3000,6,110,116
138,OK,3,-4201 -4794 -2550 4953 -1045,6,110,116
139,OK,3,-5741 -5812 -2983 3570 217,6,110,116
140,OK,3,-5821 -5785 -2919 3598 -141,6,109,115
141,OK,1,-3771 3374 -2306 -506 -1346,6,111,117
142,OK,3,-4599 -5113 -2281 4522 -1339,6,109,115
143,OK,3,-4868 -5521 -2474 4100 -1446,7,109,116
144,OK,3,-3623 -5082 -2476 5214 -832,6,110,116
145,OK,3,-5712 -5924 -2941 3562 391,6,109,115
146,OK,3,-4221 -4777 -2283 3967 -1331,6,116,122
147,OK,3,-5863 -5846 -2722 3516 57,6,110,116
148,OK,3,-5518 -5838 -2840 3483 301,7,109,116
149,OK,3,-5852 -5855 -2855 3674 469,6,110,116
150,OK,1,-6872 4077 -2095 1207 -1348,6,110,116
151,OK,3,-5635 -5802 -2680 3635 291,6,110,116
152,OK,3,-5848 -5813 -2895 3578 414,6,110,116
153,OK,3,-5869 -6006 -2807 3474 170,6,110,116
154,OK,3,-5820 -5986 -2822 3508 359,6,110,116
155,OK,3,-5630 -5656 -2589 3729 182,6,110,116
156,OK,3,-4747 -5529 -2383 4333 -1440,6,110,116
157,OK,3,-5939 -5944 -2913 3637 -215,6,110,116
158,OK,0,1765 -5974 1079 -6975 -3152,6,110,116
159,OK,3,-5758 -5804 -2873 3727 593,6,110,116
160,OK,3,-4924 -5035 -2409 4586 596,6,110,116
161,OK,3,-5806 -5911 -3051 3751 -161,6,110,116
162,OK,3,-5945 -5737 -2725 3578 -121,6,110,116
163,OK,3,-4441 -4326 -2094 4629 -1155,6,110,116
164,OK,3,-4963 -4545 -1518 4787 -1043,6,109,115
165,OK,3,-4740 -4748 -2233 4766 -1063,6,110,116
166,OK,3,-5729 -5760 -2674 3710 415,6,110,116
167,OK,3,-5643 -5832 -2699 3510 439,6,110,116
168,OK,3,-5782 -6177 -2891 3501 126,6,110,116
169,OK,3,-5791 -3665 -2271 4180 344,6,110,116
170,OK,3,-5645 -5692 -2752 3616 117,6,110,116
171,OK,3,-5692 -5251 928 1459 -378,6,110,116
172,OK,3,-4521 -4618 -2666 4738 -1264,6,110,116
173,OK,3,-5918 -5877 -2806 3665 407,6,110,116
174,OK,3,-5525 -5558 -1937 3993 193,6,110,116
175,OK,3,-5157 -5314 -1963 4688 -444,6,109,115
176,OK,0,2813 -6271 387 -7769 -3006,6,110,116
177,OK,3,-5388 -5478 -753 3676 1422,6,110,116
178,OK,3,-5807 -5927 -2705 3507 89,6,110,116
179,OK,3,-4938 -4917 -2126 4101 798,6,110,116
180,OK,3,-4448 -4953 -2500 4319 -1126,6,110,116
181,OK,3,-4405 -4979 -1675 4266 85,6,110,116
182,OK,3,-5820 -5950 -3038 3568 -65,6,109,115
183,OK,3,-6022 -5568 -2705 4033 757,6,110,116
184,OK,2,1585 -6391 1768 -7427 -2946,6,110,116
185,OK,3,-3873 -4278 -2589 4440 -367,6,109,115
186,OK,3,-4500 -4531 -2300 4421 -1272,6,109,115
187,OK,3,-4742 -5139 -2522 4374 -1210,6,110,116
188,OK,3,-4851 -6087 -2770 3872 571,6,110,116
189,OK,3,-4572 -5223 -2422 4403 -1447,6,109,115
190,OK,3,-5634 -5608 -2431 3585 1,6,109,115
191,OK,3,-6182 -5732 -2563 3725 53,6,110,116
192,OK,4,-4421 -4525 -662 -5145 5493,6,111,117
193,OK,3,-5550 -5381 -2030 4513 548,6,110,116
194,OK,3,-5905 -6104 -2856 3600 63,6,110,116
195,OK,3,-5463 -5511 -1518 4599 151,6,110,116
196,OK,3,-5359 -5334 -2101 4137 -896,6,109,115
197,OK,3,-5667 -5769 -3020 3510 433,6,109,115
198,OK,3,-4607 -4597 -2053 4890 -979,6,109,115
199,OK,0,2437 -6166 862 -7732 -3213,6,111,117
200,OK,3,-5681 -5815 -2875 3605 180,6,110,116
201,OK,3,-5763 -5880 -2830 3593 -70,6,110,116
202,OK,3,-5740 -5704 -2560 3731 -75,6,109,115
203,OK,0,87 -4562 -708 -3687 -3306,6,110,116
204,OK,3,-5763 -5829 -2874 3568 200,6,110,116
205,OK,3,-5648 -5826 -2936 3460 204,6,110,116
206,OK,3,-5568 -5876 -2776 3438 286,6,110,116
207,OK,3,-5808 -5819 -2781 3557 314,6,109,115
208,OK,3,-5944 -5918 -2686 3704 -159,6,109,115
209,OK,3,-4871 -5022 -2307 4365 -1232,6,110,116
210,OK,0,2424 -8350 -2714 -5350 -1060,6,111,117
211,OK,3,-5866 -5754 -2758 3576 220,6,110,116
212,OK,3,-5625 -5398 -1545 3761 99,6,110,116
213,OK,3,-5862 -5915 -2724 3643 -95,6,109,115
214,OK,3,-6077 -6726 -2901 3987 -156,7,109,116
