row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-9643 -9431 -3613 8908 -1435,13,317,330
1,OK,3,-10418 -10812 -5237 7783 60,9,308,317
2,OK,3,-9240 -10015 -4088 9099 -2030,9,311,320
3,OK,3,-11124 -11294 -5310 7648 1203,8,308,316
4,OK,3,-13702 -9437 855 940 -2003,9,317,326
5,OK,3,-11419 -11168 -5329 7374 1296,8,315,323
6,OK,3,-10621 -10930 -5506 7422 625,10,310,320
7,OK,3,-9413 -9083 -3875 8787 -1877,8,308,316
8,OK,3,-10418 -9858 -3970 8366 1581,9,311,320
9,OK,3,-12031 -11266 -4974 8532 1246,8,308,316
10,OK,3,-11057 -10800 -4534 8009 82,9,311,320
11,OK,3,-11498 -11287 -5049 7599 1609,9,308,317
12,OK,3,-10475 -10805 -5025 7874 22,9,310,319
13,OK,3,-11348 -11269 -5279 7432 1192,8,309,317
14,OK,3,-9442 -11175 -5513 8033 -4,9,317,326
15,OK,3,-10318 -10676 -5129 7740 40,9,308,317
16,OK,3,-10990 -10924 -5233 7287 789,10,310,320
17,OK,2,-11944 -11929 7454 -9588 -4425,8,315,323
18,OK,3,-10054 -10260 -3473 8242 -1248,10,310,320
19,OK,2,-12387 -14430 9590 -9557 -3654,8,315,323
20,OK,3,-9393 -9275 -4232 8885 -1510,9,311,320
21,OK,3,-10214 -8982 -3272 8211 -1676,8,308,316
22,OK,3,-11361 -11092 -5222 7509 1409,10,310,320
23,OK,3,-11117 -11203 -5275 7321 936,8,309,317
24,OK,3,-10426 -10952 -5195 7830 152,9,310,319
25,OK,3,-10435 -10731 -5050 7749 28,8,308,316
26,OK,3,-10690 -11145 -5169 7794 250,9,310,319
27,OK,3,-9471 -9728 -3845 8687 -2178,9,308,317
28,OK,3,-9513 -9280 -4384 8835 -1551,10,311,321
29,OK,3,-10400 -10983 -5040 7942 -22,9,308,317
30,OK,3,-11408 -11082 -5459 7039 985,10,310,320
31,OK,3,-11389 -11519 -5303 7240 934,9,308,317
32,OK,3,-10448 -10988 -5043 7898 27,9,310,319
33,OK,2,-12407 -13723 6605 -10287 -4620,9,314,323
34,OK,3,-8970 -9723 -4095 8950 -1931,11,311,322
35,OK,3,-11028 -11593 -5352 7637 696,8,309,317
36,OK,3,-9119 -9564 -3770 9227 -1398,9,311,320
37,OK,3,-10404 -10970 -5181 7829 222,9,308,317
38,OK,3,-9941 -11003 -4995 8525 279,10,317,327
39,OK,3,-10413 -10675 -5055 7731 82,9,308,317
40,OK,3,-9648 -9575 -3619 8885 -1967,9,311,320
41,OK,3,-11198 -11267 -5091 7724 1328,9,308,317
42,OK,3,-10405 -10973 -5125 7885 20,10,310,320
43,OK,3,-11273 -11528 -5348 7369 959,8,308,316
44,OK,3,-10596 -10985 -5146 7899 -8,9,311,320
45,OK,3,-11277 -11460 -5287 7460 971,8,309,317
46,OK,3,-8773 -9819 -3955 9504 -2178,10,310,320
47,OK,3,-10911 -11068 -5301 7313 823,8,308,316
48,OK,3,-8738 -10102 -4934 7832 120,9,311,320
49,OK,3,-12798 -12499 1984 3305 -349,8,309,317
50,OK,3,-10974 -11062 -5369 7326 996,10,310,320
51,OK,3,-9424 -10021 -3700 8914 -1421,8,308,316
52,OK,3,-9042 -10405 -4514 8594 -521,9,311,320
53,OK,3,-11407 -11648 -5441 7449 1016,8,309,317
54,OK,3,-10899 -11728 -5516 7439 932,9,317,326
55,OK,3,-10742 -10776 -5302 7324 576,9,308,317
56,OK,3,-10688 -10961 -5587 7424 519,10,310,320
57,OK,0,5699 -13601 -4690 -11215 -2304,8,309,317
58,OK,3,-10852 -11077 -5129 7412 627,9,311,320
59,OK,3,-9719 -9836 -4049 8848 -1674,8,309,317
60,OK,3,-9444 -10723 -4764 9134 -463,9,317,326
61,OK,3,-11076 -11290 -5384 7275 900,8,308,316
62,OK,3,-11618 -11266 -5170 7437 1249,9,311,320
63,OK,3,-10938 -11101 -5258 7267 1193,8,308,316
64,OK,3,-9623 -9368 -3885 8655 -1990,9,311,320
65,OK,3,-10661 -11075 -5258 7682 111,8,309,317
66,OK,3,-11034 -11081 -5202 7313 771,9,311,320
67,OK,3,-11025 -11224 -5285 7574 1158,8,308,316
68,OK,3,-9522 -9666 -3823 8978 -1480,10,310,320
69,OK,3,-11348 -11138 -5261 7524 1295,9,308,317
70,OK,3,-10626 -11170 -5066 7804 183,9,310,319
71,OK,3,-10720 -11014 -4968 7740 233,8,308,316
72,OK,3,-11371 -11330 -5210 7515 1055,9,311,320
73,OK,3,-11109 -11263 -4749 7936 547,8,308,316
74,OK,0,5718 -12700 -6478 -10484 -1967,9,312,321
75,OK,3,-10348 -10610 -5077 7702 57,8,309,317
76,OK,3,-10494 -11288 -5216 7872 230,9,311,320
77,OK,3,-10539 -10794 -4410 8646 -654,9,308,317
78,OK,3,-9711 -9477 -3629 9000 -1833,10,310,320
79,OK,3,-10811 -11222 -5311 7664 1005,8,308,316
80,OK,3,-9928 -9615 -3903 8871 -2277,10,310,320
81,OK,3,-10631 -9621 -3582 8855 -2186,8,308,316
82,OK,3,-9769 -9249 -3690 8668 -1649,10,310,320
83,OK,3,-9491 -9999 -4378 9103 -1117,8,309,317
84,OK,2,-14722 -11256 4190 1724 -1545,9,311,320
85,OK,3,-11194 -11313 -5151 7527 943,9,308,317
86,OK,3,-10510 -10748 -4990 7794 74,9,310,319
87,OK,3,-11070 -11207 -5288 7388 853,9,308,317
88,OK,3,-10024 -9819 -3455 9096 -1853,10,310,320
89,OK,3,-11266 -11261 -5262 7390 1242,8,308,316
90,OK,2,-11935 -12970 8247 -10959 -4145,9,317,326
91,OK,3,-10809 -11050 -4945 7638 1033,8,309,317
92,OK,3,-11173 -11342 -5699 7219 1050,9,310,319
93,OK,3,-9511 -10335 -3908 9420 -1753,8,308,316
