row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-9643 -9431 -3613 8908 -1435,17,382,399
1,OK,3,-10418 -10812 -5237 7783 60,9,314,323
2,OK,3,-9240 -10015 -4088 9099 -2030,10,310,320
3,OK,3,-11124 -11294 -5310 7648 1203,8,309,317
4,OK,3,-13702 -9437 855 940 -2003,10,310,320
5,OK,3,-11419 -11168 -5329 7374 1296,9,308,317
6,OK,3,-10621 -10930 -5506 7422 625,10,310,320
7,OK,3,-9413 -9083 -3875 8787 -1877,8,315,323
8,OK,3,-10418 -9858 -3970 8366 1581,9,310,319
9,OK,3,-12031 -11266 -4974 8532 1246,8,308,316
