seed,student,route,macro_f1,accuracy,macro_precision,macro_recall,per_class_f1,params,kd_minus_scratch
42,RF,A_RF_200,0.9435403040494533,0.9846204138958087,,,,,
42,A,D_Small_MLP,0.7185980195239438,0.8957905155687662,0.6678741885787967,0.8512589387856334,"[0.5233873433200856, 0.5321444160379123, 0.9930790920224432, 0.9624620480264974, 0.9997257268239166, 0.5131313131313131, 0.875, 0.9537680674895904, 0.49170291606251004, 0.9194414607948442, 0.6617189370361504, 0.7625262176648799, 0.3399193131271335, 0.9074551829066614, 0.3435082584152206]",2095.0,
42,A,E_KD_from_RF,0.7630789240039444,0.9447200588425809,0.7932662919658255,0.7694351530651565,"[0.9460889460889461, 0.5583452211126961, 0.9967935075622145, 0.9552442774171507, 0.9993414915217034, 0.6532951289398281, 0.9130434782608695, 0.9843039922410036, 0.3812340810122422, 0.9214562354763749, 0.918783542039356, 0.7477935589455842, 0.4965858252884389, 0.8514865144512658, 0.12238805970149254]",2095.0,0.04448090448000064
42,B,D_Small_MLP,0.8079022400503834,0.9379822200966786,0.7799118599008723,0.883740482296044,"[0.993109151047409, 0.6716388616290481, 0.9944823663253698, 0.9655029952489155, 0.9995885563814906, 0.5701559020044543, 0.863013698630137, 0.9803991311085988, 0.5243252535671308, 0.9235511713933415, 0.997598627787307, 0.785697701416299, 0.37486030546538235, 0.9287133960514111, 0.5458964826994567]",5199.0,
42,B,E_KD_from_RF,0.8117371119738478,0.9577356503104067,0.80698589870944,0.849355296516132,"[0.9627128183481075, 0.6320138611222178, 0.9952541987552929, 0.9635761589403974, 0.9994238525062416, 0.6076555023923444, 0.9333333333333333, 0.9970009927605167, 0.4955409073284219, 0.9218461538461539, 0.9258992805755396, 0.768487248165832, 0.5434288312869486, 0.897681691481406, 0.5322018487649643]",5199.0,0.0038348719234644335
123,RF,A_RF_200,0.944076982099298,0.9848534837895349,,,,,
123,A,D_Small_MLP,0.7053357580095938,0.8877269026221877,0.6433791853029691,0.858509151390848,"[0.563165905631659, 0.6076537013801756, 0.9928209218847929, 0.9603251136520182, 0.99950619993416, 0.5019762845849802, 0.8289473684210527, 0.9471652498562788, 0.34563916347253043, 0.917470525187567, 0.4588730025231287, 0.7726909464550747, 0.32039878799726323, 0.8938902406055691, 0.4695129585576562]",2095.0,
123,A,E_KD_from_RF,0.7565244225576596,0.9432853168993834,0.7831620871230388,0.7686774685860309,"[0.9460308395202741, 0.5663619492748643, 0.9965941987852642, 0.9632894827467456, 0.9990943769038667, 0.6648351648351648, 0.9130434782608695, 0.986989431092818, 0.36391390627385134, 0.9209960036889026, 0.9316546762589928, 0.6804100356799003, 0.4548097585640248, 0.8471875865890829, 0.11265544989027067]",2095.0,0.05118866454806581
123,B,D_Small_MLP,0.8016838930823226,0.9312625426411965,0.7721382099341604,0.8803796893731496,"[0.9623101952277657, 0.6631158455392809, 0.9941972920696325, 0.9640763979866235, 0.9996159964891107, 0.5582417582417583, 0.8811188811188811, 0.9760306521882423, 0.5232755691471288, 0.9204301075268817, 0.986096982027806, 0.7810336871250577, 0.3326194879781953, 0.9321510673234811, 0.5509444762449914]",5199.0,
123,B,E_KD_from_RF,0.8207545902815238,0.9565733277235126,0.8194141053576004,0.8472155698985812,"[0.9687985316956093, 0.6140922586718807, 0.9967365702772496, 0.9655029952489155, 0.9991493098433084, 0.684931506849315, 0.9618320610687023, 0.9952586037405498, 0.5002183088342308, 0.9235511713933415, 0.9269521410579346, 0.7536899279726059, 0.5852484132195229, 0.8939787817044895, 0.5413782726452001]",5199.0,0.01907069719920118
456,RF,A_RF_200,0.942923025551525,0.9843116719586649,,,,,
456,A,D_Small_MLP,0.7460482433757446,0.9184104027871527,0.6976585011251891,0.858058695971234,"[0.6777724892908139, 0.5913836394872473, 0.993452143711211, 0.9622420100780009, 0.9989298943613665, 0.5280665280665281, 0.7590361445783133, 0.9705162434054551, 0.44793035479632065, 0.9209960036889026, 0.8542034097589654, 0.7689532720816189, 0.3464100666173205, 0.8924363889857093, 0.4783950617283951]",2095.0,
456,A,E_KD_from_RF,0.7696307835638764,0.9492997309102136,0.7773048066821677,0.8022205272695765,"[0.9577261578415813, 0.570840197693575, 0.9946828172538315, 0.9410896403650026, 0.9991219886956044, 0.5707762557077626, 0.7875, 0.9926822072625018, 0.41050597581049164, 0.917094415927827, 0.9369303682099891, 0.7612676455581382, 0.41314308155517737, 0.8700960219478738, 0.4210049796287913]",2095.0,0.023582540188131773
456,B,D_Small_MLP,0.8102697570557404,0.947967902946064,0.7823611145205103,0.878155627961729,"[0.9861814201669175, 0.6695245004286751, 0.9944251663917174, 0.9642192347466391, 0.9996708721887, 0.5657015590200446, 0.8611111111111112, 0.9880246189794765, 0.5256887565152644, 0.9207129686539643, 0.9663865546218487, 0.7793127466914326, 0.4475459716893769, 0.9322762698199408, 0.5532646048109966]",5199.0,
