seed,student,macro_f1,accuracy,soft_sha256,protocol
42,A,0.9485087159320515,0.991423487544484,dc2db4b1b604dbf5eaa19e2a845fab02e0121ac65c1b7c091f1674e4c5462975,deployment_style_cached_soft_v1
42,B,0.9449299339062804,0.9911209964412812,dc2db4b1b604dbf5eaa19e2a845fab02e0121ac65c1b7c091f1674e4c5462975,deployment_style_cached_soft_v1
123,A,0.9152057905873393,0.9860498220640569,e5e7212992dd26f933f4d194f69fc09c0f5edd07c6de87d7e34b50ae6720ded2,deployment_style_cached_soft_v1
123,B,0.9380631419958505,0.9900355871886121,e5e7212992dd26f933f4d194f69fc09c0f5edd07c6de87d7e34b50ae6720ded2,deployment_style_cached_soft_v1
456,A,0.9032988452912247,0.9841281138790036,d29109d5ceb683a4093c9047af23fb10bdcefbce7e9751f8e36c59bafdd65067,deployment_style_cached_soft_v1
456,B,0.9280827988006219,0.9882918149466192,d29109d5ceb683a4093c9047af23fb10bdcefbce7e9751f8e36c59bafdd65067,deployment_style_cached_soft_v1
789,A,0.9190582771849339,0.9866370106761566,55e800b107dde752e8220ad79f6878ee18577704bdc0eb503f7e7ea04edda3e2,deployment_style_cached_soft_v1
789,B,0.9247141095112591,0.9878291814946619,55e800b107dde752e8220ad79f6878ee18577704bdc0eb503f7e7ea04edda3e2,deployment_style_cached_soft_v1
1001,A,0.9207881642984767,0.9870462633451957,6f6eaa01345526910abfb017d6ebd56e4df1b882d9a28646aa88097623796900,deployment_style_cached_soft_v1
1001,B,0.9408341787908929,0.990355871886121,6f6eaa01345526910abfb017d6ebd56e4df1b882d9a28646aa88097623796900,deployment_style_cached_soft_v1
2024,A,0.9276228212503643,0.9881316725978647,27cb6aa991554dd7981a24d2f35aed98df8bb6f803cd463c017eece1223806eb,deployment_style_cached_soft_v1
2024,B,0.9506846260199785,0.9921174377224199,27cb6aa991554dd7981a24d2f35aed98df8bb6f803cd463c017eece1223806eb,deployment_style_cached_soft_v1
3141,A,0.918839916026062,0.9868149466192171,c10b079be83177d7347a2d48c0f10f8170efa23e3918d125e3e293ca9573abcf,deployment_style_cached_soft_v1
3141,B,0.9316528905334694,0.9890391459074733,c10b079be83177d7347a2d48c0f10f8170efa23e3918d125e3e293ca9573abcf,deployment_style_cached_soft_v1
5678,A,0.9306829412517537,0.9886298932384342,619a6aab82a694f7cdcab2f169055a89ffc96bc82e780636706c926a5f0737ef,deployment_style_cached_soft_v1
5678,B,0.9615264164964147,0.9938790035587188,619a6aab82a694f7cdcab2f169055a89ffc96bc82e780636706c926a5f0737ef,deployment_style_cached_soft_v1
8192,A,0.9083424137465345,0.9852491103202847,042d67f364222fc6364b255a9f6a876dcb156b7812b8b4e7ca249f94bd208431,deployment_style_cached_soft_v1
8192,B,0.9245631182297025,0.9878825622775801,042d67f364222fc6364b255a9f6a876dcb156b7812b8b4e7ca249f94bd208431,deployment_style_cached_soft_v1
9999,A,0.9140610392193403,0.9858185053380782,ea477fffcfce310c32e25edc233781ea9cca341067a2a3ce5bbda23c303f7051,deployment_style_cached_soft_v1
9999,B,0.9244864010876892,0.987864768683274,ea477fffcfce310c32e25edc233781ea9cca341067a2a3ce5bbda23c303f7051,deployment_style_cached_soft_v1
