student,protocol,class,rf_kd_mean,scratch_mean,delta_kd_minus_scratch,n_seeds
A,train_only_random_row_10seed,Blackhole,0.8370072850696519,0.8471666944766769,-0.010159409407024977,10
A,train_only_random_row_10seed,Flooding,0.9545673368561077,0.9355546372749215,0.019012699581186232,10
A,train_only_random_row_10seed,Grayhole,0.8603681451342478,0.844835528550109,0.015532616584138736,10
A,train_only_random_row_10seed,Normal,0.9978918237677019,0.9962484405622648,0.00164338320543711,10
A,train_only_random_row_10seed,TDMA,0.9518878401091669,0.9307096650676883,0.021178175041478675,10
B,train_only_random_row_10seed,Blackhole,0.8865939549965673,0.8871714288930086,-0.0005774738964412496,10
B,train_only_random_row_10seed,Flooding,0.9533771353583077,0.9415619407061746,0.011815194652133099,10
B,train_only_random_row_10seed,Grayhole,0.9025336722205081,0.8966085626320854,0.005925109588422628,10
B,train_only_random_row_10seed,Normal,0.9980989785677957,0.9973314408469529,0.0007675377208428147,10
B,train_only_random_row_10seed,TDMA,0.9552634557639008,0.9340323721954509,0.021231083568449938,10
A,feature_group_5seed,Blackhole,0.8263638640864872,0.8625512028876401,-0.03618733880115288,5
A,feature_group_5seed,Flooding,0.9415359554111629,0.930524570549099,0.011011384862063878,5
A,feature_group_5seed,Grayhole,0.8437122639409995,0.8396734132465618,0.004038850694437768,5
A,feature_group_5seed,Normal,0.9979759314882377,0.9959295114118476,0.0020464200763901097,5
A,feature_group_5seed,TDMA,0.9609738411779507,0.9407124662265263,0.020261374951424438,5
B,feature_group_5seed,Blackhole,0.8644012752357538,0.8875825720685444,-0.023181296832790577,5
B,feature_group_5seed,Flooding,0.9415585788548888,0.931609046187204,0.009949532667684835,5
B,feature_group_5seed,Grayhole,0.8738294966997351,0.8896126650150279,-0.015783168315292806,5
B,feature_group_5seed,Normal,0.9980721654693692,0.9973762322684383,0.000695933200930865,5
B,feature_group_5seed,TDMA,0.9628610441939148,0.9427933270569762,0.020067717136938668,5
A,archived_presplit_random_row_10seed,Blackhole,0.8380575027433327,0.8486007785069386,-0.01054327576360592,10
A,archived_presplit_random_row_10seed,Flooding,0.9531032789978972,0.9363428834005656,0.016760395597331557,10
A,archived_presplit_random_row_10seed,Grayhole,0.8592567283550266,0.8467894929344488,0.012467235420577816,10
A,archived_presplit_random_row_10seed,Normal,0.9978972133845344,0.9964083689428704,0.0014888444416639723,10
A,archived_presplit_random_row_10seed,TDMA,0.9515420431180704,0.933371480488178,0.018170562629892473,10
B,archived_presplit_random_row_10seed,Blackhole,0.8731863403138209,0.8912192458928644,-0.018032905579043468,10
B,archived_presplit_random_row_10seed,Flooding,0.9530204846521936,0.9411302600914764,0.0118902245607172,10
B,archived_presplit_random_row_10seed,Grayhole,0.8886956487140691,0.8979203716332224,-0.009224722919153217,10
B,archived_presplit_random_row_10seed,Normal,0.9980210671913488,0.9972920587991868,0.000729008392161945,10
B,archived_presplit_random_row_10seed,TDMA,0.9511174133761616,0.933282998111888,0.01783441526427365,10
