feature,student_global_abs_shap,teacher_global_abs_shap,student_rank,teacher_rank
Is_CH,1.2386078740571334,0.022168160170238548,1.0,1.0
JOIN_S,0.8396457599915564,0.004979260155426766,2.0,10.0
dist_CH_To_BS,0.5537793895452982,0.005661338732303262,3.0,8.0
Data_Sent_To_BS,0.5199366272865183,0.010837939516275945,4.0,3.0
ADV_S,0.47185268476231723,0.019785914028830003,5.0,2.0
SCH_R,0.39100525896442123,0.0010207807490543164,6.0,17.0
Expaned Energy,0.3863405151592102,0.008256661588344691,7.0,6.0
Time,0.3524218321407912,0.002159544510667867,8.0,16.0
who CH,0.2729586822568526,0.0024344488702140316,9.0,15.0
SCH_S,0.2370652317008935,0.006782113413135031,10.0,7.0
DATA_R,0.22969734528786812,0.0029542938962422334,11.0,13.0
ADV_R,0.20717598134686413,0.003018862315566996,12.0,12.0
Rank,0.1572042327467614,0.00835882225322278,13.0,5.0
JOIN_R,0.15315613423618052,0.0029147935292353345,14.0,14.0
Dist_To_CH,0.14318949545344803,0.004086045844652959,15.0,11.0
DATA_S,0.13850987490245026,0.008981153897373344,16.0,4.0
send_code,0.13531426694300608,0.0052872967566329,17.0,9.0
