feature,student_global_abs_shap,teacher_global_abs_shap,student_rank,teacher_rank
Is_CH,0.9590783361852635,0.022168160170238548,1.0,1.0
JOIN_S,0.7412793205503374,0.004979260155426766,2.0,10.0
Time,0.57101031048554,0.002159544510667867,3.0,16.0
ADV_S,0.4626641853787878,0.019785914028830003,4.0,2.0
SCH_R,0.41528494723491605,0.0010207807490543164,5.0,17.0
Data_Sent_To_BS,0.3952293808715418,0.010837939516275945,6.0,3.0
dist_CH_To_BS,0.3160026448798366,0.005661338732303262,7.0,8.0
DATA_S,0.27840471810062883,0.008981153897373344,8.0,4.0
who CH,0.26514305198172805,0.0024344488702140316,9.0,15.0
Rank,0.20659982296933593,0.00835882225322278,10.0,5.0
ADV_R,0.18665618499439443,0.003018862315566996,11.0,12.0
SCH_S,0.18222331923538587,0.006782113413135031,12.0,7.0
DATA_R,0.1788212202626659,0.0029542938962422334,13.0,13.0
Expaned Energy,0.1492512468778732,0.008256661588344691,14.0,6.0
Dist_To_CH,0.14425185657993425,0.004086045844652959,15.0,11.0
send_code,0.09324894267617928,0.0052872967566329,16.0,9.0
JOIN_R,0.06709792014124615,0.0029147935292353345,17.0,14.0
