model_name,variant,latency_p50_ms_b1,latency_p95_ms_b1,latency_p99_ms_b1,latency_p50_ms_b64,latency_p95_ms_b64,latency_p99_ms_b64,throughput_samples_per_s_b1,throughput_samples_per_s_b64
A_RF_500,rf_sklearn,274.63854999950854,292.7002149990585,316.136943003512,302.1378499979619,320.2471900025557,326.40722999989515,3.6120690099386477,209.76557196171515
B_Full_MLP,fp32,1.2154500000178814,1.6008749938919207,3.517171005369164,3.547850006725639,4.087795006489614,5.631763009441784,772.0638276298647,17661.806761838066
D_student_A_scratch,fp32,0.2277000021422282,0.2683249920664821,0.5018290082807653,0.26434999745106325,0.3097550004895311,0.5397310049738734,4109.17755888503,231406.71153023007
E_student_A_KD_from_RF,fp32,0.22760000138077885,0.27476999675855035,0.5090460048813839,0.2628999936860055,0.32784000577521516,0.44392399708158253,4121.9214915041475,224462.16791425875
J_student_A_CoDistill_RF_CL,fp32,0.22670000907965004,0.2703150064917281,0.6014060009329103,0.26399999478599057,0.32606999375275336,0.5810079963703013,4013.206657311789,213445.51059983633
D_student_B_scratch,fp32,0.22760000138077885,0.2732649991230573,0.4961890084086917,0.7100000002537854,0.9056199909537102,1.1349179934768465,4144.909353545843,86945.73227762395
E_student_B_KD_from_RF,fp32,0.2275000006193295,0.2661449900188017,0.48478200900717633,0.6960500031709671,0.9212900004058611,1.0735099960584193,4186.820976183137,88331.58204219228
J_student_B_CoDistill_RF_CL,fp32,0.22929999977350235,0.2749649975157808,0.4740899988973976,0.731250001990702,1.0073399993416388,1.2435330051812337,4086.4563369675852,84029.08976811469
B_Full_MLP,dynamic_int8,19.439499999862164,21.448820011573844,23.31401499788626,22.102249997260515,23.7179049916449,24.640690999658542,51.00205314883684,2887.154397472827
D_student_A_scratch,dynamic_int8,14.168200010317378,16.043745000933995,16.865199997700984,14.459699996223208,16.217445000074804,17.125310999253998,69.95288729220601,4396.981573042211
E_student_A_KD_from_RF,dynamic_int8,14.140999999654014,16.00954001332866,17.233099005097756,14.35440000204835,15.952144999755546,16.87308399225003,69.98845155730135,4437.693500432915
J_student_A_CoDistill_RF_CL,dynamic_int8,14.055549996555783,15.823935004300436,17.05419199934113,14.482899990980513,15.58952499908628,16.78035799850477,70.56124818938274,4414.780999454854
D_student_B_scratch,dynamic_int8,14.106399998127017,15.830190003907774,17.152445002575405,14.682549997814931,16.117895000934368,18.09516200737562,70.36248380366199,4342.414588769615
E_student_B_KD_from_RF,dynamic_int8,13.889250003558118,15.691679996962193,16.773775012406986,14.154100004816428,15.432714999042222,16.867530996969435,71.46372596508027,4500.680763274842
J_student_B_CoDistill_RF_CL,dynamic_int8,13.679849995241966,15.222859999630598,16.106612997682532,14.18365000427002,15.63551000363077,16.45171000098344,72.61701316770417,4503.499606349564
D_student_A_scratch,qat_int8,14.419599996472243,16.055445002712077,17.308010009437567,14.625799994973931,16.386255002726102,17.369378987059463,68.93758706029874,4341.402168435588
E_student_A_KD_from_RF,qat_int8,14.872899999318179,16.311265001422726,17.385403001389932,15.215699997497723,17.16474000713788,18.254558002081463,66.94180507212862,4179.280056725618
J_student_A_CoDistill_RF_CL,qat_int8,14.472449998720549,15.831174998311326,16.627921004401287,14.625050003814977,16.03668500392814,16.69855898857349,68.81330790054155,4361.485952772345
D_student_B_scratch,qat_int8,14.463049999903888,15.835560010600602,17.00786299217725,14.795849994698074,15.958374996262137,16.619213998783376,68.80758864076822,4329.029023334299
E_student_B_KD_from_RF,qat_int8,14.98340000398457,16.938435001065955,18.635156992822886,15.296400000806898,16.815680009312928,18.54398099618265,66.15560053854848,4182.491515496657
J_student_B_CoDistill_RF_CL,qat_int8,14.41740000154823,16.285565008729463,17.333598998375237,14.789799999562092,16.277720005746232,17.51348199293716,68.9042390388393,4310.952603875377
