row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us,attempts,response_timeout_count,ignored_datagram_count,ignored_wrong_endpoint_count,ignored_bad_length_count,ignored_non_ascii_count,ignored_malformed_count,ignored_bad_prefix_count,ignored_bad_identity_count,ignored_bad_attempt_count,ignored_bad_inner_hex_count,ignored_bad_crc_count,ignored_bad_inner_text_count,ignored_wrong_session_count,ignored_wrong_stage_count,ignored_wrong_transaction_count,ignored_wrong_attempt_count,successful_request_bytes,request_datagram_bytes_sent,response_bytes,host_observed_datagram_rtt_us,transaction_elapsed_us
0,OK,3,-5297 -5038 -1654 4441 1112,21,278,299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,238,196,88868,88868
1,OK,3,-5190 -5464 248 1688 -1621,21,280,301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,244,194,129354,129354
2,OK,3,-5043 -4997 -1959 4478 1221,22,278,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,257263,257263
3,OK,3,-5164 -4998 -1878 4448 1198,22,281,303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,175127,175127
4,OK,3,-5005 -4754 -1805 4589 1369,22,277,299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,289437,289437
5,OK,3,-5121 -4691 -1949 4469 1368,22,281,303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,84027,84027
6,OK,3,-5099 -4665 -1990 4464 1373,22,278,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,90461,90461
7,OK,3,-5090 -4661 -2003 4463 1377,21,278,299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,401298,401298
8,OK,3,-5231 -4779 -1761 4547 1240,22,280,302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,90073,90073
9,OK,3,-4979 -4961 -1885 4512 1212,22,278,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,91456,91456
