row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us,attempts,response_timeout_count,ignored_datagram_count,ignored_wrong_endpoint_count,ignored_bad_length_count,ignored_non_ascii_count,ignored_malformed_count,ignored_bad_prefix_count,ignored_bad_identity_count,ignored_bad_attempt_count,ignored_bad_inner_hex_count,ignored_bad_crc_count,ignored_bad_inner_text_count,ignored_wrong_session_count,ignored_wrong_stage_count,ignored_wrong_transaction_count,ignored_wrong_attempt_count,successful_request_bytes,request_datagram_bytes_sent,response_bytes,host_observed_datagram_rtt_us,transaction_elapsed_us
0,OK,3,-5826 -5779 -3040 3263 441,21,769,790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,238,194,90043,90043
1,OK,3,-7060 -6801 -821 1653 -1494,20,770,790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,244,196,140732,140732
2,OK,3,-6150 -6046 -3038 3276 377,21,769,790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,83424,83424
3,OK,3,-5818 -5770 -2945 3405 370,21,770,791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,84757,84757
4,OK,3,-5974 -6042 -3006 3422 467,21,769,790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,101835,101835
5,OK,3,-6261 -6149 -3225 3124 572,21,769,790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,87282,87282
6,OK,3,-6287 -6175 -3213 3119 601,21,768,789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,86781,86781
7,OK,3,-6263 -6175 -3204 3133 601,21,766,787,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,83423,83423
8,OK,3,-6084 -6010 -3227 3202 440,21,769,790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,125186,125186
9,OK,3,-6182 -6089 -3071 3270 412,21,769,790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,89213,89213
10,OK,3,-6228 -6118 -3126 3283 387,21,768,789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,238,196,87337,87337
11,OK,3,-6290 -6182 -3090 3261 531,21,768,789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,85213,85213
