row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us,attempts,response_timeout_count,ignored_datagram_count,ignored_wrong_endpoint_count,ignored_bad_length_count,ignored_non_ascii_count,ignored_malformed_count,ignored_bad_prefix_count,ignored_bad_identity_count,ignored_bad_attempt_count,ignored_bad_inner_hex_count,ignored_bad_crc_count,ignored_bad_inner_text_count,ignored_wrong_session_count,ignored_wrong_stage_count,ignored_wrong_transaction_count,ignored_wrong_attempt_count,successful_request_bytes,request_datagram_bytes_sent,response_bytes,host_observed_datagram_rtt_us,transaction_elapsed_us
0,OK,3,-5297 -5038 -1654 4441 1112,19,143,162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,238,196,9580,9580
1,OK,3,-5190 -5464 248 1688 -1621,19,149,168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,244,194,9208,9208
2,OK,3,-5043 -4997 -1959 4478 1221,18,142,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,6851,6851
3,OK,3,-5164 -4998 -1878 4448 1198,20,143,163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,6553,6553
4,OK,3,-5005 -4754 -1805 4589 1369,20,142,162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,6913,6913
5,OK,3,-5121 -4691 -1949 4469 1368,20,142,162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,11348,11348
6,OK,3,-5099 -4665 -1990 4464 1373,19,149,168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,5685,5685
7,OK,3,-5090 -4661 -2003 4463 1377,19,142,161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,5506,5506
8,OK,3,-5231 -4779 -1761 4547 1240,19,142,161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,5513,5513
9,OK,3,-4979 -4961 -1885 4512 1212,20,142,162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,23428,23428
