row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us,attempts,response_timeout_count,ignored_datagram_count,ignored_wrong_endpoint_count,ignored_bad_length_count,ignored_non_ascii_count,ignored_malformed_count,ignored_bad_prefix_count,ignored_bad_identity_count,ignored_bad_attempt_count,ignored_bad_inner_hex_count,ignored_bad_crc_count,ignored_bad_inner_text_count,ignored_wrong_session_count,ignored_wrong_stage_count,ignored_wrong_transaction_count,ignored_wrong_attempt_count,successful_request_bytes,request_datagram_bytes_sent,response_bytes,host_observed_datagram_rtt_us,transaction_elapsed_us
0,OK,3,-5826 -5779 -3040 3263 441,17,387,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,238,194,10984,10984
1,OK,3,-7060 -6801 -821 1653 -1494,17,381,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,244,196,7485,7485
2,OK,3,-6150 -6046 -3038 3276 377,18,386,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,4000,4000
3,OK,3,-5818 -5770 -2945 3405 370,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,4160,4160
4,OK,3,-5974 -6042 -3006 3422 467,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,13901,13901
5,OK,3,-6261 -6149 -3225 3124 572,17,386,403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,107357,107357
6,OK,3,-6287 -6175 -3213 3119 601,18,386,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,6066,6066
7,OK,3,-6263 -6175 -3204 3133 601,19,379,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,5653,5653
8,OK,3,-6084 -6010 -3227 3202 440,17,386,403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,5499,5499
9,OK,3,-6182 -6089 -3071 3270 412,18,386,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,5291,5291
10,OK,3,-6228 -6118 -3126 3283 387,19,386,405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,238,196,5339,5339
11,OK,3,-6290 -6182 -3090 3261 531,18,386,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,5535,5535
12,OK,3,-6083 -6068 -3105 3334 395,18,386,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,238,196,5500,5500
13,OK,3,-5799 -5776 -2995 3313 515,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,240,196,8041,8041
14,OK,3,-6025 -6021 -3063 3322 378,18,386,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,238,196,5432,5432
15,OK,3,-6045 -5969 -3080 3281 440,17,380,397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,240,196,18487,18487
16,OK,3,-6006 -5971 -3047 3300 400,17,380,397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,240,196,5592,5592
17,OK,3,-5946 -5978 -3061 3322 426,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,238,196,9884,9884
18,OK,3,-6016 -5965 -3051 3288 410,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,240,196,6339,6339
19,OK,3,-6124 -6012 -3110 3277 450,17,380,397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,5304,5304
20,OK,3,-5705 -5590 -2980 3447 419,23,381,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,5188,5188
21,OK,3,-5889 -5886 -2927 3423 -140,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,232,198,5603,5603
22,OK,3,-5951 -5865 -2949 3384 422,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,5322,5322
23,OK,3,-5913 -5826 -2957 3410 428,19,380,399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,5216,5216
24,OK,3,-6068 -6044 -3044 3368 454,17,380,397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,5180,5180
25,OK,3,-5910 -5833 -3017 3300 480,17,386,403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,5114,5114
26,OK,3,-6025 -6000 -3088 3337 508,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,5013,5013
27,OK,3,-5970 -5936 -3064 3305 498,17,380,397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,5224,5224
28,OK,3,-5670 -5544 -2971 3443 407,17,381,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,5435,5435
29,OK,3,-5541 -5422 -2953 3461 386,18,381,399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,20364,20364
30,OK,3,-5792 -5713 -2996 3454 452,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,5303,5303
31,OK,3,-6055 -6029 -3006 3393 455,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,13476,13476
32,OK,3,-6242 -6187 -3016 3436 514,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,5131,5131
33,OK,3,-5669 -5450 -2955 3426 413,17,380,397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,238,196,5082,5082
34,OK,3,-6165 -6006 -3082 3242 404,18,386,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,5049,5049
35,OK,3,-5795 -5688 -2963 3463 442,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,5956,5956
36,OK,3,-5795 -5633 -2976 3417 477,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,5187,5187
37,OK,3,-5610 -5387 -2951 3435 406,17,517,534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,238,196,5434,5434
38,OK,3,-6099 -5998 -3071 3275 412,18,386,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,5566,5566
39,OK,3,-6018 -6036 -3139 3310 393,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,4962,4962
40,OK,3,-5948 -6022 -3115 3340 395,19,380,399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,6794,6794
41,OK,3,-5873 -5811 -2951 3367 388,17,380,397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,70619,70619
42,OK,3,-5896 -5912 -2960 3476 -166,18,386,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,198,5935,5935
43,OK,3,-6069 -6017 -3105 3292 368,17,380,397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,6886,6886
44,OK,3,-5792 -5787 -2951 3372 406,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,7036,7036
45,OK,3,-6251 -6059 -3081 3242 345,17,386,403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,5256,5256
46,OK,3,-5933 -5872 -2930 3361 402,17,380,397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,7104,7104
47,OK,3,-5922 -6012 -3116 3343 421,18,386,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,7277,7277
48,OK,3,-5964 -5924 -2963 3342 422,23,380,403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,31807,31807
49,OK,3,-6067 -6064 -2996 3369 440,17,380,397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,8432,8432
50,OK,3,-5844 -5848 -2961 3361 401,19,380,399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,5114,5114
51,OK,3,-5576 -5533 -2976 3420 419,18,387,405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,5202,5202
52,OK,3,-6108 -6040 -3107 3293 348,17,386,403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,196,5169,5169
53,OK,3,-5845 -5791 -2941 3391 420,18,386,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,196,5211,5211
