row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us,attempts,response_timeout_count,ignored_datagram_count,ignored_wrong_endpoint_count,ignored_bad_length_count,ignored_non_ascii_count,ignored_malformed_count,ignored_bad_prefix_count,ignored_bad_identity_count,ignored_bad_attempt_count,ignored_bad_inner_hex_count,ignored_bad_crc_count,ignored_bad_inner_text_count,ignored_wrong_session_count,ignored_wrong_stage_count,ignored_wrong_transaction_count,ignored_wrong_attempt_count,successful_request_bytes,request_datagram_bytes_sent,response_bytes,host_observed_datagram_rtt_us,transaction_elapsed_us
0,OK,3,-5826 -5779 -3040 3263 441,18,381,399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,238,194,5697,5697
1,OK,3,-7060 -6801 -821 1653 -1494,16,381,397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,244,196,5700,5700
2,OK,3,-6150 -6046 -3038 3276 377,18,386,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,5108,5108
3,OK,3,-5818 -5770 -2945 3405 370,17,380,397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,13837,13837
4,OK,3,-5974 -6042 -3006 3422 467,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,5216,5216
5,OK,3,-6261 -6149 -3225 3124 572,19,386,405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,5558,5558
6,OK,3,-6287 -6175 -3213 3119 601,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,5417,5417
7,OK,3,-6263 -6175 -3204 3133 601,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,5389,5389
8,OK,3,-6084 -6010 -3227 3202 440,18,380,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,4988,4988
9,OK,3,-6182 -6089 -3071 3270 412,19,380,399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,194,6177,6177
