view,seed,category,student,route,prediction_source,prediction_source_sha256,max_within_exact_group_probability_delta,within_exact_group_probability_tolerance,represented_group_count,excluded_mixed_group_count,excluded_mixed_row_count,row_count,effective_weight,accuracy,macro_precision,macro_recall,macro_f1,confusion_matrix_json
row_level,42,teacher,,A_RF_500_uncalibrated,results/wsnds/evidence_completion_20260811/fgds_controlled_full_routes_10seed_v2/seed_42/teacher_A_RF_500_uncalibrated_test_predictions.npz,94d92494d11ffa9e01496059c68fbff5f2aeedb56a44f2b093f04322c8d780f8,0.0,2e-06,54174,0,0,56301,56301.0,0.9967673753574536,0.9777585573019314,0.9821763375604646,0.9795306178675837,"[[1584.0,0.0,6.0,0.0,0.0],[0.0,493.0,0.0,2.0,0.0],[25.0,0.0,2100.0,24.0,0.0],[0.0,41.0,24.0,51002.0,3.0],[0.0,0.0,0.0,57.0,940.0]]"
inverse_test_group_size,42,teacher,,A_RF_500_uncalibrated,results/wsnds/evidence_completion_20260811/fgds_controlled_full_routes_10seed_v2/seed_42/teacher_A_RF_500_uncalibrated_test_predictions.npz,94d92494d11ffa9e01496059c68fbff5f2aeedb56a44f2b093f04322c8d780f8,0.0,2e-06,54174,0,0,56301,54174.0,0.996806586185255,0.9763511808749696,0.9819295323739468,0.9786799509151999,"[[1008.9999999999998,0.0,6.0,0.0,0.0],[0.0,472.0,0.0,2.0,0.0],[17.999999999999996,0.0,1850.0,22.0,0.0],[0.0,41.0,24.0,49739.00000000006,3.0],[0.0,0.0,0.0,57.0,931.0]]"
pure_group_representative,42,teacher,,A_RF_500_uncalibrated,results/wsnds/evidence_completion_20260811/fgds_controlled_full_routes_10seed_v2/seed_42/teacher_A_RF_500_uncalibrated_test_predictions.npz,94d92494d11ffa9e01496059c68fbff5f2aeedb56a44f2b093f04322c8d780f8,0.0,2e-06,54174,0,0,54174,54174.0,0.996806586185255,0.9763511808749696,0.9819295323739468,0.9786799509151999,"[[1009.0,0.0,6.0,0.0,0.0],[0.0,472.0,0.0,2.0,0.0],[18.0,0.0,1850.0,22.0,0.0],[0.0,41.0,24.0,49739.0,3.0],[0.0,0.0,0.0,57.0,931.0]]"
row_level,42,teacher,,A_calibrated_RF_KD_teacher,results/wsnds/confirmation_runs_v2/local_feature_group_10seed_20260811/feature_group_10seed/seed_42/RF_teacher_test_predictions.csv,25cbfc52c5bad6b4d9a710f20c2b7659d609b19d8eb4dd9a7a2a9c0cc92eae31,0.0,2e-06,54174,0,0,56301,56301.0,0.9966608053142928,0.9778221848014071,0.9807830826221375,0.9789215588747504,"[[1574.0,0.0,16.0,0.0,0.0],[0.0,492.0,0.0,3.0,0.0],[23.0,0.0,2105.0,21.0,0.0],[0.0,38.0,26.0,51003.0,3.0],[0.0,0.0,1.0,57.0,939.0]]"
inverse_test_group_size,42,teacher,,A_calibrated_RF_KD_teacher,results/wsnds/confirmation_runs_v2/local_feature_group_10seed_20260811/feature_group_10seed/seed_42/RF_teacher_test_predictions.csv,25cbfc52c5bad6b4d9a710f20c2b7659d609b19d8eb4dd9a7a2a9c0cc92eae31,0.0,2e-06,54174,0,0,56301,54174.0,0.996714290988297,0.976630833177872,0.9801561035391858,0.9779907814517464,"[[1000.9999999999999,0.0,14.0,0.0,0.0],[0.0,471.0,0.0,3.0,0.0],[15.999999999999996,0.0,1854.0,20.0,0.0],[0.0,38.0,26.0,49740.00000000006,3.0],[0.0,0.0,1.0,57.0,930.0]]"
pure_group_representative,42,teacher,,A_calibrated_RF_KD_teacher,results/wsnds/confirmation_runs_v2/local_feature_group_10seed_20260811/feature_group_10seed/seed_42/RF_teacher_test_predictions.csv,25cbfc52c5bad6b4d9a710f20c2b7659d609b19d8eb4dd9a7a2a9c0cc92eae31,0.0,2e-06,54174,0,0,54174,54174.0,0.996714290988297,0.976630833177872,0.9801561035391859,0.9779907814517464,"[[1001.0,0.0,14.0,0.0,0.0],[0.0,471.0,0.0,3.0,0.0],[16.0,0.0,1854.0,20.0,0.0],[0.0,38.0,26.0,49740.0,3.0],[0.0,0.0,1.0,57.0,930.0]]"
row_level,42,teacher,,B_Full_MLP,results/wsnds/evidence_completion_20260811/fgds_controlled_full_routes_10seed_v2/seed_42/teacher_B_Full_MLP_test_predictions.npz,ad6f73156eb51eaab2d580707fd69b0f840fb18500e2d08f0bb711b0fc19c203,2.682209014892578e-07,2e-06,54174,0,0,56301,56301.0,0.9867142679526119,0.905701466127848,0.938742480864404,0.9201107998138525,"[[1485.0,0.0,105.0,0.0,0.0],[0.0,493.0,0.0,2.0,0.0],[375.0,0.0,1773.0,1.0,0.0],[0.0,68.0,95.0,50862.0,45.0],[0.0,0.0,1.0,56.0,940.0]]"
inverse_test_group_size,42,teacher,,B_Full_MLP,results/wsnds/evidence_completion_20260811/fgds_controlled_full_routes_10seed_v2/seed_42/teacher_B_Full_MLP_test_predictions.npz,ad6f73156eb51eaab2d580707fd69b0f840fb18500e2d08f0bb711b0fc19c203,2.682209014892578e-07,2e-06,54174,0,0,56301,54174.0,0.9887769040499133,0.9024873842692873,0.9439643451896567,0.9206774954437066,"[[949.0000000000001,0.0,66.00000000000006,0.0,0.0],[0.0,472.0,0.0,2.0,0.0],[281.00000000000017,0.0,1607.9999999999995,1.0,0.0],[0.0,67.0,91.0,49606.00000000006,43.0],[0.0,0.0,1.0,56.0,931.0]]"
pure_group_representative,42,teacher,,B_Full_MLP,results/wsnds/evidence_completion_20260811/fgds_controlled_full_routes_10seed_v2/seed_42/teacher_B_Full_MLP_test_predictions.npz,ad6f73156eb51eaab2d580707fd69b0f840fb18500e2d08f0bb711b0fc19c203,2.682209014892578e-07,2e-06,54174,0,0,54174,54174.0,0.9887769040499133,0.9024873842692871,0.9439643451896567,0.9206774954437064,"[[949.0,0.0,66.0,0.0,0.0],[0.0,472.0,0.0,2.0,0.0],[281.0,0.0,1608.0,1.0,0.0],[0.0,67.0,91.0,49606.0,43.0],[0.0,0.0,1.0,56.0,931.0]]"
row_level,42,teacher,,C_CL_MLP_loss_fair,results/wsnds/evidence_completion_20260811/fgds_controlled_full_routes_10seed_v2/seed_42/teacher_C_CL_MLP_loss_fair_test_predictions.npz,5679ab2d433810ec43badf5da426e6efad46811cf134a10c481ea89acdbbf016,1.1920928955078125e-07,2e-06,54174,0,0,56301,56301.0,0.9859682776504858,0.9047578256947594,0.9368005456529792,0.9161054276603824,"[[1550.0,0.0,40.0,0.0,0.0],[0.0,493.0,0.0,2.0,0.0],[486.0,0.0,1662.0,1.0,0.0],[2.0,64.0,93.0,50865.0,46.0],[0.0,0.0,0.0,56.0,941.0]]"
inverse_test_group_size,42,teacher,,C_CL_MLP_loss_fair,results/wsnds/evidence_completion_20260811/fgds_controlled_full_routes_10seed_v2/seed_42/teacher_C_CL_MLP_loss_fair_test_predictions.npz,5679ab2d433810ec43badf5da426e6efad46811cf134a10c481ea89acdbbf016,1.1920928955078125e-07,2e-06,54174,0,0,56301,54174.0,0.9877801159227674,0.896997938292199,0.9406867573468786,0.9139783864497154,"[[977.9999999999997,0.0,37.0,0.0,0.0],[0.0,472.0,0.0,2.0,0.0],[368.00000000000006,0.0,1520.9999999999993,1.0,0.0],[2.0,63.0,89.0,49609.00000000006,44.0],[0.0,0.0,0.0,56.0,932.0]]"
pure_group_representative,42,teacher,,C_CL_MLP_loss_fair,results/wsnds/evidence_completion_20260811/fgds_controlled_full_routes_10seed_v2/seed_42/teacher_C_CL_MLP_loss_fair_test_predictions.npz,5679ab2d433810ec43badf5da426e6efad46811cf134a10c481ea89acdbbf016,1.1920928955078125e-07,2e-06,54174,0,0,54174,54174.0,0.9877801159227674,0.8969979382921988,0.9406867573468787,0.9139783864497153,"[[978.0,0.0,37.0,0.0,0.0],[0.0,472.0,0.0,2.0,0.0],[368.0,0.0,1521.0,1.0,0.0],[2.0,63.0,89.0,49609.0,44.0],[0.0,0.0,0.0,56.0,932.0]]"
row_level,42,teacher,,C_CL_MLP_loss_ext,results/wsnds/evidence_completion_20260811/fgds_controlled_full_routes_10seed_v2/seed_42/teacher_C_CL_MLP_loss_ext_test_predictions.npz,e7285364b1f6d58ada331debc7e9dcba03da6e72a2334ccc0ee3b70563f1ed35,1.4901161193847656e-07,2e-06,54174,0,0,56301,56301.0,0.9860393243459263,0.902785992462466,0.9361809120069386,0.9169231952339929,"[[1493.0,0.0,97.0,0.0,0.0],[0.0,493.0,0.0,2.0,0.0],[414.0,0.0,1735.0,0.0,0.0],[1.0,65.0,104.0,50854.0,46.0],[0.0,0.0,1.0,56.0,940.0]]"
inverse_test_group_size,42,teacher,,C_CL_MLP_loss_ext,results/wsnds/evidence_completion_20260811/fgds_controlled_full_routes_10seed_v2/seed_42/teacher_C_CL_MLP_loss_ext_test_predictions.npz,e7285364b1f6d58ada331debc7e9dcba03da6e72a2334ccc0ee3b70563f1ed35,1.4901161193847656e-07,2e-06,54174,0,0,56301,54174.0,0.988112378631816,0.8984435254732845,0.941425379373835,0.9168028967827595,"[[953.9999999999998,0.0,61.00000000000002,0.0,0.0],[0.0,472.0,0.0,2.0,0.0],[315.0000000000001,0.0,1574.999999999999,0.0,0.0],[1.0,64.0,100.0,49598.00000000006,44.0],[0.0,0.0,1.0,56.0,931.0]]"
pure_group_representative,42,teacher,,C_CL_MLP_loss_ext,results/wsnds/evidence_completion_20260811/fgds_controlled_full_routes_10seed_v2/seed_42/teacher_C_CL_MLP_loss_ext_test_predictions.npz,e7285364b1f6d58ada331debc7e9dcba03da6e72a2334ccc0ee3b70563f1ed35,1.4901161193847656e-07,2e-06,54174,0,0,54174,54174.0,0.988112378631816,0.8984435254732844,0.9414253793738352,0.9168028967827594,"[[954.0,0.0,61.0,0.0,0.0],[0.0,472.0,0.0,2.0,0.0],[315.0,0.0,1575.0,0.0,0.0],[1.0,64.0,100.0,49598.0,44.0],[0.0,0.0,1.0,56.0,931.0]]"
row_level,42,teacher,,C2_CL_MLP_domain,results/wsnds/evidence_completion_20260811/fgds_controlled_full_routes_10seed_v2/seed_42/teacher_C2_CL_MLP_domain_test_predictions.npz,698c38fab6561a98a9add24c774229cb5cb031b4acaa6fbb936951fe0e925808,1.1920928955078125e-07,2e-06,54174,0,0,56301,56301.0,0.9853999040869612,0.898836499383588,0.9323093821849161,0.9136163058261969,"[[1458.0,0.0,131.0,0.0,1.0],[0.0,493.0,0.0,2.0,0.0],[408.0,0.0,1741.0,0.0,0.0],[0.0,61.0,109.0,50847.0,53.0],[0.0,0.0,1.0,56.0,940.0]]"
inverse_test_group_size,42,teacher,,C2_CL_MLP_domain,results/wsnds/evidence_completion_20260811/fgds_controlled_full_routes_10seed_v2/seed_42/teacher_C2_CL_MLP_domain_test_predictions.npz,698c38fab6561a98a9add24c774229cb5cb031b4acaa6fbb936951fe0e925808,1.1920928955078125e-07,2e-06,54174,0,0,56301,54174.0,0.9875216893712851,0.8942834200428889,0.9375764336273441,0.9130010586913544,"[[939.9999999999998,0.0,74.00000000000004,0.0,1.0],[0.0,472.0,0.0,2.0,0.0],[324.99999999999994,0.0,1565.0000000000002,0.0,0.0],[0.0,61.0,105.0,49590.00000000006,51.0],[0.0,0.0,1.0,56.0,931.0]]"
