seed,student,route,weighting,kl_teacher_to_student_T4,js_T4,l1_T4,hard_agreement_T1,top2_overlap_T1,margin_abs_error_T1,teacher_correct_student_wrong_rate,teacher_wrong_student_correct_rate,macro_class_hard_agreement_T1,macro_class_kl_T4
42,student_A,rf_kd,exact_group_balanced,0.015551189729500089,0.00422701350955173,0.05996666164731327,0.9899767416103666,0.967715140104109,0.016563309479648528,0.00917414257762026,0.0008491158120131428,0.9423162659722436,0.08112878099918666
42,student_A,rf_kd,row_weighted,0.02044545358575835,0.005674577523370605,0.06864790606584212,0.9877444450365003,0.9624962256443047,0.02350862121991763,0.01143851796593311,0.0008170369975666506,0.9387506275828775,0.10051677146934654
42,student_A,scratch,exact_group_balanced,0.20160314834559348,0.03967498971505664,0.37242326122480496,0.9840329309262746,0.8935836379074833,0.11787651254851424,0.0150441171041459,0.000904492930187913,0.9549002844870047,0.4851540983929601
42,student_A,scratch,row_weighted,0.2027499530838792,0.040620306265637854,0.376709252194834,0.9828066997033801,0.8870979201079909,0.12256836345366873,0.016216408234312002,0.0009591303884478073,0.9540399420684904,0.4950957709417244
42,student_B,rf_kd,exact_group_balanced,0.013377078048835565,0.003653769151415401,0.054463366165424805,0.990770480304205,0.9755879204046222,0.01346059791402316,0.008288108686823937,0.000922951969579503,0.9465928578350425,0.07188829919516752
42,student_B,rf_kd,row_weighted,0.017837616692716374,0.004974490054346075,0.06258836345007646,0.9886325287295075,0.9701692687518871,0.018522279721137607,0.01039057920818458,0.0009591303884478073,0.9428477211557255,0.08927633551980535
42,student_B,scratch,exact_group_balanced,0.2190381977639723,0.04113143263242615,0.3727458770902659,0.9915088418798685,0.8920330785985897,0.11911167446940105,0.007457451914202385,0.0010337062059290435,0.9607547756749781,0.5140318435157727
42,student_B,scratch,row_weighted,0.2201551599154422,0.04205724761926984,0.376923413631079,0.9895738974440952,0.885135255146445,0.12325002514709832,0.00930711710271576,0.0011189854531891085,0.9559161307194829,0.5166811915589766
123,student_A,rf_kd,exact_group_balanced,0.016810975907085603,0.00457997689812858,0.06258929169608045,0.9898475283346254,0.9683888950419021,0.017697402913125073,0.00932181489275298,0.0008121977332299627,0.9412412996733815,0.09015851000312955
123,student_A,rf_kd,row_weighted,0.022456995462554877,0.0062480436868669765,0.07222086052483297,0.9871583097991155,0.9688904282339568,0.02616007325106115,0.011953606507877303,0.0008703220191470844,0.9355113672710014,0.11282725856388376
123,student_A,scratch,exact_group_balanced,0.21344369096723112,0.04704950993687426,0.42026211908654065,0.9887215269317384,0.8796286041274413,0.11105223994868578,0.010355521098682024,0.000922951969579503,0.9512915611071933,0.46359008152357895
123,student_A,scratch,row_weighted,0.21597629575607336,0.04821569000506351,0.42564220270048914,0.9864478428447097,0.8786167208397719,0.11625211160080869,0.012557503419122219,0.0009946537361680964,0.945669191321039,0.4729908739153208
