split_seed,student,optimizer_seed_count,scratch_macro_f1_mean,rf_kd_macro_f1_mean,rf_kd_minus_scratch_macro_f1,rf_kd_minus_scratch_optimizer_seed_values,test_rows
42,student_A,2,0.9115031139099006,0.9152461829773084,0.0037430690674079004,"[0.004335973702560447, 0.0031501644322553535]",56301
42,student_B,2,0.9266812732036929,0.9261907484629144,-0.0004905247407784308,"[-0.007817979555604704, 0.006836930074047842]",56301
123,student_A,2,0.9125307563486527,0.922307196373241,0.009776440024588273,"[0.024889375921982815, -0.005336495872806268]",56264
123,student_B,2,0.9319977663965328,0.9331405130523246,0.0011427466557918375,"[-0.003239613177926093, 0.005525106489509768]",56264
456,student_A,2,0.9140083573554068,0.9183299628043822,0.0043216054489753075,"[0.009044804651053395, -0.0004015937531027802]",56137
456,student_B,2,0.929690138562018,0.936522298542209,0.006832159980190933,"[-0.007684673186546753, 0.02134899314692862]",56137
789,student_A,2,0.9038802127095639,0.9108678268508781,0.0069876141413142134,"[0.011163163066908899, 0.002812065215719528]",56124
789,student_B,2,0.9201284461398542,0.919728775471544,-0.0003996706683103146,"[-0.0004458778305301836, -0.00035346350609044563]",56124
1001,student_A,2,0.9100824181850176,0.9142762032000493,0.0041937850150318146,"[0.0028822137119979274, 0.005505356318065702]",56078
1001,student_B,2,0.9280293418833521,0.9214531473325497,-0.006576194550802383,"[0.00202025009960638, -0.015172639201211147]",56078
2024,student_A,2,0.9027915503234213,0.9189406404842124,0.01614909016079108,"[0.020169561651347978, 0.012128618670234181]",56291
2024,student_B,2,0.9278781658147836,0.9272483773673517,-0.0006297884474318893,"[-0.010960782508785627, 0.009701205613921848]",56291
3141,student_A,2,0.912897704784489,0.9190443681002574,0.006146663315768408,"[0.00870872822142399, 0.003584598410112827]",56245
3141,student_B,2,0.931970898316056,0.9270007819121386,-0.004970116403917368,"[-0.005435307976296655, -0.004504924831538082]",56245
5678,student_A,2,0.9161295917217808,0.922276901988127,0.00614731026634624,"[0.010226275531952655, 0.002068345000739824]",56203
5678,student_B,2,0.9311426023535208,0.9342019425724367,0.003059340218915907,"[-0.004303376691471961, 0.010422057129303774]",56203
8192,student_A,2,0.9078854096724351,0.9129368691610702,0.005051459488634946,"[0.001042676371039497, 0.009060242606230395]",56024
8192,student_B,2,0.9244755935075285,0.9304949264186475,0.006019332911119002,"[-0.002518471413001877, 0.014557137235239881]",56024
9999,student_A,2,0.9090108564206485,0.917756631329619,0.00874577490897055,"[0.014521655797272492, 0.0029698940206686064]",56208
9999,student_B,2,0.929737867484916,0.9373833940048023,0.007645526519886259,"[0.006159626785951611, 0.009131426253820907]",56208
