Config,Accuracy_mean,Accuracy_std,MacroF1_mean,MacroF1_std,n_seeds,Blackhole_F1_mean,Blackhole_F1_std,Flooding_F1_mean,Flooding_F1_std,Grayhole_F1_mean,Grayhole_F1_std,Normal_F1_mean,Normal_F1_std,TDMA_F1_mean,TDMA_F1_std,params,size_kb
A_RF_500,0.9966939501779359,3.629195383337445e-05,0.9789876789246253,0.0002463919757234235,5,0.9908935269592216,0.00015971754383684597,0.9614038739420516,0.0009790932610492331,0.9847897327593648,0.0003952697587613366,0.9984339872892314,1.6868137663965143e-05,0.959417273673257,0.0,,80185.5126953125
B_Full_MLP,0.9858790035587189,0.0010211476973358549,0.9152706970710313,0.0061371816270904085,5,0.8472146226516264,0.014508274562361893,0.9416639139089419,0.004255742924939061,0.8566111433099619,0.01411668450514946,0.9971591314967869,9.816960484230707e-05,0.9337046739878396,0.0030113577171570214,70661.0,276.01953125
B_Full_MLP_tricks,0.550544483985765,0.3843584292825647,0.615656654509162,0.07918280448213502,5,0.7418791641219261,0.10462560764322386,0.2758036180795725,0.3072060049057876,0.6757041902391023,0.16666068426561043,0.556905473374665,0.45132686382686965,0.8279908267305439,0.1567590308408395,70661.0,276.01953125
C2_CL_MLP_domain,0.9850427046263345,0.00035739885926729,0.9104676677499471,0.002184400920921276,5,0.8335053565460399,0.005863679750915159,0.9425424056059615,0.00216044994851764,0.8441063378530554,0.006634220465752944,0.9971650440186106,6.016922627300642e-05,0.9350191947260683,0.0018871297029679668,70661.0,276.01953125
C_CL_MLP_loss,0.9847366548042704,0.0005853416439233884,0.9088142433627981,0.003205827612267775,5,0.8326000017250383,0.008916286560803073,0.940597085742622,0.004531720721112214,0.840138831824796,0.008592346214675854,0.9970784078103607,6.214583762384861e-05,0.9336568897111736,0.0009218410036234353,70661.0,276.01953125
C_CL_MLP_loss_ext,0.9863309608540926,0.0006307471542697616,0.9176961377555285,0.003811400007004027,5,0.8539001294508572,0.010791711929872444,0.9402249633706002,0.0022767343555505047,0.8635700234017453,0.010244100221323157,0.9971670122949601,6.458288376173163e-05,0.9336185602594792,0.001836080592124939,70661.0,276.01953125
C_CL_MLP_loss_fair,0.9847366548042704,0.0005853416439233884,0.9088142433627981,0.003205827612267775,5,0.8326000017250383,0.008916286560803073,0.940597085742622,0.004531720721112214,0.840138831824796,0.008592346214675854,0.9970784078103607,6.214583762384861e-05,0.9336568897111736,0.0009218410036234353,70661.0,276.01953125
D_Small_MLP,0.9882740213523131,0.0013693902087056112,0.9287486047361275,0.00815640250161323,5,0.8786724019287682,0.023744768647414045,0.942697234813673,0.0018703342536577274,0.8895267787223006,0.017505866419376966,0.9973560171430588,4.1561581723350416e-05,0.9354905910728369,0.001967642089301421,3781.0,14.76953125
D_Small_MLP_tricks,0.19471174377224199,0.1820187014142867,0.5554326840825123,0.016997303880194277,5,0.8298643241159537,0.10106219575045508,0.024031947501780178,0.00889891138983895,0.8355258390248386,0.09270036926233227,0.17332179853852664,0.2621462278546818,0.9144195112314624,0.00969092965654636,3781.0,14.76953125
E2_KD_from_MLP,0.9863167259786476,0.0011336069772257113,0.9178667126506761,0.006885210067909593,5,0.8509428826403059,0.017254215607121214,0.9440044650339979,0.005717971151406028,0.8640976763760596,0.013358533782113989,0.9971906723778412,0.00011301083516304793,0.9330978668251758,0.002435546781609606,3781.0,14.76953125
E2_KD_from_MLP_dkd,0.9838078291814947,0.00010375359243498637,0.9029763532482651,0.0004423998839583991,5,0.8080953124525816,0.0031037017635869653,0.9486743999412928,0.0043524515038606566,0.8284950773991369,0.00186271579290462,0.9972398871289945,5.297750334872337e-05,0.9323770893193194,0.0031860811452314145,3781.0,14.76953125
E_KD_from_RF,0.9889893238434164,0.0012099853462706775,0.9315504558133527,0.007425934121667194,5,0.8664936171120061,0.02105162976595252,0.9535688982210256,0.0004480639238882997,0.8859645537754881,0.016225168427946846,0.9981332749674513,1.4648622198946722e-05,0.9535919349907929,0.000671268981924296,3781.0,14.76953125
E_KD_from_RF_dkd,0.9796370106761565,0.0005859039111214539,0.8596494917907581,0.003682595848568855,5,0.5988769077764722,0.009117196228802018,0.9463380919931108,0.0034332764376382554,0.8068088179836967,0.005413584557420607,0.9975060897538949,0.00021637459591096687,0.9487175514466157,0.00436569181390639,3781.0,14.76953125
E_KD_from_RF_tricks,0.9893345195729537,0.0013646468833538282,0.9333810946259904,0.008417111475429692,5,0.8710574821069151,0.023387674859116962,0.9532030555591339,0.0003658426618918576,0.8905658113135775,0.01833594694787106,0.9981725694698819,3.491101700806574e-05,0.9539065546804439,0.00020385731681265125,3781.0,14.76953125
F_KD_from_CL_MLP,0.986540925266904,0.000691582785467278,0.9194962251178586,0.00405745206695244,5,0.8580011993180807,0.014480923962445966,0.9427443123954282,0.005150170361056547,0.8670787460413643,0.008405427252577577,0.9971217202124887,0.00010647057349719085,0.9325351476219312,0.0027095282627749477,3781.0,14.76953125
F_KD_from_CL_MLP_ext,0.986135231316726,0.0006344508099093623,0.9162581773930498,0.0035650614929204107,5,0.8466528586075353,0.009184590464255677,0.9405808492721237,0.0022807306177048034,0.8625125639642386,0.007897328577334505,0.9971945654983033,0.00011720792051947428,0.9343500496230485,0.002822926427888776,3781.0,14.76953125
F_KD_from_CL_MLP_ext_dkd,0.9844377224199288,0.0002697593403309279,0.9065634942215176,0.0018448546418900692,5,0.8236578109347171,0.008654653615696704,0.9452232243930639,0.003986383435991696,0.8347365186238495,0.0047238392789060064,0.9972163178596984,6.120126728553507e-05,0.9319835992962592,0.002752662649613406,3781.0,14.76953125
